"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Dorchester School District 4, South Carolina","4500002",12049,2609,4699,3334,1015,392,8824,2105,3502,2306,668,243,2861,400,1027,1020,267,147,89,4,56,2,27,0,275,100,114,6,53,2
"Abbeville County School District, South Carolina","4500690",16065,3536,6039,4489,1391,610,11823,2665,4587,3228,974,369,4003,826,1388,1220,355,214,90,19,6,16,42,7,149,26,58,25,20,20
"Aiken County School District, South Carolina","4500720",114833,16942,35819,33281,18135,10656,44798,9178,16317,11287,5186,2830,63126,5927,17467,20540,12098,7094,1180,132,325,354,251,118,5729,1705,1710,1100,600,614
"Allendale County School District, South Carolina","4500750",6870,1739,2704,1563,689,175,5557,1510,2334,1210,383,120,1207,187,344,316,305,55,32,3,23,6,0,0,74,39,3,31,1,0
"Anderson School District 1, South Carolina","4500780",34330,4830,11016,11210,5027,2247,20765,2994,7133,6722,2854,1062,12601,1554,3679,4288,1946,1134,255,3,72,45,117,18,709,279,132,155,110,33
"Anderson School District 2, South Carolina","4500810",16205,3544,5818,4598,1518,727,11715,2689,4248,3325,999,454,4202,678,1517,1255,484,268,57,0,30,12,15,0,231,177,23,6,20,5
"Anderson School District 3, South Carolina","4500840",9729,2374,3847,2811,531,166,6994,1847,2703,1969,363,112,2614,438,1144,822,156,54,53,41,0,0,12,0,68,48,0,20,0,0
"Anderson School District 4, South Carolina","4500870",15937,2115,4784,5483,2010,1545,9447,1483,2955,3191,1102,716,5877,524,1648,2159,826,720,124,0,44,35,30,15,489,108,137,98,52,94
"Anderson School District 5, South Carolina","4500900",54051,9515,15596,17371,7382,4187,33061,6811,10666,9767,3805,2012,17727,1810,4201,6839,3118,1759,892,428,164,89,169,42,2371,466,565,676,290,374
"Bamberg School District 1, South Carolina","4500930",5849,1101,1537,2041,723,447,4504,961,1187,1465,550,341,1132,95,307,509,173,48,59,0,24,35,0,0,154,45,19,32,0,58
"Bamberg School District 2, South Carolina","4500960",4027,1228,948,1219,516,116,3257,941,834,1020,386,76,693,215,114,199,130,35,0,0,0,0,0,0,77,72,0,0,0,5
