"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Dorchester School District 4, South Carolina","4500002",20958,20767,20938,24779,21635
"Abbeville County School District, South Carolina","4500690",19111,19520,18045,85703,25119
"Aiken County School District, South Carolina","4500720",24081,21140,26758,22188,21722
"Anderson School District 1, South Carolina","4500780",27398,26120,30137,32540,25778
"Anderson School District 5, South Carolina","4500900",22712,21112,25233,20556,25509
"Beaufort County School District, South Carolina","4501110",27700,20051,32040,26915,21734
"Berkeley County School District, South Carolina","4501170",26761,24001,30539,26286,23644
"Charleston County School District, South Carolina","4501440",27885,23044,35249,27897,24880
"Cherokee County School District, South Carolina","4501500",19244,18451,21119,29160,18485
"Chester County School District, South Carolina","4501530",19345,17870,24638,43421,25069
"Clarendon School District 1, South Carolina","4501740",15341,13343,20083,51250,14688
"Clarendon School District 2, South Carolina","4501770",18666,17672,21800,22917,12500
"Dorchester School District 2, South Carolina","4502010",28948,25163,32826,25909,25031
"Edgefield County School District, South Carolina","4502070",22633,21217,25666,23994,20986
"Florence School District 1, South Carolina","4502130",23750,21646,28214,28173,27993
"Florence School District 4, South Carolina","4502220",20320,19137,28523,18750,15429
"Georgetown County School District, South Carolina","4502280",22219,18674,28902,26694,24562
"Greenville County School District, South Carolina","4502310",25791,22725,30873,27438,22080
"Hampton School District 1, South Carolina","4502430",21220,20932,21952,28646,23750
"Horry County School District, South Carolina","4502490",22297,20034,24508,26136,19833
"Kershaw County School District, South Carolina","4502550",24572,22475,30265,27083,21950
"Laurens School District 55, South Carolina","4502610",20753,20036,23299,31952,19414
"Lexington School District 1, South Carolina","4502700",31617,30307,35326,41065,23750
"Lexington School District 2, South Carolina","4502730",24770,24073,26699,32191,21927
"Lexington School District 4, South Carolina","4502790",20359,18322,23678,27273,25306
"Lexington School District 5, South Carolina","4502820",34242,32415,36072,39798,32500
"McCormick County School District, South Carolina","4503000",20129,17391,24964,28661,21563
"Newberry County School District, South Carolina","4503030",23561,22576,27064,19938,24464
"Oconee County School District, South Carolina","4503060",21999,20589,25763,15452,18941
"Orangeburg School District 3, South Carolina","4503150",16562,15342,21197,6528,21167
"Pickens County School District, South Carolina","4503330",19524,18631,20813,25256,20096
"Richland School District 1, South Carolina","4503360",20607,19560,22289,28644,20325
"Richland School District 2, South Carolina","4503390",32330,28749,37326,32254,26191
"Saluda County School District, South Carolina","4503460",23099,22543,25168,77560,22056
"Spartanburg School District 2, South Carolina","4503510",24491,23227,27065,30035,21255
"Spartanburg School District 4, South Carolina","4503570",21223,20660,22400,13750,21731
"Spartanburg School District 5, South Carolina","4503600",28806,27809,30952,52875,21056
"Spartanburg School District 6, South Carolina","4503630",23525,22340,27346,23257,20763
"Spartanburg School District 7, South Carolina","4503660",20204,17557,25525,27262,24276
"York School District 1, South Carolina","4503810",22085,21107,23771,48077,22278
"York School District 2, South Carolina","4503840",30730,25323,31563,31124,28250
"York School District 3, South Carolina","4503870",25646,23092,28371,30000,26446
"York School District 4, South Carolina","4503900",40620,30345,42600,55128,39592
"Sumter County Consolidated School District, South Carolina","4503902",22106,20130,28124,31368,17980
"Remainder of South Carolina, South Carolina","4599999",11552,14405,11344,9475,14141
