"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Dorchester School District 4, South Carolina","4500002",14771,3066,1675,10030,11523,2425,1295,7803,2880,487,295,2098,92,0,34,58,276,154,51,71
"Abbeville County School District, South Carolina","4500690",23014,5274,2794,14946,17887,4297,2066,11524,4744,826,724,3194,118,17,4,97,265,134,0,131
"Aiken County School District, South Carolina","4500720",163734,29582,17200,116952,66725,14599,7541,44585,89073,12990,8364,67719,1485,270,328,887,6451,1723,967,3761
"Allendale County School District, South Carolina","4500750",8757,2537,1574,4646,7373,2286,1358,3729,1251,242,200,809,32,0,0,32,101,9,16,76
"Anderson School District 1, South Carolina","4500780",51056,5768,4799,40489,34661,3906,3334,27421,15282,1778,1227,12277,272,13,48,211,841,71,190,580
"Anderson School District 2, South Carolina","4500810",22995,4181,2867,15947,17901,3360,2428,12113,4814,711,432,3671,51,0,0,51,229,110,7,112
"Anderson School District 3, South Carolina","4500840",14318,3033,2917,8368,11180,2493,2281,6406,3029,528,632,1869,41,0,0,41,68,12,4,52
"Anderson School District 4, South Carolina","4500870",22099,3365,2644,16090,14685,2383,1939,10363,6642,982,478,5182,174,0,0,174,598,0,227,371
"Anderson School District 5, South Carolina","4500900",78337,14647,9312,54378,52796,10818,6036,35942,21625,2930,2651,16044,987,289,68,630,2929,610,557,1762
"Bamberg School District 1, South Carolina","4500930",8606,1870,771,5965,6853,1414,562,4877,1540,422,203,915,59,3,0,56,154,31,6,117
"Bamberg School District 2, South Carolina","4500960",5853,2207,946,2700,4793,1910,773,2110,983,297,173,513,0,0,0,0,77,0,0,77
"Barnwell School District 19, South Carolina","4501020",4542,1353,424,2765,3741,1027,333,2381,687,244,91,352,9,0,0,9,105,82,0,23
"Barnwell School District 29, South Carolina","4501050",5048,1395,840,2813,3708,969,650,2089,1305,426,155,724,0,0,0,0,35,0,35,0
"Barnwell School District 45, South Carolina","4501080",12076,3071,1344,7661,9128,2749,966,5413,2689,322,371,1996,57,0,0,57,202,0,7,195
"Beaufort County School District, South Carolina","4501110",165710,21191,14920,129599,46323,9477,5837,31009,100795,8702,6293,85800,2495,338,257,1900,16097,2674,2533,10890
"Berkeley County School District, South Carolina","4501170",189827,26327,17852,145648,100235,16777,10641,72817,76364,7369,6005,62990,2829,322,208,2299,10399,1859,998,7542
"Calhoun County School District, South Carolina","4501250",14740,2896,1881,9963,11402,2383,1680,7339,2909,443,185,2281,44,0,0,44,385,70,16,299
"Charleston County School District, South Carolina","4501440",360943,62119,29662,269162,191704,38830,19205,133669,146764,19243,7779,119742,4353,791,473,3089,18122,3255,2205,12662
"Cherokee County School District, South Carolina","4501500",52993,12919,7216,32858,38403,10093,5287,23023,13163,2395,1723,9045,285,11,6,268,1142,420,200,522
"Chester County School District, South Carolina","4501530",32318,8734,3911,19673,24539,7236,3192,14111,7493,1426,680,5387,63,9,5,49,223,63,34,126
"Chesterfield County School District, South Carolina","4501560",45509,11930,6956,26623,29995,7963,4674,17358,14178,3422,2249,8507,82,30,0,52,1254,515,33,706
"Clarendon School District 1, South Carolina","4501740",9068,2265,1672,5131,6362,1889,1352,3121,2601,370,317,1914,51,0,0,51,54,6,3,45
"Clarendon School District 2, South Carolina","4501770",18120,4672,2206,11242,13804,3788,1622,8394,4043,771,543,2729,75,10,13,52,198,103,28,67
"Clarendon School District 3, South Carolina","4501800",5216,1226,649,3341,4551,962,586,3003,421,108,25,288,4,0,0,4,240,156,38,46
"Colleton County School District, South Carolina","4501830",37352,8340,6879,22133,28737,6810,5646,16281,7794,1352,1140,5302,132,60,19,53,689,118,74,497
"Darlington County School District, South Carolina","4501860",66513,15878,8383,42252,52866,13153,6619,33094,12103,2393,1435,8275,345,84,1,260,1199,248,328,623
"Dillon School District 4, South Carolina","4501920",23225,8179,3156,11890,18362,6766,2143,9453,3976,820,860,2296,65,41,13,11,822,552,140,130
"Dillon School District 3, South Carolina","4501950",7725,2323,1063,4339,6492,2161,936,3395,1098,162,127,809,20,0,0,20,115,0,0,115
"Dorchester School District 2, South Carolina","4502010",128596,15671,12389,100536,59494,9574,6398,43522,59629,4975,4735,49919,3002,343,366,2293,6471,779,890,4802
"Edgefield County School District, South Carolina","4502070",23788,3896,2174,17718,11132,2060,1297,7775,11842,1581,828,9433,132,12,0,120,682,243,49,390
"Fairfield County School District, South Carolina","4502100",22768,5566,2920,14282,18516,4873,2574,11069,3615,594,315,2706,124,51,0,73,513,48,31,434
"Florence School District 1, South Carolina","4502130",96407,16967,11853,67587,68196,12629,9470,46097,24819,3843,1972,19004,638,50,146,442,2754,445,265,2044
"Florence School District 2, South Carolina","4502160",7189,1457,1265,4467,6299,1320,1044,3935,585,102,24,459,13,0,0,13,292,35,197,60
"Florence School District 3, South Carolina","4502190",19859,5391,3086,11382,17015,4449,2936,9630,2606,814,113,1679,72,24,0,48,166,104,37,25
"Florence School District 4, South Carolina","4502220",6047,1933,613,3501,5002,1659,515,2828,830,121,93,616,39,14,0,25,176,139,5,32
"Florence School District 5, South Carolina","4502250",5530,1054,1079,3397,4756,856,957,2943,622,144,99,379,20,20,0,0,132,34,23,75
"Georgetown County School District, South Carolina","4502280",59929,12557,6321,41051,36543,10012,4376,22155,21413,2169,1771,17473,475,55,24,396,1498,321,150,1027
"Greenville County School District, South Carolina","4502310",478780,75613,47237,355930,258655,47018,28644,182993,176482,19568,13488,143426,5114,589,414,4111,38529,8438,4691,25400
"Greenwood School District 50, South Carolina","4502340",55571,13503,5559,36509,41116,10341,4458,26317,11522,2013,851,8658,560,259,8,293,2373,890,242,1241
"Greenwood School District 51, South Carolina","4502370",7340,1730,817,4793,5927,1300,600,4027,1384,422,214,748,7,0,0,7,22,8,3,11
"Greenwood School District 52, South Carolina","4502400",7664,1068,1040,5556,5229,849,757,3623,2392,219,265,1908,0,0,0,0,43,0,18,25
"Hampton School District 1, South Carolina","4502430",12903,2536,2065,8302,10970,2272,1694,7004,1855,257,367,1231,44,7,4,33,34,0,0,34
"Hampton School District 2, South Carolina","4502460",6105,1427,1148,3530,4746,1051,907,2788,1286,357,241,688,0,0,0,0,73,19,0,54
"Horry County School District, South Carolina","4502490",287086,51988,29711,205387,110217,24541,12923,72753,155513,22522,13871,119120,3194,734,201,2259,18162,4191,2716,11255
