"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Dorchester School District 4, South Carolina","4500002",13817,3566,10251,2398,1500,1995,1562,1279,801,273,443,10300,2550,7750,1838,1197,1486,1214,1019,555,134,307,3150,966,2184,479,303,415,279,205,242,139,122,92,0,92,0,0,49,0,29,0,0,14,275,50,225,81,0,45,69,26,4,0,0
"Abbeville County School District, South Carolina","4500690",19451,2762,16689,4065,2609,3506,2389,2120,1054,361,585,14315,2026,12289,2767,2117,2592,1754,1687,769,256,347,4764,638,4126,1235,462,910,585,428,270,89,147,110,6,104,9,0,4,12,5,13,0,61,262,92,170,54,30,0,38,0,2,16,30
"Aiken County School District, South Carolina","4500720",136014,19647,116367,24542,13724,21522,15060,14563,9988,4235,12733,54095,8015,46080,11122,5625,9100,5838,5501,3651,1336,3907,74305,10299,64006,12204,7220,11026,8310,8345,5883,2797,8221,1396,94,1302,314,168,182,133,174,168,35,128,6218,1239,4979,902,711,1214,779,543,286,67,477
"Allendale County School District, South Carolina","4500750",8162,2561,5601,1414,1137,1525,705,469,165,89,97,6625,2093,4532,1214,924,1209,629,307,130,53,66,1378,415,963,192,204,280,39,147,35,36,30,44,12,32,0,0,12,20,0,0,0,0,115,41,74,8,9,24,17,15,0,0,1
"Anderson School District 1, South Carolina","4500780",40300,5576,34724,6629,3818,5735,4576,5713,3602,1546,3105,25288,3910,21378,4247,2495,3530,2805,3588,2169,949,1595,13943,1608,12335,2256,1205,1982,1611,2001,1291,513,1476,272,3,269,27,56,27,55,22,8,74,0,797,55,742,99,62,196,105,102,134,10,34
"Anderson School District 2, South Carolina","4500810",19223,3369,15854,3209,2602,3206,2375,1996,1355,336,775,14404,2539,11865,2484,1891,2437,1689,1585,992,271,516,4531,764,3767,669,655,754,635,393,346,65,250,57,0,57,0,0,0,36,0,12,0,9,231,66,165,56,56,15,15,18,5,0,0
"Anderson School District 3, South Carolina","4500840",11383,1501,9882,2178,1776,2394,1556,1139,479,101,259,8486,1272,7214,1684,1198,1835,1164,743,327,79,184,2776,229,2547,466,574,543,338,377,152,22,75,53,0,53,0,0,0,34,19,0,0,0,68,0,68,28,4,16,20,0,0,0,0
"Anderson School District 4, South Carolina","4500870",18189,1640,16549,3113,2361,2878,2178,2752,1383,671,1213,11253,979,10274,2211,1376,1882,1334,1756,760,391,564,6235,525,5710,848,911,916,723,837,563,280,632,124,10,114,34,20,0,24,26,10,0,0,577,126,451,20,54,80,97,133,50,0,17
"Anderson School District 5, South Carolina","4500900",65318,8429,56889,12522,7578,10486,8619,7526,4512,1518,4128,41115,5441,35674,8189,5224,6669,5283,4775,2694,898,1942,20619,2365,18254,3712,2045,3270,2787,2448,1580,557,1855,946,26,920,293,61,132,224,77,81,0,52,2638,597,2041,328,248,415,325,226,157,63,279
"Bamberg School District 1, South Carolina","4500930",7284,1556,5728,1218,797,1034,921,981,378,97,302,5531,1063,4468,816,666,810,679,820,341,87,249,1540,493,1047,316,99,194,223,140,37,7,31,59,0,59,38,0,0,0,21,0,0,0,154,0,154,48,32,30,19,0,0,3,22
"Bamberg School District 2, South Carolina","4500960",5558,1375,4183,1332,667,877,470,215,253,135,234,4293,992,3301,1047,562,615,418,170,181,130,178,1172,375,797,281,105,214,48,45,48,0,56,4,0,4,0,0,0,4,0,0,0,0,89,8,81,4,0,48,0,0,24,5,0
"Barnwell School District 19, South Carolina","4501020",3818,639,3179,942,428,661,316,444,194,65,129,3132,457,2675,814,328,612,262,385,127,62,85,572,137,435,99,100,40,39,52,58,3,44,9,0,9,0,0,0,0,0,9,0,0,105,45,60,29,0,9,15,7,0,0,0
"Barnwell School District 29, South Carolina","4501050",3932,908,3024,707,512,488,322,456,276,121,142,2855,658,2197,523,408,322,211,386,154,66,127,1042,232,810,184,104,149,111,70,122,55,15,0,0,0,0,0,0,0,0,0,0,0,35,18,17,0,0,17,0,0,0,0,0
"Barnwell School District 45, South Carolina","4501080",9726,1786,7940,1841,1076,1465,1130,961,717,153,597,7029,1364,5665,1358,734,1108,841,680,549,88,307,2426,340,2086,461,307,353,282,248,151,65,219,57,0,57,0,0,4,0,7,0,0,46,214,82,132,22,35,0,7,26,17,0,25
"Beaufort County School District, South Carolina","4501110",141234,14988,126246,22709,13496,21410,17421,17290,11691,4543,17686,29483,4532,24951,6545,3893,4484,3533,2908,1562,723,1303,94084,8069,86015,13467,7402,13474,11480,12567,9098,3557,14970,2100,242,1858,350,286,198,242,241,209,84,248,15567,2145,13422,2347,1915,3254,2166,1574,822,179,1165
"Berkeley County School District, South Carolina","4501170",153537,21877,131660,25104,12835,23937,19387,19852,13557,4964,12024,70756,11304,59452,13190,6553,10832,8800,8318,6039,1877,3843,70490,8331,62159,10024,5406,10740,9104,10082,6840,2541,7422,2406,320,2086,361,209,401,320,288,161,150,196,9885,1922,7963,1529,667,1964,1163,1164,517,396,563
"Calhoun County School District, South Carolina","4501250",12439,1641,10798,2362,1220,2078,1496,1645,880,259,858,9205,1305,7900,1878,916,1472,1086,1229,522,201,596,2810,278,2532,298,299,555,410,360,317,58,235,44,0,44,15,1,14,0,0,0,0,14,380,58,322,171,4,37,0,56,41,0,13
"Charleston County School District, South Carolina","4501440",308439,35980,272459,53603,25509,44123,37176,37893,25893,9458,38804,144884,18874,126010,30146,14222,22590,18250,15963,10038,3284,11517,141490,13615,127875,20587,9427,17208,16257,19560,14430,5633,24773,4151,482,3669,746,333,490,419,606,382,134,559,17914,3009,14905,2124,1527,3835,2250,1764,1043,407,1955
