"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Dorchester School District 4, South Carolina","4500002",16392,977,2136,1230,2579,1874,2694,1130,463,682,1664,963,12660,909,1906,1021,2042,1199,1820,770,378,564,1215,836,3357,68,222,206,428,503,841,356,78,118,449,88,92,0,0,3,0,59,24,4,2,0,0,0,283,0,8,0,109,113,9,0,5,0,0,39
"Abbeville County School District, South Carolina","4500690",23710,1372,3815,2458,2087,2845,3206,1615,642,1256,2582,1832,18271,1352,3333,1763,1637,2105,2209,1223,503,871,1838,1437,5025,20,410,592,436,668,935,352,129,373,734,376,127,0,23,14,0,16,38,7,10,0,0,19,287,0,49,89,14,56,24,33,0,12,10,0
"Aiken County School District, South Carolina","4500720",166583,9701,27248,14801,20672,19454,23036,12240,4315,6836,16741,11539,68394,5242,11941,6413,6532,7623,9423,5559,1574,2421,6637,5029,90187,4391,14893,7777,12325,9900,12311,6165,2576,4256,9382,6211,1509,24,120,185,303,371,265,51,69,17,75,29,6493,44,294,426,1512,1560,1037,465,96,142,647,270
"Allendale County School District, South Carolina","4500750",9838,539,1487,942,1407,1189,1337,738,315,346,1023,515,8169,536,1307,769,1114,920,1162,678,270,328,697,388,1510,3,154,146,265,229,153,57,45,17,314,127,44,0,0,12,0,9,20,3,0,0,0,0,115,0,26,15,28,31,2,0,0,1,12,0
"Anderson School District 1, South Carolina","4500780",51277,3028,10331,3588,5611,6776,8186,3599,961,1824,4637,2736,34804,2902,8486,2651,3602,3986,4630,2372,649,1208,2660,1658,15360,126,1779,854,1864,2469,3254,1169,301,580,1899,1065,272,0,17,0,46,119,43,26,0,13,8,0,841,0,49,83,99,202,259,32,11,23,70,13
"Anderson School District 2, South Carolina","4500810",23340,1305,3948,1882,2682,3057,3076,1795,715,955,2010,1915,18089,1259,3489,1626,2093,2260,1985,1280,519,731,1454,1393,4963,46,459,256,492,731,1034,488,196,224,547,490,57,0,0,0,30,0,9,12,0,0,0,6,231,0,0,0,67,66,48,15,0,0,9,26
"Anderson School District 3, South Carolina","4500840",14466,872,2690,1175,1671,1730,1797,1193,439,712,1288,899,11293,826,2460,1013,1355,1242,1213,884,303,495,880,622,3052,46,230,162,316,476,560,287,136,182,392,265,53,0,0,0,0,0,0,22,0,19,0,12,68,0,0,0,0,12,24,0,0,16,16,0
"Anderson School District 4, South Carolina","4500870",22123,1292,3074,1820,2418,2984,3023,1651,548,952,2775,1586,14685,1192,2573,1473,1535,2152,1636,983,282,520,1453,886,6666,100,412,277,781,710,1326,603,247,399,1176,635,174,0,50,0,44,69,0,0,0,0,11,0,598,0,39,70,58,53,61,65,19,33,135,65
"Anderson School District 5, South Carolina","4500900",80280,5079,13234,7916,9531,9599,11311,5036,1783,2964,7786,6041,54012,4390,11062,5499,6058,6102,6860,2670,1103,1589,4772,3907,22302,455,1877,2243,2525,2639,3797,2100,607,1314,2738,2007,1007,35,26,54,194,352,112,89,7,39,40,59,2959,199,269,120,754,506,542,177,66,22,236,68
"Bamberg School District 1, South Carolina","4500930",8828,512,1472,995,754,971,1323,728,265,238,797,773,7039,512,1277,746,557,807,878,632,213,188,649,580,1576,0,195,249,140,141,402,96,52,31,131,139,59,0,0,0,35,0,24,0,0,0,0,0,154,0,0,0,22,23,19,0,0,19,17,54
