"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Abbeville County, South Carolina","45001",16993,3945,5678,5290,1325,755,12681,3121,4382,3785,885,508,4061,777,1221,1442,391,230,118,17,26,38,30,7,133,30,49,25,19,10
"Aiken County, South Carolina","45003",110498,16748,34881,32319,16500,10050,44174,9013,16395,11697,4408,2661,60492,5832,17313,19254,11426,6667,1135,219,265,385,184,82,4697,1684,908,983,482,640
"Allendale County, South Carolina","45005",7045,1979,2404,1606,772,284,5688,1756,1923,1208,588,213,1207,144,429,379,184,71,36,19,17,0,0,0,114,60,35,19,0,0
"Anderson County, South Carolina","45007",127823,23343,40783,39035,16214,8448,81116,16632,27665,23884,8932,4003,41332,5078,11971,14097,6368,3818,1338,450,384,123,297,84,4037,1183,763,931,617,543
"Bamberg County, South Carolina","45009",10197,2496,2653,3263,1238,547,8006,2033,1980,2594,945,454,1890,348,600,648,248,46,37,0,16,21,0,0,264,115,57,0,45,47
"Barnwell County, South Carolina","45011",14521,2951,5671,4270,1185,444,10867,2445,4194,3007,883,338,3349,449,1416,1145,251,88,86,0,18,68,0,0,219,57,43,50,51,18
"Beaufort County, South Carolina","45013",114526,10006,27909,33601,25949,17061,22009,3026,8014,5994,2861,2114,77214,3354,15544,23839,20821,13656,1692,182,356,600,440,114,13611,3444,3995,3168,1827,1177
"Berkeley County, South Carolina","45015",118803,15819,37651,40053,16805,8475,52277,8981,19184,15979,5313,2820,55831,4452,15576,20976,9747,5080,1941,211,618,623,369,120,8754,2175,2273,2475,1376,455
"Calhoun County, South Carolina","45017",10651,1827,4023,2998,1200,603,7879,1309,3230,2183,842,315,2496,397,771,762,303,263,28,0,22,6,0,0,248,121,0,47,55,25
"Charleston County, South Carolina","45019",243560,28451,51872,67192,61582,34463,109728,18273,30182,30143,20624,10506,114270,5310,17743,33265,36740,21212,3188,215,561,1074,1004,334,16374,4653,3386,2710,3214,2411
"Cherokee County, South Carolina","45021",36469,9128,12818,9318,3794,1411,24107,6399,8831,5789,2228,860,11000,2224,3701,3203,1371,501,344,102,75,114,38,15,1018,403,211,212,157,35
"Chester County, South Carolina","45023",22284,4913,8653,5963,1961,794,15955,3684,6790,3967,1091,423,5933,1132,1804,1885,797,315,82,19,14,40,9,0,314,78,45,71,64,56
"Chesterfield County, South Carolina","45025",31171,7816,12049,7373,2595,1338,20783,5259,8409,5039,1319,757,9477,2216,3339,2250,1184,488,30,2,15,10,0,3,881,339,286,74,92,90
"Clarendon County, South Carolina","45027",23518,5243,8950,6279,1930,1116,16499,4139,6349,3953,1322,736,6479,899,2424,2205,595,356,84,32,29,23,0,0,456,173,148,98,13,24
"Colleton County, South Carolina","45029",26047,5517,9218,7484,2442,1386,18172,3897,6566,5232,1605,872,7330,1350,2443,2223,820,494,45,0,24,12,7,2,500,270,185,17,10,18
"Darlington County, South Carolina","45031",45871,9551,16921,11593,5534,2272,35100,7872,13528,8474,4006,1220,9563,1276,3063,3016,1436,772,242,76,86,49,31,0,966,327,244,54,61,280
