"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Abbeville County, South Carolina","45001",19579,19202,20070,62857,25357
"Aiken County, South Carolina","45003",24164,21848,26389,25022,19839
"Allendale County, South Carolina","45005",16737,14953,20725,30368,19375
"Anderson County, South Carolina","45007",22592,21497,24899,25294,26125
"Barnwell County, South Carolina","45011",20289,19796,23377,83009,17697
"Beaufort County, South Carolina","45013",28110,19886,32663,23607,20887
"Berkeley County, South Carolina","45015",26078,22757,30377,30577,20442
"Calhoun County, South Carolina","45017",22707,21547,25227,24038,35500
"Charleston County, South Carolina","45019",26420,21499,33839,31262,21979
"Cherokee County, South Carolina","45021",18993,18151,20980,25625,17209
"Chester County, South Carolina","45023",18418,17468,20752,41667,19844
"Chesterfield County, South Carolina","45025",19378,19264,19469,16875,20964
"Clarendon County, South Carolina","45027",16535,16207,17484,60100,14620
"Colleton County, South Carolina","45029",19580,18851,20965,11842,21358
"Darlington County, South Carolina","45031",20188,19447,23249,20429,19894
"Dillon County, South Carolina","45033",16339,16452,16493,29750,8571
"Dorchester County, South Carolina","45035",27732,24503,32229,26687,24457
"Edgefield County, South Carolina","45037",21376,18904,26998,51625,16636
"Fairfield County, South Carolina","45039",20649,19450,26832,41131,22478
"Florence County, South Carolina","45041",22074,20559,28209,32792,28714
"Georgetown County, South Carolina","45043",21077,17829,27202,29713,20966
"Greenville County, South Carolina","45045",25440,22530,30231,28875,21259
"Greenwood County, South Carolina","45047",21112,20688,23593,21771,15983
"Hampton County, South Carolina","45049",17922,18285,17283,9375,16379
"Horry County, South Carolina","45051",22182,19511,24718,25387,18735
"Jasper County, South Carolina","45053",19670,19692,20351,21987,15806
"Kershaw County, South Carolina","45055",24106,22990,28634,23371,17693
"Lancaster County, South Carolina","45057",22305,19180,27121,4587,24344
"Laurens County, South Carolina","45059",20200,19709,22173,33750,16977
"Lexington County, South Carolina","45063",29092,27099,32084,35693,21879
"McCormick County, South Carolina","45065",21057,18660,24255,47000,40238
"Marion County, South Carolina","45067",16768,16437,18331,5074,18288
"Marlboro County, South Carolina","45069",16836,16422,17777,18875,17222
"Newberry County, South Carolina","45071",22871,22108,25590,34352,19618
"Oconee County, South Carolina","45073",21640,19946,24939,16372,18646
"Orangeburg County, South Carolina","45075",18750,18047,20223,28750,25026
"Pickens County, South Carolina","45077",19132,18250,20424,23508,19032
"Richland County, South Carolina","45079",24863,22695,27969,31052,22415
"Saluda County, South Carolina","45081",20576,19989,24419,75114,18315
"Spartanburg County, South Carolina","45083",22134,20472,26654,25876,20201
"Sumter County, South Carolina","45085",22309,19309,30150,33112,20814
"Union County, South Carolina","45087",20090,19352,21657,24375,19512
"Williamsburg County, South Carolina","45089",15702,16225,13967,8533,14844
"York County, South Carolina","45091",27738,23192,31152,36654,25281
