"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Abbeville County, South Carolina","45001",24413,5272,3102,16039,19304,4206,2427,12671,4730,895,667,3168,132,24,8,100,247,147,0,100
"Aiken County, South Carolina","45003",158903,30089,16106,112708,65413,14792,7428,43193,86422,13445,8097,64880,1621,215,272,1134,5447,1637,309,3501
"Allendale County, South Carolina","45005",9061,3258,1271,4532,7589,2906,1092,3591,1298,322,167,809,28,0,0,28,146,30,12,104
"Anderson County, South Carolina","45007",185624,31101,21479,133044,129268,23373,15217,90678,50193,6704,5119,38370,1484,317,147,1020,4679,707,996,2976
"Bamberg County, South Carolina","45009",14835,4088,1614,9133,12027,3310,1293,7424,2511,700,313,1498,37,0,0,37,260,78,8,174
"Barnwell County, South Carolina","45011",22072,6412,2337,13323,17104,5247,1721,10136,4590,1027,599,2964,86,0,0,86,292,138,17,137
"Beaufort County, South Carolina","45013",158486,19841,14127,124518,44816,9062,5878,29876,94645,7317,5459,81869,2374,224,302,1848,16651,3238,2488,10925
"Berkeley County, South Carolina","45015",180579,25979,17594,137006,95162,15797,10650,68715,71918,7745,5584,58589,2950,226,186,2538,10549,2211,1174,7164
"Calhoun County, South Carolina","45017",14995,2727,1989,10279,11724,2212,1713,7799,2935,449,247,2239,28,0,6,22,308,66,23,219
"Charleston County, South Carolina","45019",347206,63064,30787,253355,184547,40404,19493,124650,139596,18321,8137,113138,4201,665,438,3098,18862,3674,2719,12469
"Cherokee County, South Carolina","45021",54671,12550,7914,34207,38465,9719,5369,23377,14448,2365,2162,9921,396,16,89,291,1362,450,294,618
"Chester County, South Carolina","45023",32429,7950,4309,20170,24349,6426,3413,14510,7687,1458,853,5376,91,14,4,73,302,52,39,211
