"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Dorchester School District 4, South Carolina","4500002",14369,3039,1583,9747,11184,2457,1241,7486,2929,478,288,2163,30,0,0,30,226,104,54,68
"Marion School District 7, South Carolina","4500012",6306,1698,1328,3280,5030,1229,1189,2612,799,363,40,396,27,0,0,27,450,106,99,245
"Abbeville County School District, South Carolina","4500690",23327,5091,2995,15241,18405,4063,2320,12022,4543,857,667,3019,132,24,8,100,247,147,0,100
"Aiken County School District, South Carolina","4500720",161941,30722,16541,114678,67868,15346,7739,44783,86885,13499,8148,65238,1621,215,272,1134,5567,1662,382,3523
"Allendale County School District, South Carolina","4500750",9061,3258,1271,4532,7589,2906,1092,3591,1298,322,167,809,28,0,0,28,146,30,12,104
"Anderson School District 1, South Carolina","4500780",49219,5501,4157,39561,33062,3954,2928,26180,15073,1530,997,12546,240,3,31,206,844,14,201,629
"Anderson School District 2, South Carolina","4500810",22929,3796,3118,16015,17638,2941,2622,12075,4935,708,483,3744,93,35,13,45,263,112,0,151
"Anderson School District 3, South Carolina","4500840",14912,3227,2359,9326,11493,2748,1680,7065,3275,473,679,2123,79,0,0,79,65,6,0,59
"Anderson School District 4, South Carolina","4500870",21076,2941,2035,16100,14330,2120,1325,10885,6079,759,603,4717,87,0,5,82,580,62,102,416
"Anderson School District 5, South Carolina","4500900",77815,15712,9810,52293,52937,11686,6662,34589,20966,3234,2357,15375,985,279,98,608,2927,513,693,1721
"Bamberg School District 1, South Carolina","4500930",8188,1868,670,5650,6470,1345,530,4595,1554,498,132,924,37,0,0,37,127,25,8,94
"Bamberg School District 2, South Carolina","4500960",6647,2220,944,3483,5557,1965,763,2829,957,202,181,574,0,0,0,0,133,53,0,80
"Barnwell School District 19, South Carolina","4501020",5387,1514,518,3355,4551,1245,444,2862,641,131,74,436,9,0,0,9,186,138,0,48
"Barnwell School District 29, South Carolina","4501050",5242,1504,698,3040,4060,1083,578,2399,1165,421,103,641,0,0,0,0,17,0,17,0
"Barnwell School District 45, South Carolina","4501080",11443,3394,1121,6928,8493,2919,699,4875,2784,475,422,1887,77,0,0,77,89,0,0,89
"Beaufort County School District, South Carolina","4501110",158145,19819,14095,124231,44720,9056,5866,29798,94401,7301,5439,81661,2373,224,302,1847,16651,3238,2488,10925
"Berkeley County School District, South Carolina","4501170",180579,25979,17594,137006,95162,15797,10650,68715,71918,7745,5584,58589,2950,226,186,2538,10549,2211,1174,7164
"Calhoun County School District, South Carolina","4501250",14995,2727,1989,10279,11724,2212,1713,7799,2935,449,247,2239,28,0,6,22,308,66,23,219
"Charleston County School District, South Carolina","4501440",347206,63064,30787,253355,184547,40404,19493,124650,139596,18321,8137,113138,4201,665,438,3098,18862,3674,2719,12469
"Cherokee County School District, South Carolina","4501500",52348,12102,7548,32698,37044,9446,5197,22401,13547,2191,1968,9388,395,15,89,291,1362,450,294,618
"Chester County School District, South Carolina","4501530",32429,7950,4309,20170,24349,6426,3413,14510,7687,1458,853,5376,91,14,4,73,302,52,39,211
"Chesterfield County School District, South Carolina","4501560",45703,12237,5669,27797,30742,8464,3765,18513,13847,3384,1828,8635,53,15,0,38,1061,374,76,611
"Clarendon School District 1, South Carolina","4501740",9065,2459,1841,4765,6229,1917,1505,2807,2762,524,334,1904,22,0,0,22,52,18,2,32
"Clarendon School District 2, South Carolina","4501770",18716,4708,2783,11225,13898,3641,1875,8382,4525,985,845,2695,39,9,11,19,254,73,52,129
"Clarendon School District 3, South Carolina","4501800",5139,1036,782,3321,4443,834,682,2927,501,97,55,349,6,0,0,6,189,105,45,39
"Colleton County School District, South Carolina","4501830",37921,7810,6200,23911,28873,6209,4858,17806,8139,1506,1157,5476,160,87,21,52,749,8,164,577
"Darlington County School District, South Carolina","4501860",67133,16130,8424,42579,53800,13584,6823,33393,11827,2248,1345,8234,272,47,2,223,1234,251,254,729
"Dillon School District 1, South Carolina","4501890",5045,1508,551,2986,4217,1340,455,2422,796,154,83,559,18,0,13,5,14,14,0,0
"Dillon School District 2, South Carolina","4501920",18085,5934,2958,9193,14086,4639,2213,7234,3301,851,587,1863,13,0,0,13,685,444,158,83
"Dillon School District 3, South Carolina","4501950",7818,2315,1241,4262,6789,2118,1169,3502,912,179,71,662,24,0,0,24,93,18,1,74
"Dorchester School District 2, South Carolina","4502010",123231,13558,12770,96903,57248,7587,7222,42439,57441,5168,4467,47806,2801,234,209,2358,5741,569,872,4300
"Edgefield County School District, South Carolina","4502070",23997,4773,2528,16696,11485,2579,1540,7366,11636,1774,937,8925,115,27,0,88,761,393,51,317
"Fairfield County School District, South Carolina","4502100",23219,5271,3187,14761,18561,4511,2682,11368,4116,676,432,3008,135,36,8,91,407,48,65,294
"Florence School District 1, South Carolina","4502130",95426,17264,10881,67281,67172,13652,8700,44820,24941,3296,1792,19853,609,60,144,405,2704,256,245,2203
"Florence School District 2, South Carolina","4502160",7333,1528,1066,4739,6366,1377,724,4265,577,127,65,385,9,0,0,9,381,24,277,80
"Florence School District 3, South Carolina","4502190",19305,4509,3193,11603,16720,3693,3003,10024,2409,788,121,1500,64,12,0,52,112,16,69,27
"Florence School District 4, South Carolina","4502220",6236,1937,636,3663,5179,1627,512,3040,820,173,109,538,42,28,6,8,195,109,9,77
"Florence School District 5, South Carolina","4502250",5761,1326,1001,3434,5050,1115,906,3029,557,96,81,380,31,31,0,0,123,84,14,25
"Georgetown County School District, South Carolina","4502280",59687,12663,6933,40091,36455,9814,5082,21559,21044,2138,1690,17216,391,0,26,365,1797,711,135,951
