"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Dorchester School District 4, South Carolina","4500002",11873,2699,4577,3183,928,486,8735,2167,3322,2322,585,339,2894,461,1157,859,270,147,27,4,0,2,21,0,217,67,98,0,52,0
"Marion School District 7, South Carolina","4500012",4585,876,2168,947,397,197,3590,651,1710,742,338,149,660,104,270,205,59,22,27,0,27,0,0,0,308,121,161,0,0,26
"Abbeville County School District, South Carolina","4500690",16189,3779,5417,4984,1271,738,12044,2978,4168,3565,842,491,3894,754,1174,1356,380,230,118,17,26,38,30,7,133,30,49,25,19,10
"Aiken County School District, South Carolina","4500720",112771,17281,35696,32878,16793,10123,46011,9428,17146,12102,4612,2723,60851,5879,17373,19406,11515,6678,1135,219,265,385,184,82,4774,1755,912,985,482,640
"Allendale County School District, South Carolina","4500750",7045,1979,2404,1606,772,284,5688,1756,1923,1208,588,213,1207,144,429,379,184,71,36,19,17,0,0,0,114,60,35,19,0,0
"Anderson School District 1, South Carolina","4500780",32782,5351,10674,10296,4525,1936,19556,3455,6842,5925,2473,861,12267,1608,3623,4191,1845,1000,225,13,92,18,94,8,734,275,117,162,113,67
"Anderson School District 2, South Carolina","4500810",16362,3378,5851,4823,1445,865,11879,2647,4412,3478,886,456,4165,573,1373,1303,525,391,80,35,26,7,12,0,238,123,40,35,22,18
"Anderson School District 3, South Carolina","4500840",10180,2660,3946,2924,497,153,7369,2081,2843,2059,319,67,2667,500,1055,848,178,86,79,37,42,0,0,0,65,42,6,17,0,0
"Anderson School District 4, South Carolina","4500870",15294,2053,4453,4782,2380,1626,9176,1421,2755,3012,1296,692,5494,490,1563,1649,1009,783,76,11,13,7,0,45,548,131,122,114,75,106
"Anderson School District 5, South Carolina","4500900",53440,9926,15919,16313,7367,3915,33236,7043,10873,9435,3958,1927,16874,1917,4357,6184,2811,1605,878,354,211,91,191,31,2452,612,478,603,407,352
"Bamberg School District 1, South Carolina","4500930",5728,1188,1651,1859,679,351,4367,994,1238,1324,513,298,1193,152,393,514,121,13,37,0,16,21,0,0,131,42,4,0,45,40
"Bamberg School District 2, South Carolina","4500960",4469,1308,1002,1404,559,196,3639,1039,742,1270,432,156,697,196,207,134,127,33,0,0,0,0,0,0,133,73,53,0,0,7
"Barnwell School District 19, South Carolina","4501020",3831,844,1753,978,178,78,3171,661,1471,851,120,68,538,134,255,98,41,10,9,0,0,9,0,0,113,49,27,20,17,0
"Barnwell School District 29, South Carolina","4501050",3307,792,1012,1019,349,135,2534,629,678,819,304,104,756,156,334,190,45,31,0,0,0,0,0,0,17,7,0,10,0,0
"Barnwell School District 45, South Carolina","4501080",7383,1315,2906,2273,658,231,5162,1155,2045,1337,459,166,2055,159,827,857,165,47,77,0,18,59,0,0,89,1,16,20,34,18
"Beaufort County School District, South Carolina","4501110",114219,9956,27853,33428,25932,17050,21913,2996,7988,5954,2861,2114,77006,3334,15514,23709,20804,13645,1689,182,356,597,440,114,13611,3444,3995,3168,1827,1177
"Berkeley County School District, South Carolina","4501170",118803,15819,37651,40053,16805,8475,52277,8981,19184,15979,5313,2820,55831,4452,15576,20976,9747,5080,1941,211,618,623,369,120,8754,2175,2273,2475,1376,455
"Calhoun County School District, South Carolina","4501250",10651,1827,4023,2998,1200,603,7879,1309,3230,2183,842,315,2496,397,771,762,303,263,28,0,22,6,0,0,248,121,0,47,55,25
"Charleston County School District, South Carolina","4501440",243560,28451,51872,67192,61582,34463,109728,18273,30182,30143,20624,10506,114270,5310,17743,33265,36740,21212,3188,215,561,1074,1004,334,16374,4653,3386,2710,3214,2411
"Cherokee County School District, South Carolina","4501500",34820,8904,12406,8668,3488,1354,23161,6261,8704,5363,2030,803,10298,2138,3416,2980,1263,501,343,102,75,113,38,15,1018,403,211,212,157,35
"Chester County School District, South Carolina","4501530",22284,4913,8653,5963,1961,794,15955,3684,6790,3967,1091,423,5933,1132,1804,1885,797,315,82,19,14,40,9,0,314,78,45,71,64,56
"Chesterfield County School District, South Carolina","4501560",31171,7816,12049,7373,2595,1338,20783,5259,8409,5039,1319,757,9477,2216,3339,2250,1184,488,30,2,15,10,0,3,881,339,286,74,92,90
"Clarendon School District 1, South Carolina","4501740",6813,1607,2546,1761,538,361,4441,1270,1672,968,346,185,2298,313,845,785,184,171,22,9,13,0,0,0,52,15,16,8,8,5
"Clarendon School District 2, South Carolina","4501770",12427,2655,4683,3442,1024,623,8664,2095,3280,2153,691,445,3513,501,1288,1237,328,159,39,0,16,23,0,0,211,59,99,29,5,19
"Clarendon School District 3, South Carolina","4501800",4278,981,1721,1076,368,132,3394,774,1397,832,285,106,668,85,291,183,83,26,23,23,0,0,0,0,193,99,33,61,0,0
"Colleton County School District, South Carolina","4501830",26047,5517,9218,7484,2442,1386,18172,3897,6566,5232,1605,872,7330,1350,2443,2223,820,494,45,0,24,12,7,2,500,270,185,17,10,18
"Darlington County School District, South Carolina","4501860",45871,9551,16921,11593,5534,2272,35100,7872,13528,8474,4006,1220,9563,1276,3063,3016,1436,772,242,76,86,49,31,0,966,327,244,54,61,280
"Dillon School District 1, South Carolina","4501890",3508,846,1262,963,349,88,2862,738,1039,749,275,61,632,99,223,209,74,27,5,0,0,5,0,0,9,9,0,0,0,0
"Dillon School District 2, South Carolina","4501920",11908,4006,4666,2485,428,323,8952,2936,3735,1813,307,161,2417,684,787,672,118,156,13,0,13,0,0,0,526,386,131,0,3,6
"Dillon School District 3, South Carolina","4501950",4999,1147,2156,1201,321,174,4155,1004,1895,897,251,108,746,125,223,290,51,57,14,0,0,14,0,0,84,18,38,0,19,9
"Dorchester School District 2, South Carolina","4502010",78550,6912,21930,28926,13368,7414,28909,3341,9420,9952,3765,2431,42944,2451,10643,16942,8625,4283,1826,225,451,813,240,97,4871,895,1416,1219,738,603
"Edgefield County School District, South Carolina","4502070",18966,3546,7197,4970,2147,1106,8764,2062,3842,1907,652,301,8883,860,3003,2901,1462,657,168,32,46,51,0,39,1151,592,306,111,33,109
"Fairfield County School District, South Carolina","4502100",16522,3078,6538,4344,1554,1008,12575,2472,5186,3261,980,676,3488,538,1190,969,460,331,99,0,0,63,36,0,360,68,162,51,78,1
"Florence School District 1, South Carolina","4502130",64506,8943,20200,18941,10156,6266,41645,7135,14533,11772,5430,2775,20060,1396,5003,6638,4096,2927,505,69,144,85,135,72,2296,343,520,446,495,492
"Florence School District 2, South Carolina","4502160",4916,1258,2011,1112,324,211,4208,1070,1668,1006,292,172,474,50,253,106,26,39,4,0,4,0,0,0,230,138,86,0,6,0
"Florence School District 3, South Carolina","4502190",13114,3662,4764,3256,957,475,11196,3341,4044,2730,736,345,1790,234,707,517,221,111,49,10,11,9,0,19,79,77,2,0,0,0
"Florence School District 4, South Carolina","4502220",4244,1189,1501,1083,333,138,3437,964,1209,898,267,99,646,145,236,171,55,39,23,0,8,6,9,0,138,80,48,8,2,0
"Florence School District 5, South Carolina","4502250",3598,699,1603,899,222,175,3026,634,1458,616,166,152,489,25,133,280,28,23,12,0,12,0,0,0,71,40,0,3,28,0
"Georgetown County School District, South Carolina","4502280",43262,6698,13979,12760,5659,4166,23562,4654,8862,6727,1751,1568,17965,1283,4811,5717,3777,2377,352,48,55,102,57,90,1383,713,251,214,74,131
"Greenville County School District, South Carolina","4502310",316216,45988,83240,89889,62889,34210,145503,25590,47190,40452,21810,10461,135810,9972,28859,42131,34853,19995,3898,404,859,1250,1048,337,31005,10022,6332,6056,5178,3417
"Greenwood School District 50, South Carolina","4502340",38235,7650,11026,10689,6135,2735,26337,5765,8153,7463,3564,1392,9535,1035,2314,2819,2240,1127,475,49,12,210,67,137,1888,801,547,197,264,79
"Greenwood School District 51, South Carolina","4502370",4824,1115,1593,1516,391,209,3658,877,1231,1047,319,184,1070,209,320,444,72,25,30,0,10,20,0,0,66,29,32,5,0,0
"Greenwood School District 52, South Carolina","4502400",5234,687,1937,1643,661,306,3599,515,1500,1054,400,130,1579,147,432,563,261,176,20,0,0,20,0,0,36,25,5,6,0,0
"Hampton School District 1, South Carolina","4502430",9052,1831,3442,2625,739,415,7086,1657,2745,1837,565,282,1878,157,680,774,141,126,28,0,5,8,15,0,60,17,12,6,18,7
"Hampton School District 2, South Carolina","4502460",5006,1569,1991,994,258,194,2985,983,1301,453,143,105,1625,400,599,462,90,74,87,23,14,24,19,7,309,163,77,55,6,8
"Horry County School District, South Carolina","4502490",195410,24103,62687,64227,29942,14451,58483,10163,19267,18357,7332,3364,119836,8976,38447,41897,20486,10030,1876,238,469,805,217,147,15215,4726,4504,3168,1907,910
"Jasper County School District, South Carolina","4502520",16655,3539,6700,4332,1514,570,8578,1820,3944,2003,513,298,6146,807,2233,2074,786,246,78,0,51,15,12,0,1853,912,472,240,203,26
