"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Dorchester School District 4, South Carolina","4500002",44.5,41.3,49.6,51.6,32.7
"Abbeville County School District, South Carolina","4500690",42.8,41.2,46.9,50.9,25.6
"Aiken County School District, South Carolina","4500720",40.4,40.4,40.5,40,39.2
"Allendale County School District, South Carolina","4500750",38.5,39.3,37.6,28.8,30.1
"Anderson School District 1, South Carolina","4500780",39,33.5,45.1,49.6,45
"Anderson School District 2, South Carolina","4500810",42.9,40.2,48.6,49.2,36.5
"Anderson School District 3, South Carolina","4500840",40.6,37.5,49.2,47.9,64.4
"Anderson School District 4, South Carolina","4500870",43.9,37.7,54.3,44.3,58.2
"Anderson School District 5, South Carolina","4500900",38.6,35,46.4,41.9,35.8
"Barnwell School District 45, South Carolina","4501080",37.7,34.5,42.8,42.4,69.4
"Beaufort County School District, South Carolina","4501110",41.8,23.5,51.3,36,37.4
"Berkeley County School District, South Carolina","4501170",34.8,28.3,40.4,31.7,39.7
"Calhoun County School District, South Carolina","4501250",44,41.9,51.2,51.9,44.7
"Charleston County School District, South Carolina","4501440",36,30.4,41,36,36.7
"Cherokee County School District, South Carolina","4501500",38.2,35.9,41.9,41.8,39.2
"Chester County School District, South Carolina","4501530",40.6,37.8,44.8,48,63.6
"Chesterfield County School District, South Carolina","4501560",39.9,40.5,38.9,37.4,39
"Clarendon School District 2, South Carolina","4501770",40.4,36.4,48.2,39.7,48.3
"Clarendon School District 3, South Carolina","4501800",34.6,32.5,42.9,32.3,38.6
"Colleton County School District, South Carolina","4501830",41.2,36.2,53.5,22.8,33.9
"Darlington County School District, South Carolina","4501860",39.8,37.6,47.3,43.8,36.2
"Dorchester School District 2, South Carolina","4502010",34.9,25.1,41.2,32.4,42.7
"Edgefield County School District, South Carolina","4502070",41.5,43.3,38.9,44.4,38.2
"Fairfield County School District, South Carolina","4502100",43.1,41.7,49.6,45.8,33.1
"Florence School District 1, South Carolina","4502130",37.3,33.1,44.6,35.4,42.5
"Florence School District 3, South Carolina","4502190",39.4,38.4,41.8,51.6,42.4
"Florence School District 4, South Carolina","4502220",39.5,38.6,49.4,33.3,27
"Florence School District 5, South Carolina","4502250",35.5,33.3,45.4,14.8,36.5
"Georgetown County School District, South Carolina","4502280",46.1,40,55.9,40,42
"Greenville County School District, South Carolina","4502310",37.4,30.9,43.4,38.2,37.8
"Greenwood School District 50, South Carolina","4502340",36.9,34,44.1,38.8,36.5
"Greenwood School District 52, South Carolina","4502400",45.5,42.8,50,41.5,59.3
"Hampton School District 1, South Carolina","4502430",39.8,39.2,42.3,49.7,35.3
"Hampton School District 2, South Carolina","4502460",37.8,39.8,36.4,34.5,40
"Horry County School District, South Carolina","4502490",42,27.8,49.9,44.1,37.2
"Jasper County School District, South Carolina","4502520",35.9,33.2,41.6,60.4,33.4
"Kershaw County School District, South Carolina","4502550",40.9,36.9,45.7,39.7,41.7
"Lancaster County School District, South Carolina","4502580",40.5,38.6,43.5,57,40.9
"Laurens School District 55, South Carolina","4502610",40.7,37.3,50,37.8,32
"Laurens School District 56, South Carolina","4502640",39.2,35.9,50.4,47.1,40.1
"Lee County School District, South Carolina","4502670",39.3,37.9,42.7,40.2,31.6
"Lexington School District 1, South Carolina","4502700",36.7,30.1,43.7,43.2,39.9
"Lexington School District 2, South Carolina","4502730",36.6,33.5,43.2,40,32.7
"Lexington School District 4, South Carolina","4502790",36.1,30.5,47.3,53.5,37.5
"Lexington School District 5, South Carolina","4502820",40,32,45.6,38.7,46.7
"Marion School District 2, South Carolina","4502880",42.2,41.8,43.5,22.1,61.6
"Marlboro County School District, South Carolina","4502970",39.2,39.7,38.4,36.9,38.8
"McCormick County School District, South Carolina","4503000",50.4,45.4,58.8,51.4,61.1
"Newberry County School District, South Carolina","4503030",40.6,39.6,48.6,50.3,33.3
"Oconee County School District, South Carolina","4503060",43.4,36.2,52.3,50.9,34.7
"Orangeburg School District 3, South Carolina","4503150",40.9,38.1,49.2,52.1,40.9
"Orangeburg School District 4, South Carolina","4503180",38.2,36.2,46,50.9,31.5
"Orangeburg School District 5, South Carolina","4503210",37.1,36.9,36.9,34.4,41.3
"Pickens County School District, South Carolina","4503330",34.9,32,41.1,33.2,33.2
"Richland School District 1, South Carolina","4503360",31.7,30,34.8,33.5,32.3
"Richland School District 2, South Carolina","4503390",35.4,28.8,40.5,36.7,40.5
"Saluda County School District, South Carolina","4503460",40.5,40.6,54.1,40.3,31.1
"Spartanburg School District 1, South Carolina","4503480",43,38.5,49.5,47.6,39.3
"Spartanburg School District 2, South Carolina","4503510",37.1,32.1,43.4,24.4,38.7
"Spartanburg School District 4, South Carolina","4503570",40.5,37.4,44.7,33.8,48.7
"Spartanburg School District 5, South Carolina","4503600",35.9,32.5,42.9,41.2,41.9
"Spartanburg School District 6, South Carolina","4503630",36.1,30.4,43.4,45.1,37.4
"Spartanburg School District 7, South Carolina","4503660",38.8,34.3,47.5,42.7,37
"Union County School District, South Carolina","4503750",42.7,41.4,45.1,27.8,52.3
"Williamsburg County School District, South Carolina","4503780",41.2,42.7,38.1,38,36.1
"York School District 1, South Carolina","4503810",38.9,35.8,42.7,35.5,38.2
"York School District 2, South Carolina","4503840",40.1,34.7,40.7,44.6,48.3
"York School District 3, South Carolina","4503870",35.6,32.6,38.9,40.5,34.8
"York School District 4, South Carolina","4503900",38.2,33,38.5,40.2,41.6
"Sumter County Consolidated School District, South Carolina","4503902",35.4,32.2,40.3,30.6,35.9
"Remainder of South Carolina, South Carolina","4599999",20.8,18.9,20.7,20.7,26.2
