"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Dorchester School District 4, South Carolina","4500002",13458,3072,10386,2567,1356,2032,1760,1214,733,271,453,10052,2257,7795,1904,1106,1556,1276,887,602,132,332,3159,790,2369,558,237,452,451,301,131,118,121,30,0,30,0,0,3,0,6,0,21,0,217,25,192,105,13,21,33,20,0,0,0
"Marion School District 7, South Carolina","4500012",5353,847,4506,1295,670,1162,584,265,248,49,233,4179,539,3640,1106,575,865,458,232,171,16,217,697,175,522,162,35,87,108,30,77,7,16,27,0,27,27,0,0,0,0,0,0,0,450,133,317,0,60,210,18,3,0,26,0
"Abbeville County School District, South Carolina","4500690",19679,2707,16972,4256,2368,3666,2398,2117,1268,322,577,14804,1949,12855,3235,1871,2835,1823,1588,928,207,368,4575,704,3871,966,497,805,534,504,298,113,154,118,0,118,10,0,8,10,11,32,0,47,182,54,128,45,0,18,31,14,10,2,8
"Aiken County School District, South Carolina","4500720",133829,20184,113645,24770,13555,20079,15311,14580,9221,4146,11983,55583,9125,46458,10911,5778,9026,6812,5807,3520,1397,3207,71599,9942,61657,12601,7131,9775,7876,8229,5336,2617,8092,1375,114,1261,303,201,126,118,107,119,38,249,5272,1003,4269,955,445,1152,505,437,246,94,435
"Allendale County School District, South Carolina","4500750",8427,2873,5554,1638,1016,1191,593,428,425,128,135,6839,2383,4456,1392,843,897,499,324,274,128,99,1393,447,946,239,143,248,35,94,151,0,36,48,19,29,1,0,11,17,0,0,0,0,147,24,123,6,30,35,42,10,0,0,0
"Anderson School District 1, South Carolina","4500780",38760,5615,33145,6153,3540,5967,4681,5103,3402,1428,2871,24199,3710,20489,4255,2321,3680,2845,3128,1936,933,1391,13527,1756,11771,1859,1172,2145,1598,1843,1270,473,1411,240,25,215,15,44,42,52,15,47,0,0,794,124,670,24,3,100,186,117,149,22,69
"Anderson School District 2, South Carolina","4500810",19140,3153,15987,3113,2487,3058,2407,2243,1329,426,924,14292,2285,12007,2387,1707,2464,1847,1776,985,291,550,4513,790,3723,635,727,576,512,457,337,135,344,97,0,97,39,0,0,39,0,7,0,12,238,78,160,52,53,18,9,10,0,0,18
"Anderson School District 3, South Carolina","4500840",11970,1656,10314,2580,1776,2557,1393,1213,405,109,281,8821,1341,7480,1860,1303,1910,1042,835,268,88,174,3005,315,2690,692,473,627,329,316,137,21,95,79,0,79,0,0,0,17,62,0,0,0,65,0,65,28,0,20,5,0,0,0,12
"Anderson School District 4, South Carolina","4500870",17604,1829,15775,3041,1876,2883,2172,2593,1230,684,1296,11096,1367,9729,2032,1023,1825,1557,1614,641,432,605,5852,389,5463,884,839,978,483,864,543,252,620,76,8,68,31,0,0,16,21,0,0,0,580,65,515,94,14,80,116,94,46,0,71
"Anderson School District 5, South Carolina","4500900",64194,8376,55818,13084,7004,10857,8701,6636,4246,1263,4027,40886,5605,35281,8552,5015,6771,5520,4118,2502,704,2099,19640,2180,17460,3918,1635,3442,2577,2188,1488,519,1693,947,28,919,268,71,155,243,47,87,0,48,2721,563,2158,346,283,489,361,283,169,40,187
"Bamberg School District 1, South Carolina","4500930",7002,1135,5867,1483,772,1017,1004,758,413,191,229,5389,742,4647,1058,715,723,809,623,358,174,187,1445,393,1052,352,39,263,195,119,55,14,15,37,0,37,21,0,0,0,16,0,0,0,131,0,131,52,18,31,0,0,0,3,27
