"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Dorchester School District 4, South Carolina","4500002",15930,859,2123,1075,2300,1779,2824,944,571,740,1864,851,12318,799,1851,933,1851,1225,1920,675,447,621,1285,711,3350,60,257,139,334,519,842,265,117,119,579,119,30,0,0,3,0,0,21,4,2,0,0,0,232,0,15,0,115,35,41,0,5,0,0,21
"Marion School District 7, South Carolina","4500012",6429,405,961,478,847,703,1034,553,155,230,653,410,5145,337,894,324,663,457,731,446,93,230,602,368,807,68,67,12,110,103,212,107,35,0,51,42,27,0,0,0,0,0,0,0,27,0,0,0,450,0,0,142,74,143,91,0,0,0,0,0
"Abbeville County School District, South Carolina","4500690",24147,1413,4051,2494,1991,3112,3402,1727,659,1144,2354,1800,18958,1397,3596,1921,1536,2170,2375,1376,479,849,1800,1459,4800,16,366,524,418,879,986,318,166,285,528,314,132,0,14,0,0,32,38,7,14,0,10,17,257,0,75,49,37,31,3,26,0,10,16,10
"Aiken County School District, South Carolina","4500720",164748,10043,27110,14824,20097,19898,23864,11932,4368,6320,15200,11092,69396,4882,12083,6420,7501,7854,10147,5241,1715,2516,5980,5057,88062,5101,14400,7710,11296,10315,12508,6357,2477,3612,8505,5781,1640,60,232,213,207,317,384,57,58,13,91,8,5650,0,395,481,1093,1412,825,277,118,179,624,246
"Allendale County School District, South Carolina","4500750",10214,599,1607,963,1434,1351,1387,598,433,409,829,604,8413,588,1329,808,1093,983,1138,589,391,365,638,491,1606,11,255,133,261,338,212,6,42,44,191,113,48,0,0,12,16,0,17,3,0,0,0,0,147,0,23,10,64,30,20,0,0,0,0,0
"Anderson School District 1, South Carolina","4500780",49411,3047,9916,3666,5624,6553,7932,3371,1148,1594,4172,2388,33193,2981,7880,2776,3479,3673,4492,2171,725,946,2503,1567,15134,66,1959,842,1956,2721,3030,1145,365,607,1622,821,240,0,15,0,22,17,125,38,0,15,8,0,844,0,62,48,167,142,285,17,58,26,39,0
"Anderson School District 2, South Carolina","4500810",23266,1005,4357,1542,2489,3058,3478,1847,721,1116,1976,1677,17836,937,3647,1373,1838,2261,2292,1394,467,951,1420,1256,5051,46,688,152,598,707,1086,425,254,165,546,384,97,0,0,17,14,0,47,19,0,0,0,0,282,22,22,0,39,90,53,9,0,0,10,37
"Anderson School District 3, South Carolina","4500840",14993,1058,2554,1201,1602,1865,2107,1133,308,710,1488,967,11562,996,2230,967,1293,1420,1230,891,227,552,996,760,3287,62,324,234,303,445,818,225,81,116,472,207,79,0,0,0,0,0,42,17,0,20,0,0,65,0,0,0,6,0,17,0,0,22,20,0
"Anderson School District 4, South Carolina","4500870",21076,1260,2705,1817,2131,3068,2811,1749,606,994,2540,1395,14330,1233,2437,1484,1444,2176,1519,1011,337,472,1462,755,6079,27,257,301,613,767,1244,629,255,498,922,566,87,0,11,0,0,38,0,31,0,0,7,0,580,0,0,32,74,87,48,78,14,24,149,74
"Anderson School District 5, South Carolina","4500900",80061,5428,13491,7702,9822,10185,11209,4652,1698,2874,6854,6146,54521,4865,11166,5254,5987,6358,6935,2743,1098,1739,4357,4019,21511,415,2025,2197,2756,2846,3662,1716,512,1051,2337,1994,1039,25,67,69,170,314,199,58,7,35,29,66,2990,123,233,182,909,667,413,135,81,49,131,67
