"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Atlantic County, New Jersey","34001",40.5,28.6,53.8,45.4,43.4
"Bergen County, New Jersey","34003",41.4,27.5,47.3,46,46.5
"Burlington County, New Jersey","34005",40.9,29.6,49.3,43.7,45.3
"Camden County, New Jersey","34007",38.2,27.6,49.8,48.2,43
"Cape May County, New Jersey","34009",48,32.4,58,34.9,41.3
"Cumberland County, New Jersey","34011",36.7,30.9,52.4,49.2,37.5
"Essex County, New Jersey","34013",36.7,25.6,46.3,47.1,43.6
"Gloucester County, New Jersey","34015",39.4,30,49,46.6,43.6
"Hudson County, New Jersey","34017",34.5,23.8,33.7,51.2,41.3
"Hunterdon County, New Jersey","34019",44.5,37.5,52,47.5,47.9
"Mercer County, New Jersey","34021",38.3,28.9,47.8,41.2,41.3
"Middlesex County, New Jersey","34023",37.6,25.1,47.5,47.8,42.1
"Monmouth County, New Jersey","34025",42,31.6,50.4,48.3,45.4
"Morris County, New Jersey","34027",41.8,32.8,50.5,45.2,45
"Ocean County, New Jersey","34029",42.8,36,53.9,42.4,47.2
"Passaic County, New Jersey","34031",36.4,24.5,48.3,45.8,44
"Salem County, New Jersey","34033",41.7,40,43.9,46.5,43.8
"Somerset County, New Jersey","34035",40.7,28.5,50.4,45.9,43.9
"Sussex County, New Jersey","34037",42.8,37,50.7,53,48.2
"Union County, New Jersey","34039",38,26,47,44.1,44.2
"Warren County, New Jersey","34041",42.1,38.7,48.6,49.9,43.8
