"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Atlantic County, New Jersey","34001",275325,16580,45739,26195,32146,34293,42859,18966,7610,9780,23001,18156,154379,14842,36899,18949,16486,16759,20012,8359,2908,4002,8333,6830,68430,1243,5151,3493,6106,7532,12540,6676,2957,3694,10399,8639,7207,123,675,393,1107,1258,1567,509,232,388,646,309,45309,372,3014,3360,8447,8744,8740,3422,1513,1696,3623,2378
"Bergen County, New Jersey","34003",920456,49522,153800,71499,107737,127293,146775,66909,23372,30483,73706,69360,394282,39906,104202,40817,41652,38298,46394,20832,7865,9934,21375,23007,235101,7613,34976,14760,22440,29308,39962,19983,7191,9170,24384,25314,15041,415,1643,1040,1829,2344,2327,1301,508,726,1579,1329,276032,1588,12979,14882,41816,57343,58092,24793,7808,10653,26368,19710
"Burlington County, New Jersey","34005",450155,24492,76266,38931,53248,58961,73678,31520,11619,15315,35509,30616,233217,20447,56168,25472,28734,25676,31853,12006,4522,5643,12218,10478,165637,3442,16917,10121,16275,23057,31889,15365,5436,7481,19046,16608,8719,265,885,998,1182,1335,1758,809,187,467,443,390,42582,338,2296,2340,7057,8893,8178,3340,1474,1724,3802,3140
"Camden County, New Jersey","34007",512632,32696,89091,45838,68651,66769,76164,35295,11595,17284,37369,31880,276445,28481,68347,31036,37919,31110,32228,13021,4431,6161,12853,10858,164931,3613,16644,9681,17591,21546,30022,16739,5237,8441,18486,16931,16534,225,1201,942,2112,2984,3331,1338,691,760,1789,1161,54722,377,2899,4179,11029,11129,10583,4197,1236,1922,4241,2930
"Cape May County, New Jersey","34009",96286,4531,13082,7906,9420,9522,14363,7494,3569,4502,11864,10033,46006,4027,9874,4794,5414,4211,6231,2879,1364,1353,3351,2508,43363,380,2645,2161,2916,3997,7041,4294,2055,2917,7987,6970,1449,50,248,220,212,157,228,53,90,87,51,53,5468,74,315,731,878,1157,863,268,60,145,475,502
"Cumberland County, New Jersey","34011",157429,10786,26725,14539,23053,21710,21921,9960,3461,4738,11284,9252,105492,10307,22991,10369,14872,13681,12932,5761,1716,2486,5874,4503,26063,289,1858,1641,2749,3106,4682,2514,1128,1285,3320,3491,8740,33,593,606,1108,1496,1577,691,362,655,1020,599,17134,157,1283,1923,4324,3427,2730,994,255,312,1070,659
"Essex County, New Jersey","34013",789616,53738,139396,75047,107618,113986,115667,49250,17310,23347,51381,42876,411267,46509,106888,48572,51467,46089,45179,18449,6221,8124,16881,16888,153822,5731,20117,10301,15552,21833,25499,12832,4956,6362,16143,14496,25846,473,2424,1921,3425,3771,4421,2328,873,1546,2985,1679,198681,1025,9967,14253,37174,42293,40568,15641,5260,7315,15372,9813
"Gloucester County, New Jersey","34015",289705,16611,51652,26924,34123,38880,46117,19749,7426,9890,21649,16684,166754,14430,38582,19518,21149,20741,21460,8644,3362,4237,8139,6492,104619,2064,11962,6026,9651,14659,21036,9690,3626,4789,11956,9160,3065,8,184,103,662,510,516,226,211,198,290,157,15267,109,924,1277,2661,2970,3105,1189,227,666,1264,875
"Hudson County, New Jersey","34017",654878,45182,89101,62072,137206,101228,84750,35523,13260,17415,38556,30585,246443,34992,62435,31501,40356,24227,19578,9111,3263,3558,8824,8598,109239,7252,12100,9266,29581,17731,13519,5209,1882,2398,5511,4790,26141,591,1733,1963,2862,3425,4372,2162,1260,1495,3677,2601,273055,2347,12833,19342,64407,55845,47281,19041,6855,9964,20544,14596
"Hunterdon County, New Jersey","34019",126746,5319,22678,10149,10443,15669,24603,11398,3368,4910,10600,7609,79269,4774,18561,7856,6621,8822,13653,6048,1684,2293,4836,4121,35359,508,3271,1634,2389,4603,8118,4078,1310,2198,4508,2742,1483,27,165,117,109,212,273,279,38,54,98,111,10635,10,681,542,1324,2032,2559,993,336,365,1158,635
