"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Atlantic County, New Jersey","34001",268775,40852,22902,205021,150151,23536,11677,114938,66548,7058,4584,54906,7069,1922,919,4228,45007,8336,5722,30949
"Bergen County, New Jersey","34003",910008,68104,49444,792460,388210,26081,18455,343674,232475,11994,8649,211832,14893,1637,842,12414,274430,28392,21498,224540
"Burlington County, New Jersey","34005",437930,25205,20612,392113,228171,14601,10541,203029,160334,7076,7079,146179,8225,735,544,6946,41200,2793,2448,35959
"Camden County, New Jersey","34007",505676,66176,36680,402820,271691,39792,19972,211927,163098,13558,8901,140639,16399,5067,2030,9302,54488,7759,5777,40952
"Cape May County, New Jersey","34009",94168,10483,6692,76993,45117,5577,2763,36777,42313,3600,2923,35790,1422,357,139,926,5316,949,867,3500
"Cumberland County, New Jersey","34011",145322,26192,15760,103370,98076,17615,9183,71278,22959,3055,2311,17593,7896,2355,1257,4284,16391,3167,3009,10215
"Essex County, New Jersey","34013",770490,132420,69944,568126,398922,78901,34295,285726,149610,18367,10641,120602,25410,6233,2721,16456,196548,28919,22287,145342
"Gloucester County, New Jersey","34015",285180,22707,13798,248675,163418,14879,8445,140094,103583,6085,4064,93434,3059,238,233,2588,15120,1505,1056,12559
"Hudson County, New Jersey","34017",648311,112585,62238,473488,242509,48146,24219,170144,107916,12982,6451,88483,25910,5376,3495,17039,271976,46081,28073,197822
"Hunterdon County, New Jersey","34019",121928,5065,3630,113233,75943,3049,2421,70473,34319,1108,868,32343,1329,100,93,1136,10337,808,248,9281
"Mercer County, New Jersey","34021",351231,41005,21985,288241,184404,23532,10926,149946,80936,6163,3665,71108,9235,1909,865,6461,76656,9401,6529,60726
"Middlesex County, New Jersey","34023",798342,68181,45512,684649,369440,31410,19385,318645,154705,10713,6359,137633,18184,2710,1852,13622,256013,23348,17916,214749
"Monmouth County, New Jersey","34025",622963,45810,32167,544986,353150,26401,16705,310044,180851,9534,7399,163918,7527,929,477,6121,81435,8946,7586,64903
"Morris County, New Jersey","34027",489250,22788,20095,446367,281367,11860,9587,259920,108311,3827,2738,101746,7172,651,374,6147,92400,6450,7396,78554
"Ocean County, New Jersey","34029",573967,63748,44711,465508,378877,40493,27410,310974,140706,14925,10711,115070,9082,1971,1101,6010,45302,6359,5489,33454
"Passaic County, New Jersey","34031",497282,81751,49869,365662,262753,43589,23674,195490,64350,6723,3465,54162,26267,6787,5446,14034,143912,24652,17284,101976
"Salem County, New Jersey","34033",64276,8693,4903,50680,40325,5760,3288,31277,20071,2142,1162,16767,653,192,10,451,3227,599,443,2185
"Somerset County, New Jersey","34035",325271,16697,12403,296171,169792,8976,6324,154492,73865,2531,1899,69435,3976,142,87,3747,77638,5048,4093,68497
"Sussex County, New Jersey","34037",145284,8337,6538,130409,99581,5766,4912,88903,33174,1644,1001,30529,1403,108,71,1224,11126,819,554,9753
"Union County, New Jersey","34039",538151,59523,42377,436251,271459,30000,19205,222254,92639,6736,4645,81258,13822,2087,1604,10131,160231,20700,16923,122608
"Warren County, New Jersey","34041",105761,8343,6275,91143,68681,5512,3551,59618,26175,1631,1610,22934,1226,49,212,965,9679,1151,902,7626
