"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Atlantic County, New Jersey","34001",40.6,28.4,54.5,48.1,43.9
"Bergen County, New Jersey","34003",41.5,27.4,47.3,44.9,47.1
"Burlington County, New Jersey","34005",41,29.5,50,43.7,46
"Camden County, New Jersey","34007",38.3,27.8,50.2,48.3,43.2
"Cape May County, New Jersey","34009",48.3,33.3,58.9,33.1,42.7
"Cumberland County, New Jersey","34011",36.9,31.7,51.6,50,37.7
"Essex County, New Jersey","34013",36.9,25.8,46.2,47.7,44.1
"Gloucester County, New Jersey","34015",39.6,30.4,49.4,46.7,43.7
"Hudson County, New Jersey","34017",34.7,24,33.5,51.9,41.5
"Hunterdon County, New Jersey","34019",45,38.3,52.4,46.7,47.9
"Mercer County, New Jersey","34021",38.4,29.1,47.8,41.3,41.6
"Middlesex County, New Jersey","34023",37.7,25,47.8,48.2,42.7
"Monmouth County, New Jersey","34025",42.3,31.8,50.9,48.7,45.4
"Morris County, New Jersey","34027",42,32.7,50.7,44.7,45.8
"Ocean County, New Jersey","34029",42.8,35.9,54.1,41.5,47.2
"Passaic County, New Jersey","34031",36.5,24.8,47.9,47.3,44.8
"Salem County, New Jersey","34033",41.8,39.3,44.8,45.4,42.6
"Somerset County, New Jersey","34035",40.8,28.4,50.6,47.3,44.3
"Sussex County, New Jersey","34037",43.4,37.5,51.4,53.1,48.9
"Union County, New Jersey","34039",38.1,26.2,47,44.4,44.4
"Warren County, New Jersey","34041",42.6,39.4,48.3,48.3,45
