"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Atlantic County, New Jersey","34001",187414,28850,61616,49877,31830,15241,84204,8956,31522,24142,13859,5725,57648,5789,18269,16390,10676,6524,6813,2045,2134,1581,766,287,38749,12060,9691,7764,6529,2705
"Bergen County, New Jersey","34003",650522,54369,158223,132705,192015,113210,212277,11304,60928,50160,58621,31264,175615,6297,35623,36785,56032,40878,10935,2196,2759,2253,2115,1612,251695,34572,58913,43507,75247,39456
"Burlington County, New Jersey","34005",311645,22793,92049,85527,72730,38546,132374,9000,44735,36885,29525,12229,134998,7070,36244,39097,33181,19406,7049,961,2014,2037,1289,748,37224,5762,9056,7508,8735,6163
"Camden County, New Jersey","34007",346315,41815,108466,91574,67059,37401,149458,14231,53337,43437,26921,11532,133773,11269,38867,35405,29143,19089,14740,5554,4565,3067,938,616,48344,10761,11697,9665,10057,6164
"Cape May County, New Jersey","34009",70660,7435,24084,18004,13802,7335,27845,2634,9927,7435,5502,2347,37430,3577,12428,9429,7607,4389,931,148,414,220,97,52,4454,1076,1315,920,596,547
"Cumberland County, New Jersey","34011",105641,23765,41611,24827,11072,4366,62591,9902,27018,16308,6969,2394,22241,3953,8638,5760,2568,1322,7244,3282,2397,1219,303,43,13565,6628,3558,1540,1232,607
"Essex County, New Jersey","34013",524610,82920,150710,119463,103667,67850,209502,21028,68838,54429,42653,22554,117231,11929,26237,24664,28993,25408,20928,7709,6205,3814,2222,978,176949,42254,49430,36556,29799,18910
"Gloucester County, New Jersey","34015",196038,16340,67307,54929,38993,18469,94889,6743,35278,27368,18488,7012,84783,6411,27848,23772,17183,9569,2756,507,839,907,294,209,13610,2679,3342,2882,3028,1679
"Hudson County, New Jersey","34017",466297,79688,121862,89919,110753,64075,119384,11297,38923,26659,29857,12648,81515,6033,14383,16629,28451,16019,21975,7831,6853,3942,2033,1316,243423,54527,61703,42689,50412,34092
"Hunterdon County, New Jersey","34019",88556,4934,20115,20370,25972,17165,48203,2132,12895,11929,14227,7020,29307,1069,5196,6243,9185,7614,1253,231,298,300,219,205,9793,1502,1726,1898,2341,2326
"Mercer County, New Jersey","34021",247262,31060,63338,54836,51208,46820,106922,9560,34713,30181,21073,11395,66110,4597,12718,13314,16690,18791,7046,1555,2681,1529,770,511,67184,15348,13226,9812,12675,16123
"Middlesex County, New Jersey","34023",563333,63345,148258,120825,137882,93023,195757,12484,70103,52891,41574,18705,120179,6978,31275,31266,29402,21258,14309,4264,4368,2831,1829,1017,233088,39619,42512,33837,65077,52043
"Monmouth County, New Jersey","34025",434934,31699,111354,106930,113624,71327,204632,10389,58605,54112,53856,27670,149686,6649,33388,37319,42323,30007,6055,1001,1712,1583,1101,658,74561,13660,17649,13916,16344,12992
"Morris County, New Jersey","34027",345850,21463,77960,70169,103145,73113,165427,6059,43536,38548,50111,27173,91215,2392,14321,16959,31483,26060,5677,933,1438,1360,1141,805,83531,12079,18665,13302,20410,19075
"Ocean County, New Jersey","34029",402477,38224,145477,110645,72632,35499,234770,17141,91287,65940,42844,17558,119677,8598,40442,33972,22461,14204,6901,1553,2140,1819,899,490,41129,10932,11608,8914,6428,3247
"Passaic County, New Jersey","34031",331616,58663,115558,71129,56872,29394,135251,12869,49929,32786,27312,12355,51573,4688,14526,12774,11703,7882,19774,8522,5842,3259,1552,599,125018,32584,45261,22310,16305,8558
"Salem County, New Jersey","34033",45003,6112,17365,12384,6419,2723,26745,3149,11595,7166,3574,1261,14697,1670,4724,4535,2476,1292,625,152,155,201,113,4,2936,1141,891,482,256,166
"Somerset County, New Jersey","34035",227726,13255,49802,45116,66482,53071,92177,3279,24102,22418,27203,15175,61133,2107,10198,11759,19878,17191,3308,741,719,598,842,408,71108,7128,14783,10341,18559,20297
"Sussex County, New Jersey","34037",101656,6209,31519,29614,23579,10735,63417,3774,21857,18937,13467,5382,26990,998,6614,7804,7721,3853,1030,160,289,357,134,90,10219,1277,2759,2516,2257,1410
"Union County, New Jersey","34039",369180,53093,109487,86178,72766,47656,144954,9182,47400,37306,33239,17827,71492,4292,14752,16597,19290,16561,10334,2479,3789,2286,1096,684,142400,37140,43546,29989,19141,12584
"Warren County, New Jersey","34041",74760,7421,25401,19603,14699,7636,43552,3887,16597,11380,8004,3684,21530,1259,6372,5938,4962,2999,963,87,308,336,155,77,8715,2188,2124,1949,1578,876
