"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Atlantic County, New Jersey","34001",269407,40868,22626,205913,151080,23285,11616,116179,65301,6686,4206,54409,8055,1872,1108,5075,44971,9025,5696,30250
"Bergen County, New Jersey","34003",915596,67959,48649,798988,393718,26800,18519,348399,229685,12072,8356,209257,14093,1771,770,11552,278100,27316,21004,229780
"Burlington County, New Jersey","34005",438211,27881,21614,388716,229842,16528,10807,202507,159176,7516,7647,144013,8517,756,600,7161,40676,3081,2560,35035
"Camden County, New Jersey","34007",505061,66802,36174,402085,271806,39909,19747,212150,160728,13421,8565,138742,16893,5307,2148,9438,55634,8165,5714,41755
"Cape May County, New Jersey","34009",93500,9744,7776,75980,45593,5097,3052,37444,41106,3339,3360,34407,1553,401,192,960,5248,907,1172,3169
"Cumberland County, New Jersey","34011",144303,25760,15440,103103,97930,16855,9346,71729,23019,3352,2075,17592,7736,2163,1171,4402,15618,3390,2848,9380
"Essex County, New Jersey","34013",772698,133788,71050,567860,396637,78784,34720,283133,150408,18856,10795,120757,25727,6414,2987,16326,199926,29734,22548,147644
"Gloucester County, New Jersey","34015",286000,23200,13540,249260,163300,15006,8612,139682,103891,6204,3636,94051,3138,307,146,2685,15671,1683,1146,12842
"Hudson County, New Jersey","34017",656054,114900,63225,477929,243911,48451,23758,171702,109919,13251,6838,89830,25727,5826,3418,16483,276497,47372,29211,199914
"Hunterdon County, New Jersey","34019",122125,5379,3550,113196,75951,2876,2423,70652,33943,1225,738,31980,1455,239,86,1130,10776,1039,303,9434
"Mercer County, New Jersey","34021",351951,40354,24677,286920,184832,22166,12360,150306,80872,6205,4289,70378,8746,1868,881,5997,77501,10115,7147,60239
"Middlesex County, New Jersey","34023",802875,70908,48062,683905,369977,32707,20239,317031,152416,10597,6262,135557,17651,2696,1910,13045,262831,24908,19651,218272
"Monmouth County, New Jersey","34025",622799,46492,31033,545274,353620,26925,16407,310288,178739,9535,6516,162688,7379,853,406,6120,83061,9179,7704,66178
"Morris County, New Jersey","34027",490485,22068,20554,447863,282168,11538,9449,261181,107788,3993,2701,101094,7606,650,451,6505,92923,5887,7953,79083
"Ocean County, New Jersey","34029",575934,64795,44070,467069,382284,41167,26673,314444,138378,14930,10321,113127,9523,2015,1267,6241,45749,6683,5809,33257
"Passaic County, New Jersey","34031",499431,83203,49547,366681,266074,45518,23778,196778,65963,6738,3742,55483,24365,6252,4569,13544,143029,24695,17458,100876
"Salem County, New Jersey","34033",63755,8602,4744,50409,39975,5792,3168,31015,19754,2022,1182,16550,710,241,0,469,3316,547,394,2375
"Somerset County, New Jersey","34035",327057,16479,12379,298199,169383,9061,6238,154084,73669,2581,1907,69181,4187,187,132,3868,79818,4650,4102,71066
"Sussex County, New Jersey","34037",144415,8237,5911,130267,99538,5976,4160,89402,32317,1554,1024,29739,1314,48,91,1175,11246,659,636,9951
"Union County, New Jersey","34039",541847,59034,45683,437130,276056,29581,20709,225766,91281,6584,4631,80066,13318,2041,1729,9548,161192,20828,18614,121750
"Warren County, New Jersey","34041",105364,8394,6053,90917,67280,5306,3487,58487,27035,1799,1505,23731,1212,80,132,1000,9837,1209,929,7699
