"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Atlantic County, New Jersey","34001",224800,27351,197449,40153,20567,33020,26735,25530,19109,7348,24987,112636,15108,97528,22654,9422,14866,12131,12598,10512,3630,11715,61622,4567,57055,8159,5562,8762,7984,7783,6104,2727,9974,7532,1000,6532,1688,925,1090,1100,725,352,118,534,43010,6676,36334,7652,4658,8302,5520,4424,2141,873,2764
"Bergen County, New Jersey","34003",761386,118609,642777,96320,50408,81138,65321,77477,70266,32623,169224,279728,45378,234350,42891,18058,28233,22808,29681,26320,12041,54318,198521,23203,175318,21035,11454,19732,15874,19426,19054,9240,59503,12453,1990,10463,1932,997,1294,1060,1086,1213,445,2436,270684,48038,222646,30462,19899,31879,25579,27284,23679,10897,52967
"Burlington County, New Jersey","34005",369734,44450,325284,52259,23998,44091,36266,44392,37834,18202,68242,171870,23867,148003,28189,11071,19712,16635,20239,18129,8249,25779,149391,13397,135994,17302,9649,18295,14583,18736,15740,8027,33662,8195,1254,6941,1280,606,918,716,960,817,452,1192,40278,5932,34346,5488,2672,5166,4332,4457,3148,1474,7609
"Camden County, New Jersey","34007",412748,52002,360746,67010,34809,56670,42946,47116,38367,17304,56524,195570,27748,167822,36702,16011,26001,19758,21511,18535,7509,21795,147658,13732,133926,18764,11834,19260,15242,18660,15302,7513,27351,16042,2342,13700,4231,2066,2138,1561,1276,926,420,1082,53478,8180,45298,7313,4898,9271,6385,5669,3604,1862,6296
"Cape May County, New Jersey","34009",81850,6793,75057,14233,7147,12295,9961,10386,7461,2852,10722,35106,3259,31847,6845,3060,4704,4151,4600,3326,1208,3953,40436,2594,37842,5944,3671,6308,5155,5268,3767,1547,6182,1198,94,1104,377,202,188,110,83,33,23,88,5110,846,4264,1067,214,1095,545,435,335,74,499
"Cumberland County, New Jersey","34011",125840,17046,108794,26659,11902,19373,14020,14949,8993,3372,9526,77569,10999,66570,16007,7189,10284,8217,9877,6268,2266,6462,24551,2785,21766,4785,2330,3877,3073,2782,1764,785,2370,8147,765,7382,2759,882,1405,863,788,377,185,123,15573,2497,13076,3108,1501,3807,1867,1502,584,136,571
"Essex County, New Jersey","34013",631541,109279,522262,102330,53274,82954,61171,62947,48879,21616,89091,280362,58900,221462,50326,20242,31359,24427,27620,22547,10067,34874,132600,16837,115763,19151,11210,15308,11319,11971,10244,5116,31444,23681,3229,20452,5691,3015,3587,2272,2398,1279,503,1707,194898,30313,164585,27162,18807,32700,23153,20958,14809,5930,21066
"Gloucester County, New Jersey","34015",235335,27429,207906,35984,17851,28131,22168,27392,24322,11455,40603,122913,16241,106672,21479,9640,14293,11229,13989,12753,6023,17266,94290,8505,85785,11841,6970,11259,9025,11646,10016,4712,20316,2993,342,2651,432,207,373,385,465,318,85,386,15139,2341,12798,2232,1034,2206,1529,1292,1235,635,2635
"Hudson County, New Jersey","34017",547602,93931,453671,77489,44182,71714,51110,55954,46388,21572,85262,162210,31939,130271,24115,11501,19136,13921,16820,15643,6346,22789,93755,11044,82711,10243,5313,8856,7585,10560,10357,5066,24731,24250,3074,21176,5317,3368,3195,2424,2303,1815,768,1986,267387,47874,219513,37814,24000,40527,27180,26271,18573,9392,35756
"Hunterdon County, New Jersey","34019",105079,13080,91999,14233,5524,10007,8402,10427,9741,4876,28789,60868,8250,52618,9042,3041,5788,5005,5979,5832,3110,14821,32159,3316,28843,3385,1611,2879,2523,3238,3048,1438,10721,1400,131,1269,414,62,98,84,82,131,31,367,10652,1383,9269,1392,810,1242,790,1128,730,297,2880
