"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Monmouth County, New Jersey","34025",627551,31705,106146,53531,66098,74277,101421,51751,17301,24193,57388,43740,356099,28004,84346,37434,37092,34266,47845,24809,7923,10704,25450,18226,179498,3289,17866,10322,14779,21427,34756,19071,6616,9770,23125,18477,7325,155,637,610,669,931,1473,782,194,387,812,675,84629,257,3297,5165,13558,17653,17347,7089,2568,3332,8001,6362
"Mercer County, New Jersey","34021",373362,21113,59296,42919,46933,48693,53879,25230,9347,13180,29373,23399,194341,19059,44407,24883,21369,18942,22043,11603,4211,5946,11427,10451,86378,1498,9086,9340,8844,8980,14947,7390,2916,4170,10859,8348,9720,129,1125,1217,1301,1420,1502,754,331,417,891,633,82923,427,4678,7479,15419,19351,15387,5483,1889,2647,6196,3967
"Sussex County, New Jersey","34037",143570,6605,23589,12212,14376,16821,24702,12571,4466,6061,13979,8188,99694,6055,19851,9903,10477,11332,15605,7755,2755,3641,7673,4647,30847,448,3080,1759,2450,3165,5988,3729,1349,1760,4480,2639,1576,79,116,82,168,185,290,277,65,94,152,68,11453,23,542,468,1281,2139,2819,810,297,566,1674,834
"Cumberland County, New Jersey","34011",154952,10232,26588,13519,22678,20620,20894,10280,3636,4495,12573,9437,103070,9550,22604,9826,13956,12109,13210,6101,1969,2645,6443,4657,25912,467,2273,1495,3199,3194,3778,2381,1051,1145,3781,3148,9738,116,887,721,882,1643,1611,746,332,459,1431,910,16232,99,824,1477,4641,3674,2295,1052,284,246,918,722
"Somerset County, New Jersey","34035",333316,17653,58491,26765,36285,44531,55327,26566,8293,11450,26548,21407,174193,15594,45810,18573,18360,15714,21893,11361,3354,4445,10759,8330,72882,1227,8348,3844,5752,8640,13497,7857,2953,3801,8810,8153,4233,194,554,320,300,661,853,419,73,213,404,242,82008,638,3779,4028,11873,19516,19084,6929,1913,2991,6575,4682
"Essex County, New Jersey","34013",800401,52804,138356,74725,108797,112893,114808,51286,19265,24673,57971,44823,412917,45621,103433,48753,53874,45548,45553,19288,6832,8284,18967,16764,154492,5374,21173,10443,16365,20094,24546,12539,5135,6442,17593,14788,26411,593,2834,2092,3402,3005,4483,2539,955,1441,3274,1793,206581,1216,10916,13437,35156,44246,40226,16920,6343,8506,18137,11478
"Ocean County, New Jersey","34029",589699,40591,98567,44454,63620,60978,74472,39696,14787,22277,68178,62079,396189,37583,84319,34162,39870,36637,46298,24300,8695,13331,38253,32741,137021,2498,10835,6443,14741,15030,19108,11331,4549,6726,22905,22855,9229,332,1467,777,1307,1214,1069,501,224,362,1165,811,47260,178,1946,3072,7702,8097,7997,3564,1319,1858,5855,5672
"Atlantic County, New Jersey","34001",272926,15767,43955,25910,32438,31777,39779,20687,7974,10099,25642,18898,157166,14579,36224,19947,18607,15506,18426,9442,3402,4135,9438,7460,63893,930,4415,2824,5608,6067,10710,6844,3093,3667,11112,8623,7496,110,615,441,1154,1010,1655,639,222,411,882,357,44371,148,2701,2698,7069,9194,8988,3762,1257,1886,4210,2458
"Gloucester County, New Jersey","34015",291372,15904,50252,26595,35267,37002,44379,21140,8175,10513,24940,17205,167260,13825,37857,18717,22405,20051,21030,9363,3698,4282,9218,6814,104594,1976,11334,6758,9680,13197,19758,10229,3769,5261,13463,9169,3536,16,408,212,524,410,679,284,163,211,446,183,15982,87,653,908,2658,3344,2912,1264,545,759,1813,1039
"Middlesex County, New Jersey","34023",837288,49144,134432,80795,116471,116519,118921,56379,21671,27255,64824,50877,390912,42371,97736,55466,45325,33596,40602,20863,7745,9095,21023,17090,155429,3863,19331,10851,18508,16632,23999,12709,5733,7313,19412,17078,18314,462,2009,1277,2119,2186,3050,1824,420,944,2495,1528,272633,2448,15356,13201,50519,64105,51270,20983,7773,9903,21894,15181
"Salem County, New Jersey","34033",63776,3531,10551,5364,7267,7534,9175,4714,1750,2890,6154,4846,40129,2780,7469,3252,4388,4253,5699,2847,1041,1699,3818,2883,19398,748,2919,1700,2021,2285,2916,1619,640,897,1961,1692,1112,3,61,209,185,217,133,94,29,116,63,2,3137,0,102,203,673,779,427,154,40,178,312,269
"Passaic County, New Jersey","34031",510563,34842,88330,51346,68166,65785,70558,33257,11719,17131,39083,30346,275212,31007,70525,35046,34897,26294,27099,12586,4703,6354,14280,12421,65091,2480,7884,4603,6013,7212,10945,5602,1916,3029,8069,7338,21846,418,2269,1661,2531,2644,3413,2127,941,1206,3004,1632,148414,937,7652,10036,24725,29635,29101,12942,4159,6542,13730,8955
