"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Monmouth County, New Jersey","34025",621400,47055,30157,544188,352272,26899,15863,309510,177800,9865,6907,161028,7210,762,435,6013,84118,9529,6952,67637
"Mercer County, New Jersey","34021",356513,40450,25472,290591,185872,21997,13025,150850,80550,6317,4469,69764,9253,1565,1034,6654,80838,10571,6944,63323
"Sussex County, New Jersey","34037",142214,7573,5571,129070,98810,5185,3945,89680,30418,1405,940,28073,1559,101,97,1361,11427,882,589,9956
"Cumberland County, New Jersey","34011",142679,26781,16395,99503,95488,17207,10036,68245,22542,3405,2149,16988,9142,2527,1455,5160,15507,3642,2755,9110
"Somerset County, New Jersey","34035",329859,15745,11118,302996,171752,8511,5539,157702,72062,2437,1862,67763,4217,246,106,3865,81828,4551,3611,73666
"Essex County, New Jersey","34013",781279,130583,71764,578932,400130,75370,36997,287763,150706,18467,9301,122938,25990,6383,3032,16575,204453,30363,22434,151656
"Ocean County, New Jersey","34029",582096,63181,43975,474940,391436,40823,27568,323045,134809,14440,9583,110786,9097,1534,1443,6120,46754,6384,5381,34989
"Atlantic County, New Jersey","34001",267153,40750,22180,204223,153025,24385,11421,117219,62667,6230,4102,52335,7358,1615,924,4819,44103,8520,5733,29850
"Gloucester County, New Jersey","34015",287292,22815,13347,251130,164272,14833,8383,141056,103672,5908,3562,94202,3517,651,192,2674,15831,1423,1210,13198
"Middlesex County, New Jersey","34023",807450,69297,45216,692937,366410,31468,18678,316264,151702,10432,6579,134691,18003,2208,1977,13818,271335,25189,17982,228164
"Salem County, New Jersey","34033",62517,8860,4567,49090,39239,5924,3095,30220,19119,2049,1099,15971,1102,361,27,714,3057,526,346,2185
"Passaic County, New Jersey","34031",502606,85639,48887,368080,269487,44391,23647,201449,63694,6731,3560,53403,21580,5369,3509,12702,147845,29148,18171,100526
"Cape May County, New Jersey","34009",92226,9796,6811,75619,46474,5240,3138,38096,39371,3259,2833,33279,1868,506,219,1143,4513,791,621,3101
"Camden County, New Jersey","34007",504013,65858,36695,401460,275143,39024,20304,215815,155517,12767,8993,133757,17222,4921,2559,9742,56131,9146,4839,42146
"Bergen County, New Jersey","34003",927026,66918,47818,812290,398414,25733,18240,354441,229841,11404,7703,210734,14545,1853,883,11809,284226,27928,20992,235306
"Union County, New Jersey","34039",550581,56826,46120,447635,278469,27446,21946,229077,91508,6379,4435,80694,14971,2183,1420,11368,165633,20818,18319,126496
"Warren County, New Jersey","34041",105338,8602,5676,91060,65904,5339,3063,57502,28474,1932,1681,24861,1108,75,104,929,9852,1256,828,7768
"Hudson County, New Jersey","34017",672241,115254,60804,496183,245475,47990,22450,175035,111898,12913,6104,92881,24127,5306,2803,16018,290741,49045,29447,212249
"Hunterdon County, New Jersey","34019",121269,5403,3419,112447,75314,2830,2172,70312,33647,1365,682,31600,1493,198,92,1203,10815,1010,473,9332
"Burlington County, New Jersey","34005",436937,28066,19528,389343,232453,17158,10461,204834,154385,7892,6389,140104,9186,637,490,8059,40913,2379,2188,36346
"Morris County, New Jersey","34027",491300,22800,18650,449850,280368,12062,9356,258950,108916,4209,2585,102122,8050,733,538,6779,93966,5796,6171,81999
