"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Monmouth County, New Jersey","34025",516662,62310,454352,72103,34729,56680,45373,49841,48306,22825,124495,264414,33358,231056,42791,17773,27544,22513,25601,25710,12577,56547,163300,16358,146942,18653,9926,16924,13314,16077,15409,7354,49285,6772,758,6014,1055,534,747,789,743,631,378,1137,82176,11836,70340,9604,6496,11465,8757,7420,6556,2516,17526
"Mercer County, New Jersey","34021",307346,41703,265643,50926,20413,37093,28422,29823,27186,12927,58853,140785,19514,121271,26664,9151,15444,13298,14829,14298,6557,21030,78161,7403,70758,12235,4891,7974,6569,7034,7112,3672,21271,8932,1248,7684,1942,926,1195,964,945,694,273,745,79468,13538,65930,10085,5445,12480,7591,7015,5082,2425,15807
"Sussex County, New Jersey","34037",119678,13477,106201,15499,8286,14121,11441,13222,11840,5869,25923,78836,9178,69658,11039,5501,8953,7659,9023,7944,3976,15563,28168,2470,25698,3005,2021,3207,2534,2898,2812,1305,7916,1419,150,1269,170,99,211,34,165,181,102,307,11255,1679,9576,1285,665,1750,1214,1136,903,486,2137
"Cumberland County, New Jersey","34011",124100,15307,108793,26108,12074,21101,13546,13473,9209,3566,9716,75659,9764,65895,15559,6876,11152,8079,8556,6421,2517,6735,23635,2377,21258,4632,2448,4159,2855,2603,1662,787,2112,9082,906,8176,2855,1012,1726,747,981,512,143,200,15724,2260,13464,3062,1738,4064,1865,1333,614,119,669
"Somerset County, New Jersey","34035",271958,35756,236202,32951,15305,26296,23283,26789,24384,12006,75188,124104,17357,106747,19180,7348,11652,10366,12692,12238,5426,27845,65372,5922,59450,5977,3256,6739,5359,6719,6006,3086,22308,3616,285,3331,356,383,318,364,396,381,164,969,78866,12192,66674,7438,4318,7587,7194,6982,5759,3330,24066
"Essex County, New Jersey","34013",640923,109098,531825,99918,50749,83016,61519,65188,50367,22477,98591,286150,58631,227519,49978,20356,32447,25219,28077,23220,10504,37718,132758,16101,116657,18090,10277,14542,11297,12175,10723,4958,34595,23704,3360,20344,5554,2901,3571,2352,2226,1471,395,1874,198311,31006,167305,26296,17215,32456,22651,22710,14953,6620,24404
"Ocean County, New Jersey","34029",472584,52336,420248,65990,39146,69528,50231,55303,46175,21098,72777,292372,33852,258520,43361,23224,39148,29968,34783,30445,13560,44031,126442,11556,114886,15005,10653,19322,14123,15737,12006,5690,22350,7810,1148,6662,1224,817,1354,762,749,684,311,761,45960,5780,40180,6400,4452,9704,5378,4034,3040,1537,5635
"Atlantic County, New Jersey","34001",223945,27073,196872,36551,20564,34245,25991,24991,18778,7833,27919,114832,14904,99928,21165,9674,15534,12622,12890,10722,3936,13385,59691,4589,55102,7266,5630,9118,6943,7230,5487,2832,10596,6973,857,6116,1571,875,1158,959,556,396,134,467,42449,6723,35726,6549,4385,8435,5467,4315,2173,931,3471
"Gloucester County, New Jersey","34015",237663,25674,211989,35709,17280,28498,22815,26826,23995,12135,44731,124330,15260,109070,21345,9482,14583,11910,13736,12315,6562,19137,94571,7961,86610,11677,6338,11131,9077,11177,10374,4884,21952,3252,384,2868,560,282,437,345,401,246,89,508,15510,2069,13441,2127,1178,2347,1483,1512,1060,600,3134
"Middlesex County, New Jersey","34023",685536,125105,560431,82673,42744,74907,62775,71566,61899,30331,133536,272630,59638,212992,35323,16369,26686,24878,29425,27158,12377,40776,136940,14721,122219,15738,8906,15699,12750,16187,13909,6715,32315,16518,2114,14404,2741,1548,2203,1848,2272,1163,608,2021,259448,48632,210816,28871,15921,30319,23299,23682,19669,10631,58424
