"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"State House District HD-084 (2016), South Carolina","45084",39.2,45.6,35.7,42.9,36
"State House District HD-085 (2016), South Carolina","45085",45,35.1,52.1,45.7,46.6
"State House District HD-086 (2016), South Carolina","45086",43.2,39.9,45.5,38.8,50.2
"State House District HD-087 (2016), South Carolina","45087",39.1,31.3,46.3,41.4,40
"State House District HD-088 (2016), South Carolina","45088",38.5,34.7,45,50.2,36.9
"State House District HD-089 (2016), South Carolina","45089",38.1,36.3,42.8,46.4,34.3
"State House District HD-090 (2016), South Carolina","45090",42.4,41.7,47.6,36.1,31.4
"State House District HD-091 (2016), South Carolina","45091",40.3,38.5,45,51.6,39.4
"State House District HD-092 (2016), South Carolina","45092",36.7,24.3,45.4,38.4,45.6
"State House District HD-093 (2016), South Carolina","45093",42.8,39.9,49.8,52.1,36.6
"State House District HD-094 (2016), South Carolina","45094",35.7,25.2,46.1,41.7,49.9
"State House District HD-095 (2016), South Carolina","45095",35.2,32.8,41,27.5,42.3
"State House District HD-096 (2016), South Carolina","45096",35,28.6,44,35.1,39.9
"State House District HD-097 (2016), South Carolina","45097",38,32.9,44.8,36,42.7
"State House District HD-098 (2016), South Carolina","45098",35.4,25.8,40.3,28.7,42.7
"State House District HD-099 (2016), South Carolina","45099",35.9,23.6,42.3,36.3,40.3
"State House District HD-100 (2016), South Carolina","45100",37.8,30.2,46.8,42.7,49.5
"State House District HD-101 (2016), South Carolina","45101",42.9,42,47.5,33.3,38.4
"State House District HD-102 (2016), South Carolina","45102",41.2,38.4,44.1,24.6,45.7
"State House District HD-103 (2016), South Carolina","45103",39.4,38.3,43.2,48.3,53.4
"State House District HD-104 (2016), South Carolina","45104",55.3,32.6,60.8,50.8,46.5
"State House District HD-105 (2016), South Carolina","45105",38.2,34.7,42.6,52.5,41.2
"State House District HD-106 (2016), South Carolina","45106",55,27,60.1,45.3,46.8
"State House District HD-107 (2016), South Carolina","45107",44.9,26.2,54.4,37.2,39.3
"State House District HD-108 (2016), South Carolina","45108",52.9,45.1,60.1,57.4,47.7
"State House District HD-109 (2016), South Carolina","45109",35.8,31.3,44.1,31.6,35.9
"State House District HD-110 (2016), South Carolina","45110",35.3,27.5,39.3,42.2,40.9
"State House District HD-111 (2016), South Carolina","45111",30.9,32.2,29.5,33.3,35.3
"State House District HD-112 (2016), South Carolina","45112",41,28.2,45.5,48,47
"State House District HD-113 (2016), South Carolina","45113",32.3,28.7,40.4,26.6,35.5
"State House District HD-114 (2016), South Carolina","45114",39.5,31.7,46.2,38,44.8
"State House District HD-115 (2016), South Carolina","45115",43,32.8,49,39.5,48.4
"State House District HD-116 (2016), South Carolina","45116",44.6,40.8,52,53.5,34.4
"State House District HD-117 (2016), South Carolina","45117",31,24.4,38.3,29.1,40.2
"State House District HD-118 (2016), South Carolina","45118",43.2,16.7,58,33.3,38.9
"State House District HD-119 (2016), South Carolina","45119",37.9,35.8,39.5,37,39.2
"State House District HD-120 (2016), South Carolina","45120",41.9,17.7,50.8,34,40.3
"State House District HD-121 (2016), South Carolina","45121",39.5,36.1,47,23.6,41
"State House District HD-122 (2016), South Carolina","45122",39.5,37.6,44.1,31.8,38.5
"State House District HD-123 (2016), South Carolina","45123",56.4,17.1,62.2,40.5,46.4
"State House District HD-124 (2016), South Carolina","45124",34.9,28.5,38.2,34.8,45.5
"State House District HD-035 (2016), South Carolina","45035",38.5,28.9,44.9,46.2,44.8
"State House District HD-036 (2016), South Carolina","45036",35.9,31.3,44.6,36.2,38.5
"State House District HD-037 (2016), South Carolina","45037",37,33.2,42.4,43.2,38.3
"State House District HD-038 (2016), South Carolina","45038",43.9,39.5,49.5,45.5,48.4
"State House District HD-039 (2016), South Carolina","45039",41.1,39.4,52,36.1,36
"State House District HD-040 (2016), South Carolina","45040",41.5,40.5,48.3,49.5,37
"State House District HD-041 (2016), South Carolina","45041",41.9,39.3,49.4,34.8,37.5
"State House District HD-042 (2016), South Carolina","45042",43.5,41.6,49,66.2,33.1
"State House District HD-043 (2016), South Carolina","45043",42.2,39.4,46.7,51.8,58.8
"State House District HD-044 (2016), South Carolina","45044",40.8,40.7,42.8,44.3,34.5
"State House District HD-045 (2016), South Carolina","45045",43,41.6,43,43.7,44
