"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Rahway City School District, New Jersey","3413530",38.6,30.8,49.5,39.1,45
"Ramsey Borough School District, New Jersey","3413590",41.4,28.1,50.1,51.8,43
"Randolph Township School District, New Jersey","3413650",40.1,28.1,47.4,15.5,42.7
"Hazlet Township School District, New Jersey","3413680",43.8,35.2,47.5,68.7,53.8
"Ridgefield Borough School District, New Jersey","3413770",40.9,22.4,52.3,42.3,45.4
"Ridgefield Park Township School District, New Jersey","3413800",38.6,26.5,40.1,66.6,42.3
"Ridgewood Village School District, New Jersey","3413830",40.5,17.9,45.1,38,43.6
"Riverside Township School District, New Jersey","3414010",37,30.4,43.3,37.1,37.8
"Rockleigh Borough School District, New Jersey","3414160",47,40.8,52.8,6.5,85.5
"Roselle Borough School District, New Jersey","3414280",38.9,25,50.1,48.7,44.3
"Roselle Park Borough School District, New Jersey","3414310",38.8,31.8,38,44.2,43.9
"Roxbury Township School District, New Jersey","3414340",40.1,32.2,50.5,48.4,43.6
"Rutherford Borough School District, New Jersey","3414460",38.5,32,45.1,45.8,45.5
"Salem City School District, New Jersey","3414550",34.4,26.9,48.3,36,50.7
"Sayreville Borough School District, New Jersey","3414640",38.5,31.2,42.7,41.9,42.3
"Scotch Plains-Fanwood Regional School District, New Jersey","3414670",40.9,32,45.3,40.5,48.4
"Secaucus Town School District, New Jersey","3414850",41.6,39.3,42.1,42.3,45
"Somerville Borough School District, New Jersey","3415090",35.9,30.2,47.6,42.6,35.6
"South Amboy City School District, New Jersey","3415120",39.5,38.5,37.6,63,42.5
"Lake Como Borough School District, New Jersey","3415150",37.6,35.3,43,27.4,41.3
"South Brunswick Township School District, New Jersey","3415210",38.8,19.5,47.7,41.4,42.3
"South Orange-Maplewood School District, New Jersey","3415330",36.7,21.6,39.7,46.3,42.7
"South Plainfield Borough School District, New Jersey","3415360",41,35.4,49.2,50.6,47.2
"South River Borough School District, New Jersey","3415390",37.7,26.9,45.7,47,40.1
"Sparta Township School District, New Jersey","3415510",41.5,29.6,48.8,27.9,49.4
"Spotswood Borough School District, New Jersey","3415540",40,31.9,50,55.4,50.3
"Springfield Township School District, New Jersey","3415630",43.6,37.5,49.7,49.3,47.7
"Summit City School District, New Jersey","3415900",38.8,24.5,45.7,33.6,41.2
"Teaneck Township School District, New Jersey","3416080",37,18.7,43,40.1,46.2
"Tenafly Borough School District, New Jersey","3416110",41.7,19.7,43.1,57.2,44
"Toms River Regional School District, New Jersey","3416230",41.3,36.2,53.2,49.5,44.4
"Trenton City School District, New Jersey","3416290",32.8,25.2,49.7,41.3,34.3
"Union City School District, New Jersey","3416380",33.8,13.8,27.9,47.4,42.4
"Union Township School District, New Jersey","3416500",40,28.9,47,40.2,46.7
"Upper Freehold Regional School District, New Jersey","3416560",43.8,39.4,49.1,41.6,49.2
"Vernon Township School District, New Jersey","3416710",38.8,33.6,46.3,47.6,43.4
"Verona Borough School District, New Jersey","3416740",41.8,35.3,47.8,36.5,53.3
"Vineland City School District, New Jersey","3416800",37.9,29.3,48.4,53.1,40
"Waldwick Borough School District, New Jersey","3416860",42.6,28.4,50.5,40.8,45.6
"Wall Township School District, New Jersey","3416890",44.6,40.7,53.1,47,49.6
"Wallington Borough School District, New Jersey","3416920",37.7,31.3,49.6,34.8,40.3
"Washington Township School District, New Jersey","3417070",39.6,24.7,48,37.4,45.8
"Wayne Township School District, New Jersey","3417280",42.8,34.6,51,53.5,47.4
"Weehawken Township School District, New Jersey","3417310",36.8,30.6,33.5,45.3,46.2
"West Deptford Township School District, New Jersey","3417430",41.1,32.9,49.5,52.2,44.7
"West Milford Township School District, New Jersey","3417520",41.1,36.5,48.1,44.1,50.2
"West New York Town School District, New Jersey","3417580",33.9,13.5,32,42.4,40.5
"West Orange Town School District, New Jersey","3417610",40.8,29.9,43.6,49.4,45.9
"West Windsor-Plainsboro Regional School District, New Jersey","3417700",37.3,18.2,41.7,42.2,42.2
"Westfield Town School District, New Jersey","3417760",40.8,25.6,45.3,39.1,44.9
"Westwood Regional School District, New Jersey","3417820",43.8,30,53.9,60.6,53.7
"Wildwood City School District, New Jersey","3417940",35.7,29.2,50.7,43,25.4
"Willingboro Township School District, New Jersey","3418000",41.5,22.6,53.3,47.1,47.8
"Winslow Township School District, New Jersey","3418060",38.5,28.4,47.6,50.4,44.1
"Woodbridge Township School District, New Jersey","3418120",38.4,34.3,44.1,49.7,40.3
"Woodbury City School District, New Jersey","3418150",37.9,30.1,51.3,57.5,36.8
"Wood-Ridge Borough School District, New Jersey","3418300",41.7,35.7,51.7,55.6,48.3
"Remainder of New Jersey, New Jersey","3499999",41.7,33.3,49.5,44.9,45.3
"The Chathams School District, New Jersey","3400004",40.1,25.4,45.9,21,44.5
"Great Meadows Regional School District, New Jersey","3400008",39.8,36,49.8,34.3,44.3
"Somerset Hills Regional School District, New Jersey","3400009",43.8,27.9,47.7,52.7,44.3
"Asbury Park City School District, New Jersey","3400930",31.6,23.9,50.4,38.9,32.4
"Atlantic City School District, New Jersey","3400960",35.7,22.4,58.3,37.3,38.8
"Audubon Borough School District, New Jersey","3401050",42.1,35.3,51.3,47.3,36.7
"Bayonne City School District, New Jersey","3401260",39.2,36.9,37.6,48.1,42.1
"Belleville Town School District, New Jersey","3401350",38.5,29.8,38.6,44.2,44.9
"Bergenfield Borough School District, New Jersey","3401500",40,19.1,41.1,47.8,46.1
"Berkeley Heights Township School District, New Jersey","3401530",44.2,30.3,50.2,49,50.8
"Bernards Township School District, New Jersey","3401650",42.2,22.6,48.8,47.2,44.8
"Bloomfield Township School District, New Jersey","3401830",37.2,30.6,37.8,43.8,43.1
"Bogota Borough School District, New Jersey","3401920",39.7,31.7,30.2,58.5,48.4
"Boonton Town School District, New Jersey","3401950",39.2,34.5,45.5,33.3,41.1
"Bordentown Regional School District, New Jersey","3402030",39.3,33.3,45.7,19,44.5
"Bound Brook Borough School District, New Jersey","3402100",33,24.4,43.4,31.7,35.5
"Brick Township School District, New Jersey","3402220",43.5,39,52.3,42.5,50.5
"Bridgeton City School District, New Jersey","3402250",30,24.7,40.8,43.5,31.2
"Bridgewater-Raritan Regional School District, New Jersey","3402280",41.4,30.2,49.6,54.9,46.5
"Buena Regional School District, New Jersey","3402400",42.2,36.6,51.5,53,50.9
"Burlington City School District, New Jersey","3402430",39.5,30.6,45.4,40.3,45.7
"Burlington Township School District, New Jersey","3402460",39,27.1,46.5,41.1,45.6
"Butler Borough School District, New Jersey","3402520",41.2,39.1,45.4,49.2,43.2
"Caldwell-West Caldwell School District, New Jersey","3402580",43.3,40.4,47.9,12,47.4
"Camden City School District, New Jersey","3402640",28.1,19.4,41.2,44.1,35.6
"Carteret Borough School District, New Jersey","3402820",37.6,29.9,39.4,45.5,39.5
"Cedar Grove Township School District, New Jersey","3402850",45.8,40.7,55.5,44.1,55.8
"Cherry Hill Township School District, New Jersey","3403000",42.8,25.5,49.6,46.5,48.4
"Cinnaminson Township School District, New Jersey","3403120",45.2,27.3,50.3,44.5,49.5
"Clark Township School District, New Jersey","3403150",44.5,40.9,51.4,29.5,49.6
"Clayton Borough School District, New Jersey","3403180",35.4,27.3,52.1,37.1,33.3
"Cliffside Park Borough School District, New Jersey","3403270",43.1,28.2,44.6,41.7,48.6
"Clifton City School District, New Jersey","3403300",37.9,27.1,39.9,45.1,43.7
"Collingswood Borough School District, New Jersey","3403420",38.5,31.6,48.3,41.2,34.3
"Cranford Township School District, New Jersey","3403570",41.6,37.5,44.8,46.1,51.8
"Cresskill Borough School District, New Jersey","3403600",44.9,27.2,53.6,54.7,47.6
"Delran Township School District, New Jersey","3403780",39.2,27.9,49.4,37.6,42.9
"Deptford Township School District, New Jersey","3403900",40.4,31.8,49,36.4,45.7
"Dover Town School District, New Jersey","3403930",33.5,20.3,48,48.8,35.4
"Dumont Borough School District, New Jersey","3403990",41.1,26.4,47.3,55.3,47.7
"Dunellen Borough School District, New Jersey","3404020",37.3,30.4,48.2,59.6,34.9
"East Brunswick Township School District, New Jersey","3404110",41.9,25.1,47.6,48.4,46.1
"East Orange City School District, New Jersey","3404230",35.5,25.3,50.7,41.9,42.4
"East Windsor Regional School District, New Jersey","3404320",37.6,23.7,48.9,46.2,39.1
"Edison Township School District, New Jersey","3404500",37,25.2,44.9,50.8,39.8
"Egg Harbor Township School District, New Jersey","3404560",38.5,24.2,49.4,40.7,44.6
"Elizabeth City School District, New Jersey","3404590",32.4,17.3,34.1,40.1,40.7
"Elmwood Park Borough School District, New Jersey","3404660",39.7,29.5,47.7,57.2,48
"Emerson Borough School District, New Jersey","3404710",47.1,31.5,55,50.8,53.7
"Englewood City School District, New Jersey","3404740",39.4,18.4,45.9,56.1,43.4
"Ewing Township School District, New Jersey","3404920",36.6,30.7,44.9,38.8,41.3
"Fair Lawn Borough School District, New Jersey","3404980",42.7,31.8,49.6,32.9,46
"Florence Township School District, New Jersey","3405220",41.8,37.1,49.2,49.3,45.6
"Fort Lee Borough School District, New Jersey","3405310",43.9,28.2,46.2,45.9,46.2
"Franklin Township School District, New Jersey","3405490",38.9,27.1,51.2,55.2,41.5
"Garfield City School District, New Jersey","3405760",36.5,26.9,44.2,40.8,42.6
"Glassboro Borough School District, New Jersey","3405880",26.9,21.6,46.8,42.9,47.7
"Glen Ridge Borough School District, New Jersey","3405940",37.8,26.1,40.6,43.1,48
"Glen Rock Borough School District, New Jersey","3405970",40.7,24.6,46.8,40.8,47.2
"Gloucester City School District, New Jersey","3406000",35.2,31.4,45.4,39.1,40.1
"Green Brook Township School District, New Jersey","3406120",40.7,25.4,46.7,57.6,48.4
"Hackensack City School District, New Jersey","3406270",38.8,30.4,47.6,41.5,40.1
"Hackettstown Town School District, New Jersey","3406300",37.9,31.7,50,64,35.4
"Haddon Heights Borough School District, New Jersey","3406330",43.2,37.6,46.8,31.2,46.8
"Haddon Township School District, New Jersey","3406360",40.7,33.9,48.7,39.7,43.6
"Haddonfield Borough School District, New Jersey","3406390",42,37.8,45.5,44.2,43.8
"Hamilton Township School District, New Jersey","3406540",41.6,39,49.2,44.3,42.2
"Hammonton Town School District, New Jersey","3406570",41.9,36.6,48.5,52,39.7
"Harrison Town School District, New Jersey","3406870",33.1,21.1,27.8,44,38.2
"Hasbrouck Heights Borough School District, New Jersey","3406930",41.7,35.4,49.4,43.6,46.5
"Hawthorne Borough School District, New Jersey","3406990",39.5,33.4,47.9,52.3,48.5
"Hi-Nella Borough School District, New Jersey","3407080",37.2,25.3,47.8,29.8,30.2
"Highland Park Borough School District, New Jersey","3407170",35.3,23.8,42.5,49.1,39.1
"Hillsborough Township School District, New Jersey","3407230",38.7,27.3,48.6,47.3,41.8
"Hillside Township School District, New Jersey","3407290",38.2,23,53.7,45.6,46.2
"Hoboken City School District, New Jersey","3407350",31.2,28.4,30.9,60.7,35.9
"Holmdel Township School District, New Jersey","3407410",44,23.7,47.6,54.5,50
"Hopatcong Borough School District, New Jersey","3407440",40.8,32.3,52.2,38.1,50.8
"Hopewell Valley Regional School District, New Jersey","3407530",42.9,35.2,47.8,15.7,45.8
"Interlaken Borough School District, New Jersey","3407650",52.3,51.8,53.8,68.5,59
"Irvington Township School District, New Jersey","3407680",34,22.7,51.5,43.9,41.2
"Jackson Township School District, New Jersey","3407740",40.2,31,47.5,46.3,48.7
"Jefferson Township School District, New Jersey","3407800",39.4,35.7,46.2,37.1,47.6
"Jersey City School District, New Jersey","3407830",33.1,22.8,36.1,47.5,38.3
"Keansburg Borough School District, New Jersey","3407860",34.6,31,41.8,63.1,38.7
"Kearny Town School District, New Jersey","3407890",37.1,26.1,31.6,39.5,44.4
"Kenilworth Borough School District, New Jersey","3407920",41,34.9,47.3,63.2,49
"Keyport Borough School District, New Jersey","3407950",39.7,36.3,50.2,52.1,37.4
"Kinnelon Borough School District, New Jersey","3408040",42.6,31.2,49.5,45.5,49.9
"Lacey Township School District, New Jersey","3408100",41.4,37.5,49.2,38.2,54.4
"Lakewood Township School District, New Jersey","3408220",24.4,10.6,31.8,27.1,34.5
"Lawrence Township School District, New Jersey","3408400",38.1,26,45.5,24.7,40.6
"Leonia Borough School District, New Jersey","3408520",41.9,17.1,46.1,40.5,45.5
"Linden City School District, New Jersey","3408610",40.1,30.6,50.4,41.5,45.3
"Lindenwold Borough School District, New Jersey","3408640",34.6,27.9,46.7,42,28.5
"Longport Borough School District, New Jersey","3408671",58.9,53.2,60.1,4.9,70.3
"Livingston Township School District, New Jersey","3408820",42.7,28.9,46.9,42.3,48.5
"Lodi Borough School District, New Jersey","3408850",37.3,27.9,40.4,32.4,42.2
"Long Branch City School District, New Jersey","3408940",34.3,25.8,50.8,42.4,34.8
"Pennsville Township School District, New Jersey","3409120",42.5,41.7,42.4,48.1,58.3
"Lyndhurst Township School District, New Jersey","3409210",40.2,37.1,46.4,35.8,44.7
"Madison Borough School District, New Jersey","3409240",37.1,28,41.8,25.3,43.2
"Old Bridge Township School District, New Jersey","3409270",39.2,27.2,43.8,47.8,44.3
"Mahwah Township School District, New Jersey","3409330",41.6,27.6,51.1,30.6,46.4
"Manasquan Borough School District, New Jersey","3409420",43,39.9,53.9,48.4,68.2
"Manchester Township School District, New Jersey","3409450",65.6,59.8,70.5,61,69.1
"Manville Borough School District, New Jersey","3409630",38.8,34,61.3,56.5,35.6
"Maple Shade Township School District, New Jersey","3409660",35.3,30.7,45.4,25,32.1
"Matawan-Aberdeen Regional School District, New Jersey","3409750",39.2,31.1,44.9,61.4,43.6
"Maywood Borough School District, New Jersey","3409810",42.9,35.9,50.2,56.5,46.3
"Metuchen Borough School District, New Jersey","3409990",41,33.2,46.8,42.5,45.4
"Middle Township School District, New Jersey","3410020",43.2,29.4,53.8,42.3,46.8
"Middlesex Borough School District, New Jersey","3410050",42.6,36.4,52,37.6,42.3
"Middletown Township School District, New Jersey","3410110",42.6,34.2,48.3,49.9,49.7
"Midland Park Borough School District, New Jersey","3410140",41.8,33.7,51.7,52.5,48.4
"Millburn Township School District, New Jersey","3410200",40.2,19.5,44.1,40.4,44.6
"Millville City School District, New Jersey","3410320",35.7,30.5,51.4,40.9,41.1
"Monroe Township School District (Gloucester County), New Jersey","3410470",38.8,27.9,48.7,37.4,46.9
"Monroe Township School District (Middlesex County), New Jersey","3410500",52,37.1,66.7,70.5,48.5
"Montclair Town School District, New Jersey","3410560",39.3,30,43.8,42.2,45
"Montgomery Township School District, New Jersey","3410590",38.9,18.6,45.8,22.8,44.2
"Montville Township School District, New Jersey","3410650",42.9,32.2,51.9,69,48.7
"Moorestown Township School District, New Jersey","3410710",43.6,30.8,48,45.6,47.1
"Morris Township School District, New Jersey","3410810",40.5,31.9,49,51,40.5
"Mount Olive Township School District, New Jersey","3410980",37.4,26.8,42.9,41.6,41.6
"Mountain Lakes Borough School District, New Jersey","3411010",42.6,17.5,50.2,52.1,50.8
"Neptune Township School District, New Jersey","3411160",42.4,33.1,56.7,53.4,45.7
"New Brunswick City School District, New Jersey","3411220",23.6,19.9,24.1,45.8,31.6
"New Milford Borough School District, New Jersey","3411280",41.3,24.9,49.2,53.9,45
"New Providence Borough School District, New Jersey","3411310",40.8,25.9,51.4,36.7,42
"Newark City School District, New Jersey","3411340",32.2,21.6,46.7,47.6,38.9
"Newton Town School District, New Jersey","3411400",40.2,34.8,50.9,64.9,42.2
"North Arlington Borough School District, New Jersey","3411430",43.9,37,56.1,57.8,48.7
"North Bergen Township School District, New Jersey","3411460",35.6,18.9,30.1,52.1,46.3
"North Brunswick Township School District, New Jersey","3411490",35.3,25.4,42,30.7,38.6
"North Plainfield Borough School District, New Jersey","3411640",35.9,22.3,48.2,50.5,37.9
"Nutley Town School District, New Jersey","3411880",41.2,37.1,45,45.2,47.4
"Oaklyn Borough School District, New Jersey","3411940",39.9,33.3,47.5,50,45.9
"Ocean City School District, New Jersey","3411970",53.7,30.9,60.9,31.6,41.5
"Ocean Township School District, New Jersey","3412060",42.6,35.5,51.1,48.5,46.6
"Orange City Township School District, New Jersey","3412270",34.9,23.3,50.2,35.3,40.5
"Palisades Park Borough School District, New Jersey","3412360",36.5,22.3,28.1,37.4,39.7
"Palmyra Borough School District, New Jersey","3412390",39.5,31.4,52.1,44.8,45
"Paramus Borough School District, New Jersey","3412420",45.3,29.5,53.9,44.5,52.3
"Park Ridge Borough School District, New Jersey","3412450",43,32.9,52.2,62.9,47.1
"Parsippany-Troy Hills Township School District, New Jersey","3412480",40.5,30.1,50.5,47.5,44.1
"Passaic City School District, New Jersey","3412540",29.4,13.1,33.7,48.1,37
"Paterson City School District, New Jersey","3412690",31.8,19.1,47.1,42.6,41.6
"Paulsboro Borough School District, New Jersey","3412720",34.8,30.9,39.4,48.5,42.3
"Pemberton Township School District, New Jersey","3412810",36.7,26.9,46.3,41.3,52
"Penns Grove-Carneys Point Regional School District, New Jersey","3412840",37.1,34.5,42.7,44,34.3
"Pennsauken Township School District, New Jersey","3412870",37,27.6,47.1,46.1,42.5
"Pequannock Township School District, New Jersey","3412900",44.5,39.7,56,44.4,51.4
"Perth Amboy City School District, New Jersey","3412930",32.5,18.9,37.1,51,40.3
"Phillipsburg Town School District, New Jersey","3412960",37.9,36.2,41.9,48,40.4
"Pine Hill Borough School District, New Jersey","3412990",33.9,27.5,47.8,41.5,33.8
"Piscataway Township School District, New Jersey","3413050",33.7,21.4,43.3,35.1,39.5
"Pitman Borough School District, New Jersey","3413080",40.4,33.8,51.6,33.8,49.5
"Pittsgrove Township School District, New Jersey","3413110",40.2,35.9,48.9,56.1,54.5
"Plainfield City School District, New Jersey","3413140",33.4,22.2,51,45.3,34.5
"Pleasantville City School District, New Jersey","3413200",35,22.2,48.2,38.3,39.6
"Plumsted Township School District, New Jersey","3413230",41.3,37.9,47.9,48.5,43.7
"Point Pleasant Borough School District, New Jersey","3413290",43.5,40.3,48.8,48.2,49.6
"Point Pleasant Beach Borough School District, New Jersey","3413320",46.1,43.5,51.3,52.8,43.6
"Pompton Lakes Borough School District, New Jersey","3413350",37.5,35.1,39.5,50.4,40.4
"Princeton Regional School District, New Jersey","3413410",30.5,20.6,34.2,41.1,39.2
