"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Rahway City School District, New Jersey","3413530",27127,1436,4694,2394,3771,3983,4112,1943,484,632,1793,1885,16467,1330,4043,1647,1976,2162,2195,848,179,303,748,1036,4204,93,328,248,563,557,715,490,124,223,394,469,691,13,22,81,139,189,59,99,0,0,66,23,5765,0,301,418,1093,1075,1143,506,181,106,585,357
"Ramsey Borough School District, New Jersey","3413590",14428,988,2946,785,1276,2284,2555,1213,243,447,928,763,7582,754,2303,596,578,1093,1040,504,74,150,168,322,4658,190,422,138,382,653,1052,546,105,240,619,311,179,0,0,0,0,34,62,18,0,15,31,19,2009,44,221,51,316,504,401,145,64,42,110,111
"Randolph Township School District, New Jersey","3413650",25729,1314,5755,1538,2351,3976,5593,1519,465,892,1605,721,13856,1122,4403,1057,993,1560,2463,645,247,317,572,477,6468,78,999,231,342,1155,1916,469,161,386,527,204,212,40,71,10,40,22,17,0,0,12,0,0,5193,74,282,240,976,1239,1197,405,57,177,506,40
"Hazlet Township School District, New Jersey","3413680",20441,994,3280,1737,2109,2565,3344,1442,674,781,1855,1660,12092,834,2505,1250,1428,1313,1664,710,360,341,961,726,6534,160,744,433,535,988,1312,565,176,310,676,635,275,0,0,0,0,47,36,21,11,0,83,77,1540,0,31,54,146,217,332,146,127,130,135,222
"Ridgefield Borough School District, New Jersey","3413770",10984,583,1858,1327,973,1640,1912,539,260,255,770,867,4970,519,1435,829,363,400,476,284,79,85,184,316,1373,64,127,131,29,198,203,42,46,48,203,282,180,0,27,14,12,49,9,15,8,0,33,13,4461,0,269,353,569,993,1224,198,127,122,350,256
"Ridgefield Park Township School District, New Jersey","3413800",12710,755,2284,1003,1723,1968,2164,679,290,246,755,843,5024,559,1309,516,627,317,646,197,149,88,273,343,2940,140,600,191,335,508,441,106,27,84,274,234,305,29,7,0,12,13,46,36,0,0,106,56,4441,27,368,296,749,1130,1031,340,114,74,102,210
"Ridgewood Village School District, New Jersey","3413830",24895,1950,5741,1337,1442,4209,4573,1599,665,646,1402,1331,8979,1360,3165,704,497,845,963,471,204,143,340,287,10896,476,2045,362,408,2136,2320,934,350,371,751,743,203,0,35,9,0,108,27,0,0,5,8,11,4817,114,496,262,537,1120,1263,194,111,127,303,290
"Riverside Township School District, New Jersey","3414010",8104,601,1441,613,1056,1433,1281,398,141,183,574,383,4655,568,1008,388,610,482,712,191,53,93,344,206,2122,33,333,153,177,481,312,165,20,69,230,149,39,0,6,0,8,12,0,0,13,0,0,0,1288,0,94,72,261,458,257,42,55,21,0,28
"Rockleigh Borough School District, New Jersey","3414160",434,27,98,27,22,39,37,20,4,6,23,131,180,9,43,14,13,28,18,11,0,4,10,30,140,18,24,5,8,9,10,5,2,2,7,50,33,0,31,0,0,2,0,0,0,0,0,0,81,0,0,8,1,0,9,4,2,0,6,51
"Roselle Borough School District, New Jersey","3414280",21016,1487,3069,1961,2850,3322,3243,1472,393,750,1427,1042,10662,1447,2484,1391,1278,1189,1084,576,159,224,456,374,3283,40,328,159,278,475,692,252,71,219,392,377,451,0,33,75,26,70,107,8,12,27,83,10,6620,0,224,336,1268,1588,1360,636,151,280,496,281
"Roselle Park Borough School District, New Jersey","3414310",13214,930,2023,919,1921,2452,1790,839,275,370,845,850,7030,860,1325,648,961,928,848,384,127,138,316,495,1750,70,473,137,164,246,267,115,14,49,83,132,558,0,46,7,91,188,23,12,76,0,70,45,3876,0,179,127,705,1090,652,328,58,183,376,178
