"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Rahway City School District, New Jersey","3413530",18603,2322,6993,5075,2834,1379,9447,692,3878,2851,1439,587,3535,456,1324,864,546,345,575,128,187,138,72,50,5046,1046,1604,1222,777,397
"Ramsey Borough School District, New Jersey","3413590",9709,284,1363,2313,3593,2156,3929,66,709,802,1566,786,3908,22,486,1076,1339,985,179,34,0,40,51,54,1693,162,168,395,637,331
"Randolph Township School District, New Jersey","3413650",17122,536,2726,2924,6045,4891,7274,125,1427,1587,2458,1677,5160,116,529,796,2073,1646,91,12,12,45,13,9,4597,283,758,496,1501,1559
"Hazlet Township School District, New Jersey","3413680",14430,1372,5422,4214,2263,1159,7503,729,2838,2358,1127,451,5197,315,1999,1465,827,591,275,63,118,76,18,0,1455,265,467,315,291,117
"Ridgefield Borough School District, New Jersey","3413770",7216,797,2261,1598,1739,821,2187,130,773,601,443,240,1051,114,337,304,123,173,139,8,45,24,62,0,3839,545,1106,669,1111,408
"Ridgefield Park Township School District, New Jersey","3413800",8668,1128,2735,1849,2101,855,2640,214,1004,766,467,189,2009,215,714,332,519,229,269,122,113,12,10,12,3750,577,904,739,1105,425
"Ridgewood Village School District, New Jersey","3413830",15867,420,1302,2316,6416,5413,3750,92,522,575,1565,996,8013,72,556,1077,3319,2989,159,16,0,38,50,55,3945,240,224,626,1482,1373
"Riverside Township School District, New Jersey","3414010",5449,956,2383,1404,551,155,2691,287,1297,717,321,69,1603,285,664,480,127,47,33,0,20,13,0,0,1122,384,402,194,103,39
"Rockleigh Borough School District, New Jersey","3414160",282,16,139,45,46,36,114,4,55,23,23,9,93,2,41,20,13,17,2,0,0,0,0,2,73,10,43,2,10,8
"Roselle Borough School District, New Jersey","3414280",14499,1941,5378,4184,2089,907,5340,235,2332,1894,676,203,2756,215,892,862,497,290,343,105,80,114,21,23,6060,1386,2074,1314,895,391
"Roselle Park Borough School District, New Jersey","3414310",9342,980,3313,2449,1688,912,4197,259,1596,1155,742,445,1070,69,391,338,193,79,505,44,234,203,16,8,3570,608,1092,753,737,380
"Roxbury Township School District, New Jersey","3414340",15608,987,4379,3742,4415,2085,8568,378,2750,2283,2107,1050,4077,326,908,861,1356,626,185,0,12,33,93,47,2778,283,709,565,859,362
"Rutherford Borough School District, New Jersey","3414460",12499,762,2757,3179,3674,2127,6168,210,1579,1649,1830,900,3111,184,497,778,988,664,153,32,70,0,31,20,3067,336,611,752,825,543
"Saddle Brook Township School District, New Jersey","3414490",9612,1033,3095,2752,2062,670,5400,440,2084,1586,1060,230,2002,121,598,635,445,203,22,0,0,22,0,0,2188,472,413,509,557,237
"Salem City School District, New Jersey","3414550",3249,843,1275,844,141,146,1846,451,783,409,79,124,1004,193,384,352,61,14,79,45,22,12,0,0,320,154,86,71,1,8
"Sayreville Borough School District, New Jersey","3414640",29603,2781,10468,7249,5998,3107,12403,885,5725,3189,1821,783,6960,410,2314,2213,1248,775,919,123,377,163,222,34,9321,1363,2052,1684,2707,1515
"Scotch Plains-Fanwood Regional School District, New Jersey","3414670",20794,864,3679,4723,6691,4837,9131,421,2174,2250,2837,1449,7234,107,1088,1479,2478,2082,216,25,34,43,72,42,4213,311,383,951,1304,1264
"Secaucus Town School District, New Jersey","3414850",11868,1607,3108,2593,2755,1805,5411,691,2005,1248,956,511,1986,125,441,358,741,321,261,29,45,124,41,22,4210,762,617,863,1017,951
"Somerville Borough School District, New Jersey","3415090",8500,813,2846,1907,2066,868,4031,244,1362,1093,994,338,1680,157,550,324,404,245,132,12,81,30,9,0,2657,400,853,460,659,285
"South Amboy City School District, New Jersey","3415120",6148,693,2527,1635,918,375,3639,336,1594,1018,467,224,1155,70,390,408,228,59,58,32,19,7,0,0,1296,255,524,202,223,92
"Lake Como Borough School District, New Jersey","3415150",1332,122,355,307,402,146,815,78,212,213,240,72,262,22,44,53,87,56,31,0,0,5,26,0,224,22,99,36,49,18
"South Brunswick Township School District, New Jersey","3415210",28277,1476,5517,5118,9166,7000,8059,354,2674,1858,2228,945,7502,295,1650,1831,2022,1704,364,7,75,44,144,94,12352,820,1118,1385,4772,4257
"South Orange-Maplewood School District, New Jersey","3415330",24566,1483,3152,4215,8220,7496,7784,326,1148,1809,2547,1954,10237,135,800,1078,4066,4158,418,38,127,26,117,110,6127,984,1077,1302,1490,1274
"South Plainfield Borough School District, New Jersey","3415360",16641,1722,5766,4244,3153,1756,8432,608,3216,2462,1484,662,3470,249,1105,880,757,479,163,18,59,50,24,12,4576,847,1386,852,888,603
"South River Borough School District, New Jersey","3415390",10489,2049,3480,2599,1556,805,4444,518,1516,1292,811,307,1938,215,588,512,362,261,236,48,122,66,0,0,3871,1268,1254,729,383,237
"Sparta Township School District, New Jersey","3415510",12793,354,2364,3122,4463,2490,6043,194,1469,1514,1912,954,5255,56,623,1246,2094,1236,117,0,40,0,42,35,1378,104,232,362,415,265
"Spotswood Borough School District, New Jersey","3415540",7178,790,2962,1725,1063,638,3924,379,1613,1139,500,293,1834,161,888,356,254,175,164,62,62,17,16,7,1256,188,399,213,293,163
"Springfield Township School District, New Jersey","3415630",11611,629,2244,2501,3378,2859,5266,164,1320,1323,1487,972,3047,95,296,554,1072,1030,32,0,22,0,10,0,3266,370,606,624,809,857
"Summit City School District, New Jersey","3415900",14313,828,2239,2252,4779,4215,4698,139,974,780,1610,1195,5479,22,285,732,2123,2317,240,21,31,76,93,19,3896,646,949,664,953,684
"Teaneck Township School District, New Jersey","3416080",26217,1596,4815,5139,8032,6635,4696,265,1190,1214,1150,877,12597,472,1559,2175,4368,4023,575,8,213,162,118,74,8349,851,1853,1588,2396,1661
