"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Rahway City School District, New Jersey","3413530",26920,2940,2027,21953,16330,1893,862,13575,4153,438,335,3380,688,80,38,570,5749,529,792,4428
"Ramsey Borough School District, New Jersey","3413590",14417,483,205,13729,7571,229,67,7275,4658,109,92,4457,179,15,0,164,2009,130,46,1833
"Randolph Township School District, New Jersey","3413650",25714,808,428,24478,13841,443,183,13215,6468,100,20,6348,212,0,0,212,5193,265,225,4703
"Hazlet Township School District, New Jersey","3413680",20271,692,812,18767,12009,527,566,10916,6465,116,146,6203,273,12,37,224,1524,37,63,1424
"Ridgefield Borough School District, New Jersey","3413770",10984,589,839,9556,4970,125,490,4355,1373,136,60,1177,180,12,41,127,4461,316,248,3897
"Ridgefield Park Township School District, New Jersey","3413800",12707,600,637,11470,5024,170,113,4741,2937,203,233,2501,305,28,0,277,4441,199,291,3951
"Ridgewood Village School District, New Jersey","3413830",24712,880,337,23495,8889,164,42,8683,10846,252,218,10376,198,1,11,186,4779,463,66,4250
"Riverside Township School District, New Jersey","3414010",7986,703,514,6769,4537,427,259,3851,2122,153,102,1867,39,0,0,39,1288,123,153,1012
"Rockleigh Borough School District, New Jersey","3414160",241,14,0,227,142,9,0,133,75,5,0,70,2,0,0,2,22,0,0,22
"Roselle Borough School District, New Jersey","3414280",20977,2003,1617,17357,10623,1190,987,8446,3283,168,387,2728,451,23,55,373,6620,622,188,5810
"Roselle Park Borough School District, New Jersey","3414310",13172,797,620,11755,6988,303,345,6340,1750,193,120,1437,558,35,28,495,3876,266,127,3483
"Roxbury Township School District, New Jersey","3414340",23215,1126,721,21368,14886,574,250,14062,4975,213,261,4501,181,0,0,181,3173,339,210,2624
"Rutherford Borough School District, New Jersey","3414460",17800,997,711,16092,10374,485,246,9643,3733,141,251,3341,181,0,0,181,3512,371,214,2927
"Saddle Brook Township School District, New Jersey","3414490",13525,967,273,12285,8532,357,158,8017,2345,242,59,2044,22,0,0,22,2626,368,56,2202
"Salem City School District, New Jersey","3414550",5238,1643,1284,2311,3562,1091,910,1561,1277,375,327,575,79,67,0,12,320,110,47,163
"Sayreville Borough School District, New Jersey","3414640",42149,2150,2131,37868,21530,1120,1045,19365,9160,464,364,8332,1076,52,43,981,10383,514,679,9190
"Scotch Plains-Fanwood Regional School District, New Jersey","3414670",30425,730,472,29223,16547,453,184,15910,9043,170,142,8731,291,20,0,271,4544,87,146,4311
"Secaucus Town School District, New Jersey","3414850",15663,1149,727,13787,8265,551,274,7440,2601,147,110,2344,280,33,15,232,4517,418,328,3771
"Somerville Borough School District, New Jersey","3415090",11864,635,805,10424,6806,396,472,5938,1822,111,159,1552,141,6,0,135,3095,122,174,2799
"South Amboy City School District, New Jersey","3415120",8555,731,929,6895,5382,583,761,4038,1710,93,69,1548,71,0,0,71,1392,55,99,1238
"Lake Como Borough School District, New Jersey","3415150",1793,200,135,1458,1235,127,101,1007,284,17,17,250,31,7,0,24,243,49,17,177
"South Brunswick Township School District, New Jersey","3415210",42675,1027,1401,40247,18432,561,604,17267,9513,220,262,9031,515,0,0,515,14215,246,535,13434
"South Orange-Maplewood School District, New Jersey","3415330",37779,1676,930,35173,15895,708,285,14902,14118,506,185,13427,514,19,25,470,7252,443,435,6374
"South Plainfield Borough School District, New Jersey","3415360",23024,830,473,21721,13751,405,152,13194,4259,145,131,3983,217,0,37,180,4797,280,153,4364
"South River Borough School District, New Jersey","3415390",15889,1273,1324,13292,8482,673,585,7224,2380,164,155,2061,280,86,12,182,4747,350,572,3825
"Sparta Township School District, New Jersey","3415510",19642,651,681,18310,11595,405,391,10799,6438,166,177,6095,175,19,21,135,1434,61,92,1281
"Spotswood Borough School District, New Jersey","3415540",10304,358,327,9619,6722,146,223,6353,2113,143,38,1932,181,2,25,154,1288,67,41,1180
"Springfield Township School District, New Jersey","3415630",15592,580,305,14707,8232,151,129,7952,3621,91,133,3397,32,0,0,32,3707,338,43,3326
"Summit City School District, New Jersey","3415900",21247,1413,533,19301,9414,620,285,8509,7048,172,94,6782,311,4,0,307,4474,617,154,3703
"Teaneck Township School District, New Jersey","3416080",38237,2751,1505,33981,11435,812,703,9920,17096,736,388,15972,811,94,10,707,8895,1109,404,7382
"Tenafly Borough School District, New Jersey","3416110",14298,571,218,13509,3537,121,93,3323,5684,127,17,5540,271,82,11,178,4806,241,97,4468
"Teterboro Borough School District, New Jersey","3416140",93,9,0,84,63,6,0,57,7,1,0,6,0,0,0,0,23,2,0,21
"Toms River Regional School District, New Jersey","3416230",106480,7319,4931,94230,74218,5279,3178,65761,22065,1260,1035,19770,1246,114,21,1111,8951,666,697,7588
"Trenton City School District, New Jersey","3416290",81304,20833,10729,49742,44402,13280,5154,25968,12595,2916,1193,8486,4962,1120,1233,2609,19345,3517,3149,12679
"Union City School District, New Jersey","3416380",65836,13859,9922,42055,18500,4503,2847,11150,5733,1105,867,3761,3651,821,615,2215,37952,7430,5593,24929
"Union Township School District, New Jersey","3416500",54643,2707,1925,50011,29616,1368,1091,27157,7337,433,159,6745,1503,98,77,1328,16187,808,598,14781
"Upper Freehold Regional School District, New Jersey","3416560",8440,231,177,8032,5455,167,105,5183,2300,50,58,2192,84,0,0,84,601,14,14,573
"Vernon Township School District, New Jersey","3416710",24148,1091,1043,22014,16765,789,739,15237,5734,242,186,5306,194,0,0,194,1455,60,118,1277
"Verona Borough School District, New Jersey","3416740",13295,396,268,12631,8456,123,128,8205,3081,86,46,2949,100,0,0,100,1658,187,94,1377
"Vineland City School District, New Jersey","3416800",59440,7800,5306,46334,37188,4830,2754,29604,10583,1015,1026,8542,4814,915,662,3237,6855,1040,864,4951
"Waldwick Borough School District, New Jersey","3416860",9596,156,342,9098,5653,85,179,5389,2693,32,37,2624,49,0,29,20,1201,39,97,1065
"Wall Township School District, New Jersey","3416890",25791,1420,917,23454,19002,1124,622,17256,5487,195,191,5101,218,1,0,217,1084,100,104,880
"Wallington Borough School District, New Jersey","3416920",11313,1081,724,9508,4881,348,273,4260,745,101,46,598,64,7,12,45,5623,625,393,4605
"Washington Township School District, New Jersey","3417070",48504,1878,2287,44339,21817,1024,925,19868,23610,711,1277,21622,476,48,24,404,2601,95,61,2445
"Wayne Township School District, New Jersey","3417280",52065,1854,1834,48377,31960,1163,988,29809,9738,255,218,9265,612,38,17,557,9755,398,611,8746
"Weehawken Township School District, New Jersey","3417310",12571,1576,644,10351,3611,470,151,2990,3900,309,92,3499,448,127,85,236,4612,670,316,3626
"West Deptford Township School District, New Jersey","3417430",21401,1127,869,19405,13422,656,527,12239,6670,343,286,6041,180,32,0,148,1129,96,56,977
"West Milford Township School District, New Jersey","3417520",25643,887,735,24021,17469,578,516,16375,6758,220,166,6372,94,7,0,87,1322,82,53,1187
"West New York Town School District, New Jersey","3417580",48853,9291,6839,32723,12315,2813,1864,7638,5526,854,357,4315,1711,362,173,1176,29301,5262,4445,19594
"West Orange Town School District, New Jersey","3417610",44957,2750,2835,39372,21218,1204,1142,18872,10791,438,383,9970,436,13,0,423,12512,1095,1310,10107
"West Wildwood Borough School District, New Jersey","3417670",495,56,54,385,103,25,23,55,380,28,31,321,3,3,0,0,9,0,0,9
"West Windsor-Plainsboro Regional School District, New Jersey","3417700",49325,2222,750,46353,15227,716,317,14194,15728,814,196,14718,501,55,1,445,17869,637,236,16996
"Westfield Town School District, New Jersey","3417760",29771,827,637,28307,16044,543,237,15264,9781,175,229,9377,277,0,10,267,3669,109,161,3399
"Westwood Regional School District, New Jersey","3417820",19863,561,516,18786,10848,185,148,10515,6041,135,125,5781,111,1,0,110,2863,240,243,2380
"Wildwood City School District, New Jersey","3417940",5305,1332,486,3487,1981,484,164,1333,2288,324,267,1697,153,42,0,111,883,482,55,346
"Willingboro Township School District, New Jersey","3418000",31737,2668,2079,26990,14026,1627,1047,11352,12425,673,831,10921,835,60,22,753,4451,308,179,3964
"Winslow Township School District, New Jersey","3418060",38060,2638,2220,33202,21225,1631,1035,18559,13900,897,1025,11978,582,35,61,486,2353,75,99,2179
"Woodbridge Township School District, New Jersey","3418120",96392,5023,3943,87426,51242,2681,1865,46696,14470,809,455,13206,1523,92,215,1216,29157,1441,1408,26308
"Woodbury City School District, New Jersey","3418150",9882,1197,935,7750,6144,831,636,4677,3239,325,249,2665,106,25,36,45,393,16,14,363
"Wood-Ridge Borough School District, New Jersey","3418300",7607,281,171,7155,4956,226,102,4628,1272,14,36,1222,154,0,0,154,1225,41,33,1151
"Woodstown-Pilesgrove Regional School District, New Jersey","3418330",7282,309,331,6642,4273,184,142,3947,2813,119,189,2505,0,0,0,0,196,6,0,190
"School District Not Defined (Water), New Jersey","3499998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Remainder of New Jersey, New Jersey","3499999",2114121,116089,93728,1904304,1197242,65378,51044,1080820,634612,28523,24536,581553,27713,2676,1782,23255,254554,19512,16366,218676
"The Chathams School District, New Jersey","3400004",19246,547,204,18495,9997,360,119,9518,6867,113,49,6705,158,0,0,158,2224,74,36,2114
"Great Meadows Regional School District, New Jersey","3400008",8627,243,228,8156,6011,195,170,5646,1869,32,14,1823,104,0,0,104,643,16,44,583
"Somerset Hills Regional School District, New Jersey","3400009",11134,253,147,10734,5624,64,41,5519,3443,63,54,3326,231,0,0,231,1836,126,52,1658
"Allenhurst Borough School District, New Jersey","3400780",498,2,27,469,363,2,12,349,131,0,11,120,0,0,0,0,4,0,4,0
"Asbury Park City School District, New Jersey","3400930",16189,5102,2583,8504,9148,3466,1368,4314,2645,547,329,1769,339,106,0,233,4057,983,886,2188
"Atlantic City School District, New Jersey","3400960",39546,11585,6296,21665,18826,6465,2939,9422,7696,2183,1144,4369,1845,546,483,816,11179,2391,1730,7058
