"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Rahway City School District, New Jersey","3413530",31032,32202,29304,32965,27875
"Ramsey Borough School District, New Jersey","3413590",55249,50906,65164,67734,51129
"Randolph Township School District, New Jersey","3413650",51929,48028,63765,26917,53341
"Hazlet Township School District, New Jersey","3413680",34369,30920,41849,21500,30000
"Ridgefield Borough School District, New Jersey","3413770",31443,29244,33269,58083,32066
"Ridgefield Park Township School District, New Jersey","3413800",36056,31440,41339,29402,36638
"Ridgewood Village School District, New Jersey","3413830",62314,51269,70592,76761,55221
"Riverside Township School District, New Jersey","3414010",29250,31887,29153,24688,21711
"Roselle Borough School District, New Jersey","3414280",31092,29767,32422,22109,31299
"Roselle Park Borough School District, New Jersey","3414310",33563,35772,34703,26854,34026
"Roxbury Township School District, New Jersey","3414340",42605,43491,41920,49659,41934
"Rutherford Borough School District, New Jersey","3414460",42185,39656,52419,75607,36536
"Salem City School District, New Jersey","3414550",18083,17905,17368,7813,20357
"Sayreville Borough School District, New Jersey","3414640",38054,34212,42621,43455,41268
"Scotch Plains-Fanwood Regional School District, New Jersey","3414670",53013,46449,60400,30819,58186
"Secaucus Town School District, New Jersey","3414850",39726,39863,53160,30100,38632
"Somerville Borough School District, New Jersey","3415090",33740,34076,39302,19000,32386
"South Amboy City School District, New Jersey","3415120",32389,31835,46625,81736,28767
"Lake Como Borough School District, New Jersey","3415150",35804,32434,51875,72961,30536
"South Brunswick Township School District, New Jersey","3415210",48683,39508,49208,55500,61255
"South Orange-Maplewood School District, New Jersey","3415330",50699,41002,67289,37167,39945
"South Plainfield Borough School District, New Jersey","3415360",38279,38272,41697,19940,36208
"South River Borough School District, New Jersey","3415390",31875,32163,38426,42757,29692
"Sparta Township School District, New Jersey","3415510",50691,44266,66266,46583,46859
"Spotswood Borough School District, New Jersey","3415540",37604,39027,32705,42548,38688
"Springfield Township School District, New Jersey","3415630",45374,44821,59890,88182,36888
"Summit City School District, New Jersey","3415900",46263,39509,75986,51295,32447
