"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Alabama","01",3261408,496036,1009593,972703,492382,290694,2138516,352975,722768,633794,277771,151208,958685,98977,249320,306075,186518,117795,29383,2065,6067,10280,7267,3704,134824,42019,31438,22554,20826,17987
"Alaska","02",470699,36032,130511,168631,86551,48974,125335,13983,45083,42809,17314,6146,288348,12929,69822,107944,59288,38365,10616,512,2856,4366,1983,899,46400,8608,12750,13512,7966,3564
"Arizona","04",4440635,611243,1078358,1509609,777681,463744,1011769,140718,281512,382178,143203,64158,2587505,177164,607570,953480,526512,322779,62423,6254,13478,22479,12483,7729,778938,287107,175798,151472,95483,69078
"Arkansas","05",1973591,292228,683886,573031,273557,150889,1088657,156336,409362,310076,141331,71552,756906,88334,243640,242079,116891,65962,13691,1111,3541,4357,2817,1865,114337,46447,27343,16519,12518,11510
"California","06",25554412,4572963,5260904,7544058,5136043,3040444,10154716,894305,2387853,3843978,2036274,992306,5690142,371450,1002735,1815962,1457113,1042882,346417,40130,62281,114422,83390,46194,9363137,3267078,1808035,1769696,1559266,959062
"Colorado","08",3590350,323691,780033,1096896,874953,514777,1078370,89990,301956,369749,220346,96329,2014851,86521,368663,627717,574479,357471,56635,3508,10011,19069,14759,9288,440494,143672,99403,80361,65369,51689
"Connecticut","09",2466129,242932,673220,611658,524370,413949,1161554,81251,380607,327420,226485,145791,770767,40854,152166,177313,211630,188804,100212,33991,29683,21326,8468,6744,433596,86836,110764,85599,77787,72610
"Delaware","10",640915,71746,199461,174387,115770,79551,229043,26791,88160,63308,34303,16481,329411,26825,93582,95835,65565,47604,11672,2308,3472,3045,1903,944,70789,15822,14247,12199,13999,14522
"District of Columbia","11",462997,46510,83367,76804,108252,148064,130141,18175,45714,36166,17662,12424,245546,12515,25410,29085,73161,105375,9032,380,605,1127,3188,3732,78278,15440,11638,10426,14241,26533
"Florida","12",14093687,1807386,4111029,4245476,2514297,1415499,3067690,375135,999054,977808,490444,225249,6998604,559256,1991106,2275224,1357501,815517,527290,87046,142814,167986,87462,41982,3500103,785949,978055,824458,578890,332751
"Georgia","13",6589462,932810,1850601,1867961,1208700,729390,3013592,497053,1050747,844882,402524,218386,2639162,189688,591529,836666,632210,389069,94998,8369,20461,31808,22066,12294,841710,237700,187864,154605,151900,109641
"Hawaii","15",972945,84943,270583,312218,201712,103489,456106,30426,155451,144533,88070,37626,263955,7687,46088,95944,67389,46847,29760,2378,7796,10881,5820,2885,223124,44452,61248,60860,40433,16131
"Idaho","16",1047606,105170,289085,378367,187399,87585,387120,29189,121872,146458,65570,24031,571837,42764,146922,213078,111979,57094,9668,626,2159,3962,2072,849,78981,32591,18132,14869,7778,5611
"Illinois","17",8618284,1008608,2287126,2487681,1744260,1090609,5112451,389435,1501788,1695010,990936,535282,1826951,157652,385218,486750,458070,339261,101261,23443,23427,26340,17485,10566,1577621,438078,376693,279581,277769,205500
"Indiana","18",4339687,517458,1486051,1268116,681986,386076,2734007,286871,1029727,825787,402509,189113,1319410,149825,389291,391709,235421,153164,31296,3708,7798,10661,5686,3443,254974,77054,59235,39959,38370,40356
"Iowa","19",2058840,169966,656680,672763,379649,179782,1416147,93710,496356,480755,250528,94798,515790,38257,132240,168053,110497,66743,12045,1288,2807,3831,2639,1480,114858,36711,25277,20124,15985,16761
"Kansas","20",1878495,182049,499895,602750,380391,213410,975729,69866,295105,337612,187409,85737,724271,51399,168158,231275,168207,105232,17577,1483,3577,6362,3498,2657,160918,59301,33055,27501,21277,19784
"Kentucky","21",2970073,456180,990322,849406,397154,277011,1965607,332194,713243,548801,222253,149116,865453,90775,245038,271238,151616,106786,20250,1541,4635,7607,3801,2666,118763,31670,27406,21760,19484,18443
"Louisiana","22",3065979,496210,1038591,827303,461804,242071,2277905,385634,822355,608754,317596,143566,609897,63596,168588,183786,117252,76675,20578,1837,6155,5749,4449,2388,157599,45143,41493,29014,22507,19442
"Maine","23",957066,77305,317373,281818,180436,100134,563876,52061,223441,168413,86402,33559,344422,17546,82023,100785,84632,59436,10337,621,2583,3341,2219,1573,38431,7077,9326,9279,7183,5566
"Maryland","24",4052639,420756,1030305,1044867,838732,717979,1526681,167173,528907,433671,249414,147516,1714874,96209,345771,453469,420309,399116,59800,3701,10074,16664,15986,13375,751284,153673,145553,141063,153023,157972
"Massachusetts","25",4649997,462385,1167098,1103708,1072120,844686,2567140,174405,761557,712178,581049,337951,1036962,44581,149511,203102,318841,320927,135619,41554,37329,27741,15960,13035,910276,201845,218701,160687,156270,172773
"Michigan","26",6682881,676467,1978662,2195954,1117697,714101,4818718,413789,1531249,1693689,763912,416079,1295700,139210,335064,391595,242978,186853,45806,6487,11155,14085,8244,5835,522657,116981,101194,96585,102563,105334
"Minnesota","27",3662134,270121,940315,1197761,834294,419643,2293195,127941,673110,813809,484174,194161,1005191,51737,195708,304543,281813,171390,24676,1626,4580,8062,6552,3856,339072,88817,66917,71347,61755,50236
"Mississippi","28",1949683,332266,593422,614104,255615,154276,1316630,244152,415062,403291,162486,91639,563810,69177,161169,194930,83866,54668,14238,1835,3411,5393,2135,1464,55005,17102,13780,10490,7128,6505
"Missouri","29",4073377,454882,1267813,1225017,701863,423802,2456062,276195,844377,744127,387288,204075,1396875,131690,376327,436201,273859,178798,30315,2034,7472,10368,6590,3851,190125,44963,39637,34321,34126,37078
"Montana","30",698434,49627,207929,231806,140945,68127,331598,24310,108198,111479,64429,23182,344123,22899,94177,113695,71823,41529,6011,288,1474,2237,1339,673,16702,2130,4080,4395,3354,2743
"Nebraska","31",1223228,113944,330629,411872,245288,121495,730918,43703,219317,261024,145465,61409,383192,25150,89866,132487,86425,49264,9879,831,1990,3393,2460,1205,99239,44260,19456,14968,10938,9617
"Nevada","32",1922125,280240,544288,652036,293579,151982,188837,18227,60671,71180,26941,11818,1207243,100217,344810,458818,193979,109419,37054,4177,9745,14241,6218,2673,488991,157619,129062,107797,66441,28072
"New Hampshire","33",932344,69274,264372,268022,206061,124615,309506,29676,112687,91679,53568,21896,547730,27352,134698,160107,136691,88882,10646,1248,2077,3454,2366,1501,64462,10998,14910,12782,13436,12336
"New Jersey","34",6112547,678613,1726006,1417887,1411979,878062,2572271,184714,844442,674990,584247,283878,1657829,102649,406668,401226,432872,314414,167742,48920,51591,35365,20317,11549,1714705,342330,423305,306306,374543,268221
"New Mexico","35",1373920,211201,362627,433854,206247,159991,589319,87932,190969,199180,71909,39329,596079,43651,131989,201388,115160,103891,17602,1636,3049,6658,3610,2649,170920,77982,36620,26628,15568,14122
"New York","36",13504083,1900892,3569454,3342291,2654203,2037243,7411150,620800,2147063,2142867,1419361,1081059,1793472,133109,329943,386617,510785,433018,384477,124807,102409,76718,46509,34034,3914984,1022176,990039,736089,677548,489132
"North Carolina","37",6684672,914827,1765772,2063638,1255557,684878,3357366,514105,1058837,1076912,501292,206220,2612183,179380,560051,850211,636173,386368,80045,7700,17011,26963,18041,10330,635078,213642,129873,109552,100051,81960
"North Dakota","38",477607,38034,131086,173933,97890,36664,300558,25534,86583,109163,59858,19420,155288,9086,39313,59138,33806,13945,3769,277,1272,1233,639,348,17992,3137,3918,4399,3587,2951
"Ohio","39",7848046,825155,2654140,2275876,1310995,781880,5537641,528012,2023120,1675986,869152,441371,1846224,211786,529263,505923,349964,249288,66065,12117,17575,18980,10029,7364,398116,73240,84182,74987,81850,83857
"Oklahoma","40",2534278,322890,801598,789675,413818,206297,1365669,150415,467509,428962,220411,98372,961072,99287,284922,320987,166583,89293,26050,2473,6624,9348,4925,2680,181487,70715,42543,30378,21899,15952
"Oregon","41",2755786,276498,657520,955395,538977,327396,959178,69133,271210,374325,171348,73162,1436069,99147,313808,503933,310182,208999,30810,2063,5664,10451,7996,4636,329729,106155,66838,66686,49451,40599
