"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Alabama","01",4841164,292771,812418,474567,626564,606216,656639,332234,122930,174431,434510,307884,3387845,260385,654740,334204,407068,380834,417492,215642,82032,119349,296505,219594,1247781,29802,139845,119449,172389,180436,206971,103261,37392,50274,126674,81288,40034,1126,4763,4762,7793,6491,6927,4072,921,928,1586,665,165504,1458,13070,16152,39314,38455,25249,9259,2585,3880,9745,6337
"Alaska","02",736855,54432,133184,78540,115775,92056,99414,52056,19089,23004,46577,22728,303980,44981,92286,41378,47276,26924,22296,10042,3431,4252,7358,3756,360653,8356,33254,30695,55336,52680,63915,35695,13773,16275,34452,16222,16975,729,3493,2137,3438,2451,2343,1424,261,213,354,132,55247,366,4151,4330,9725,10001,10860,4895,1624,2264,4413,2618
"Arizona","04",6728577,434939,1184679,668324,899711,835719,840159,406293,158822,229780,620856,449295,2623391,383110,872742,355770,352292,229727,181985,77282,26303,34009,67825,42346,3113841,43089,250818,232429,372907,392965,475348,259327,106321,161373,468787,350477,89797,3312,14508,9554,15341,13778,13872,6791,2130,2913,4954,2644,901548,5428,46611,70571,159171,199249,168954,62893,24068,31485,79290,53828
"Arkansas","05",2968472,190884,516350,287647,385316,367023,385891,194174,72294,103906,269411,195576,1823628,164018,392714,178239,218417,198935,202799,101238,39734,58190,152747,116597,985995,24924,111135,93030,128193,131012,158013,84089,29506,42059,108718,75316,19815,873,2579,2672,3869,3127,3276,1607,472,351,741,248,139034,1069,9922,13706,34837,33949,21803,7240,2582,3306,7205,3415
"California","06",38654206,2499561,6640722,3959511,5701167,5159031,5215194,2418507,892455,1191076,2822406,2154576,21194542,2330430,5758636,2950760,3119860,2047876,1984830,903679,318955,417713,853242,508561,6523696,96205,387885,349464,777877,771167,997657,602174,249267,354248,1004454,933298,498338,24512,76867,50542,79071,73568,77810,37798,12829,15596,29759,19986,10437630,48414,417334,608745,1724359,2266420,2154897,874856,311404,403519,934951,692731
"Colorado","08",5359295,335492,910689,522764,798010,724366,718538,356419,133754,181223,409242,268798,2294446,290503,662714,262859,296280,216105,206598,101068,35942,48026,101962,72389,2461186,38359,201387,206589,380172,368133,402593,217196,85484,117175,272581,171517,79219,2653,10962,8969,13903,14089,14576,6436,1928,1921,2406,1376,524444,3977,35626,44347,107655,126039,94771,31719,10400,14101,32293,23516
"Connecticut","09",3588570,188812,584840,348789,438471,439606,545977,263778,96181,127093,303959,251064,1981427,163763,442257,213853,228675,196448,257315,125730,45553,58519,134559,114755,975151,19456,99891,85037,101990,119157,172927,88996,33323,46044,114874,93456,128783,1854,14594,12123,19038,21340,22486,10015,3404,4962,11092,7875,503209,3739,28098,37776,88768,102661,93249,39037,13901,17568,43434,34978
"Delaware","10",934695,55611,148581,89588,122685,110467,129801,65834,23879,34416,90854,62979,425160,46389,105548,44180,53727,42421,48827,23734,8163,10951,23851,17369,412024,8250,37438,36925,47585,47380,64527,35714,13610,20826,59123,40646,14961,372,1372,1545,2289,2446,3006,1242,517,606,1090,476,82550,600,4223,6938,19084,18220,13441,5144,1589,2033,6790,4488
"District of Columbia","11",659009,41955,72730,81327,149223,92780,76859,36131,13725,19113,42680,32486,242020,33042,52775,26062,34962,24882,27362,13948,5053,6663,11326,5945,312429,7569,14539,44775,88839,44421,32760,15550,6552,9826,25080,22518,12047,336,1280,1399,3039,2389,2045,699,166,193,267,234,92513,1008,4136,9091,22383,21088,14692,5934,1954,2431,6007,3789
"Florida","12",19934451,1094213,2972063,1774488,2532527,2434272,2744569,1342547,510203,731944,2084139,1713486,7151459,964811,2144465,974493,992515,648417,586582,258023,84780,110502,232559,154312,8118169,93600,547296,478669,846880,924292,1284260,718680,291409,435709,1344877,1152497,697152,15398,87409,67055,108709,115426,107105,46875,16682,23944,63687,44862,3967671,20404,192893,254271,584423,746137,766622,318969,117332,161789,443016,361815
