"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Alabama","01",38.7,36,44.7,37.8,37.9
"Alaska","02",33.3,21,44.9,28.9,42
"Arizona","04",37.4,19.4,51.5,37.2,44
"Arkansas","05",37.9,33.5,45.5,32.8,38.5
"California","06",36.2,24.3,54.1,37.7,46.1
"Colorado","08",36.4,23.2,45.9,34.5,40.4
"Connecticut","09",40.6,32.4,49.4,43.1,43.8
"Delaware","10",39.7,28,50.7,42.2,41.2
"District of Columbia","11",33.8,27.9,34.8,34,39
"Florida","12",41.8,21.5,54.6,41,47.6
"Georgia","13",36.4,28.2,44,37.2,40.7
"Hawaii","15",37.7,32.1,37.6,33.8,49.7
"Idaho","16",35.8,25.1,45.5,33.1,40.7
"Illinois","17",37.7,32.6,46.9,39.6,43.9
"Indiana","18",37.5,34.1,45.2,37,39.6
"Iowa","19",38.1,37.5,40.2,38,36.9
"Kansas","20",36.2,30.7,43.8,38.3,39.2
"Kentucky","21",38.8,37.1,43.3,36.7,37.1
"Louisiana","22",36.4,34.4,43.4,38.2,40.4
"Maine","23",44.6,39.8,50.9,39.8,47.4
"Maryland","24",38.3,27.9,46.2,36.2,42.8
"Massachusetts","25",39.4,35.1,44.4,37.8,43.7
"Michigan","26",39.7,36.3,51,35.5,43.6
"Minnesota","27",37.9,34.9,45.6,34.2,37.3
"Mississippi","28",37,34.8,42.8,31.7,38.5
"Missouri","29",38.4,34.1,46.6,35.4,38.8
"Montana","30",39.9,33.2,47.6,39.7,46.4
"Nebraska","31",36.1,33.1,42.8,35.1,36.5
"Nevada","32",37.8,14,46.1,39.3,45.1
"New Hampshire","33",42.8,28.9,49.8,43.2,43.7
"New Jersey","34",39.6,28.9,49.5,47.3,45.1
"New Mexico","35",37.4,27.5,49.4,39.7,44.5
"New York","36",38.3,32.3,41.2,46.5,46.1
"North Carolina","37",38.4,33.2,44,37,39.2
"North Dakota","38",34.9,35.9,33.8,24,34.2
"Ohio","39",39.3,36.2,49.5,38.1,40.5
"Oklahoma","40",36.3,31,44.7,35.9,38.8
"Oregon","41",39.1,27.1,50,35.3,41.4
"Pennsylvania","42",40.7,39.6,43.3,41,42.4
"Rhode Island","44",39.7,35.8,42.8,35.5,44
"South Carolina","45",39,33.9,45.5,38.6,40.6
"South Dakota","46",36.9,34,42.7,34.7,35.4
"Tennessee","47",38.7,33.1,46,35.2,38.1
"Texas","48",34.4,26.6,44.4,34.8,41.8
"Utah","49",30.6,23.9,38.8,33.8,39.9
"Vermont","50",43.1,35.8,48.3,35,46.4
"Virginia","51",37.8,28.9,44.8,34.6,41.9
"Washington","53",37.5,26.6,47.3,35.2,42.1
"West Virginia","54",42.2,42.1,42.4,39,42.6
"Wisconsin","55",39.4,37.1,45,37.4,39.7
"Wyoming","56",36.5,27.8,43.4,33.9,37.7
