"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Alabama","01",4858979,285122,823286,468319,624472,612193,644006,335370,128255,176109,450119,311728,3403844,253712,669973,330981,404728,391928,411592,212465,83681,118742,305741,220301,1248961,28122,135316,117901,173963,174893,199398,108630,40642,52161,133382,84553,36202,1220,4237,3927,7153,6041,6313,4253,917,630,1233,278,169972,2068,13760,15510,38628,39331,26703,10022,3015,4576,9763,6596
"Alaska","02",738432,54761,131630,82518,118778,91656,93326,50655,20102,23998,48118,22890,308448,45426,91362,43034,49426,27593,21245,9522,4276,4778,8015,3771,355153,8231,32630,31906,53585,51814,60024,33856,13164,16944,36551,16448,16287,883,3732,2397,2622,1759,1834,1555,295,231,894,85,58544,221,3906,5181,13145,10490,10223,5722,2367,2045,2658,2586
"Arizona","04",6828065,429860,1191668,669583,914761,845274,842972,415824,159399,238720,652858,467146,2679897,377093,887178,356348,378622,239767,182220,80749,25366,37775,71171,43608,3135027,43240,246382,233794,364321,387923,472973,266432,104773,162275,489752,363162,98741,3665,15389,8781,18269,14442,15637,7116,2931,4164,5323,3024,914400,5862,42719,70660,153549,203142,172142,61527,26329,34506,86612,57352
"Arkansas","05",2978204,188704,517240,284441,385391,367499,383582,198146,71875,103212,279414,198700,1837618,161355,393417,180310,212225,208621,204056,104852,38812,57529,160723,115718,975303,25472,109306,85813,135519,125408,150103,83750,29934,42041,108881,79076,22442,902,3683,3123,4516,3124,3420,1473,619,384,804,394,142841,975,10834,15195,33131,30346,26003,8071,2510,3258,9006,3512
"California","06",39144818,2507649,6608769,3943137,5832712,5190370,5243141,2480156,921840,1227486,2981899,2207659,21454567,2334650,5730427,2940965,3243632,2073279,1986580,931694,333435,432750,923695,523460,6481442,95793,395149,355759,785536,761616,948777,589885,242372,349365,1029770,927420,520473,26678,83843,52965,79831,73291,81413,41434,12754,17201,33518,17545,10688336,50528,399350,593448,1723713,2282184,2226371,917143,333279,428170,994916,739234
"Colorado","08",5456574,333539,923233,527949,827137,737989,711031,352606,141837,189681,436772,274800,2329855,288595,672582,269661,305001,220715,202574,103077,39118,48515,111737,68280,2503715,38376,203314,202729,394390,372301,399613,211663,88533,124451,288319,180026,85938,2951,13796,10240,16589,12848,13327,7841,2188,1448,2770,1940,537066,3617,33541,45319,111157,132125,95517,30025,11998,15267,33946,24554
"Connecticut","09",3590886,186528,576797,352843,442776,432504,537158,268958,98012,130027,314303,250980,1985475,162977,437702,218856,226256,195199,253265,133348,47070,60839,135549,114414,956742,19169,94553,83393,100959,112251,168949,85949,33941,45146,120596,91836,129021,1362,14752,11110,20435,20222,22036,10066,3457,5354,12031,8196,519648,3020,29790,39484,95126,104832,92908,39595,13544,18688,46127,36534
"Delaware","10",945934,55445,148755,89098,124348,110727,129436,65906,26560,34835,95778,65046,431303,45215,107043,43367,59518,43151,47247,23436,8228,10387,26124,17587,414365,8781,36063,38615,42855,46756,65461,35850,14966,22004,60861,42153,12757,579,1025,1874,1755,1522,2686,962,724,67,1185,378,87509,870,4624,5242,20220,19298,14042,5658,2642,2377,7608,4928
"District of Columbia","11",672228,43230,74608,81506,152487,96419,77353,37764,13983,18287,44092,32499,240836,33614,52061,23183,35706,26796,25450,15590,4849,6456,10914,6217,323439,8594,17347,47261,90017,44894,35347,15402,6526,8937,26984,22130,12836,327,1677,1780,2862,2300,2350,521,83,387,432,117,95117,695,3523,9282,23902,22429,14206,6251,2525,2507,5762,4035
"Florida","12",20271272,1098273,3004716,1774002,2593253,2463472,2743332,1359858,529243,759890,2185122,1760111,7286501,958466,2178619,964251,1020950,665649,594851,269759,94694,123633,248816,166813,8170020,99345,537424,481436,859395,908525,1258474,708992,295825,443495,1404913,1172196,728511,18411,91664,68414,113389,126395,111848,46334,16324,24787,66276,44669,4086240,22051,197009,259901,599519,762903,778159,334773,122400,167975,465117,376433
"Georgia","13",10214860,649360,1853054,1028679,1383268,1388193,1401045,645444,242598,320460,809315,493444,5606595,562662,1388828,615713,667947,584261,582055,287266,111752,152503,390651,262957,3447838,73630,382562,314231,493946,517432,596586,281534,103419,136090,352414,195994,136710,4288,20586,15742,23473,23688,23744,9068,4576,3296,5974,2275,1023717,8780,61078,82993,197902,262812,198660,67576,22851,28571,60276,32218
"Hawaii","15",1431603,92093,219113,134483,216396,177777,174599,96987,34483,48519,133842,103311,759288,75177,160505,73872,96906,79848,73738,39452,14214,24190,61066,60320,370856,12591,38689,41519,78003,47962,45689,28760,9657,13460,37039,17487,48045,3293,7829,3627,9824,7358,6341,4085,1262,1144,2728,554,253414,1032,12090,15465,31663,42609,48831,24690,9350,9725,33009,24950
"Idaho","16",1654930,111847,320334,156767,216810,204505,198964,102767,41767,57905,145577,97687,794787,92800,222730,80166,100008,78269,68357,36607,15610,18248,49435,32557,751667,17667,89092,64265,95882,103085,111664,59834,23691,37105,88852,60530,14112,508,2993,1587,2448,2171,2104,1161,196,355,368,221,94364,872,5519,10749,18472,20980,16839,5165,2270,2197,6922,4379
"Illinois","17",12859995,779666,2180519,1237872,1773212,1672605,1744768,876726,327434,438968,1040206,788019,8641354,715255,1849119,927850,1081538,966958,1030192,542819,200310,264199,594402,468712,2247458,52308,223811,180637,329952,276154,340429,184829,75787,103068,275066,205417,145027,2881,24621,15341,21319,18917,21418,10952,4291,4797,12138,8352,1826156,9222,82968,114044,340403,410576,352729,138126,47046,66904,158600,105538
"Indiana","18",6619680,419209,1160525,676373,842022,822598,878429,452571,173351,229278,555659,409665,4530700,375841,941595,454106,542160,521665,562279,298280,109445,144706,336395,244228,1723704,40813,191531,174939,231237,217953,256249,133304,57324,74037,195228,151089,43968,769,6006,5592,8225,6667,7949,3462,673,1536,1726,1363,321308,1786,21393,41736,60400,76313,51952,17525,5909,8999,22310,12985
"Iowa","19",3123899,195084,533669,320642,392752,368059,399872,210096,85721,116852,267973,233179,2220360,169667,423241,200801,252094,238116,265073,151510,60635,84844,196833,177546,737826,23432,97211,97193,103355,94458,106984,50124,21555,27576,65203,50735,16992,643,2063,2012,2618,3311,2882,1243,557,568,430,665,148721,1342,11154,20636,34685,32174,24933,7219,2974,3864,5507,4233
"Kansas","20",2911641,197066,523168,302928,384499,347230,362357,195971,71038,101332,235259,190793,1706031,169794,393716,172623,203632,163689,171586,102249,37731,54861,125015,111135,974174,24810,113091,105726,130879,130711,148662,81229,28707,40344,98872,71143,25716,1094,3091,2477,4283,4568,5256,1765,357,740,1009,1076,205720,1368,13270,22102,45705,48262,36853,10728,4243,5387,10363,7439
"Kentucky","21",4425092,273366,737217,425719,561502,563472,601478,310082,120445,157683,401646,272482,3077946,235543,579212,286505,361668,363583,382473,205011,80714,107665,275995,199577,1161275,35203,138011,118543,160584,160218,189517,95707,36910,45486,114609,66487,28535,583,3797,3090,5817,4278,5950,2034,496,835,1313,342,157336,2037,16197,17581,33433,35393,23538,7330,2325,3697,9729,6076
"Louisiana","22",4670724,304845,811340,459284,670600,578072,597756,312351,120079,162789,383313,270295,3657607,282718,705496,364090,504167,423845,450142,232538,91265,120855,283129,199362,797589,18778,90653,76785,118670,109869,111062,64643,24202,35709,87384,59834,29159,1372,3609,2980,5267,6018,6002,1801,625,558,699,228,186369,1977,11582,15429,42496,38340,30550,13369,3987,5667,12101,10871
"Maine","23",1329328,63852,192007,112229,151964,152672,196149,110275,40549,59063,146641,103927,851603,56611,154767,73111,97397,94741,112583,61823,24042,31399,81212,63917,419624,6597,31745,34020,46902,49091,73464,43499,15101,25582,58632,34991,13407,365,2303,999,1825,2057,2399,1361,265,488,789,556,44694,279,3192,4099,5840,6783,7703,3592,1141,1594,6008,4463
"Maryland","24",6006401,366627,981105,556183,834133,769729,868662,421380,154323,207274,498035,348950,2837811,299555,682266,311734,359468,255630,318346,166117,58925,78999,180190,126581,2169041,56578,227596,168714,295359,297162,358812,179034,70256,95177,244487,175866,87967,3197,15626,10603,12454,13140,15445,7530,1609,2714,3891,1758,911582,7297,55617,65132,166852,203797,176059,68699,23533,30384,69467,44745
"Massachusetts","25",6794422,365383,1021811,700584,941776,838603,976402,477635,182092,245910,590043,454183,4187673,331380,832600,432538,494991,409564,536934,274179,106134,143552,341226,284575,1320009,22370,111340,153833,207418,177620,205219,108703,41316,57926,145587,88677,190787,3453,26831,23197,33842,29257,30921,13279,3441,5278,12873,8415,1095953,8180,51040,91016,205525,222162,203328,81474,31201,39154,90357,72516
"Michigan","26",9922576,570655,1637169,986405,1221558,1175407,1375302,730014,278718,376707,908606,662035,7598598,528524,1441875,787718,922671,862751,1002755,547729,207150,270591,605709,421125,1598988,34761,141061,130151,176057,173402,251656,130012,53637,81738,237378,189135,72900,1996,11222,9333,13332,9645,11889,4772,1763,1343,4367,3238,652090,5374,43011,59203,109498,129609,109002,47501,16168,23035,61152,48537
"Minnesota","27",5489594,350927,931971,505761,745711,675937,744590,390211,142092,197436,451628,353330,3716260,310990,759282,345834,446348,387894,455147,252013,94303,131328,291903,241218,1275855,32575,119079,109883,189357,174287,214323,111329,39628,56124,133562,95708,40294,1743,7053,5271,6562,7356,5944,2395,796,508,1752,914,457185,5619,46557,44773,103444,106400,69176,24474,7365,9476,24411,15490
"Mississippi","28",2992333,188849,539158,311989,373921,385487,375597,202233,74101,100037,262037,178924,2140299,165701,436576,217246,255549,256822,242484,134401,49151,67209,181665,133495,758870,22134,92931,84760,97936,108325,119525,62462,23144,30164,75118,42371,20906,784,3961,2425,4714,3526,2839,1187,450,334,651,35,72258,230,5690,7558,15722,16814,10749,4183,1356,2330,4603,3023
"Missouri","29",6083672,374370,1018196,593894,796209,733744,807305,428490,160182,220334,540203,410745,4023753,332791,825769,402275,490013,438565,487900,260808,95266,129607,314188,246571,1768131,37576,166902,157252,244675,235299,277202,147545,59126,82264,208952,151338,49027,1805,6562,6977,8588,7678,6563,5198,885,1426,1921,1424,242761,2198,18963,27390,52933,52202,35640,14939,4905,7037,15142,11412
"Montana","30",1032949,60420,165807,100393,128657,118633,128947,74223,32046,44892,105390,73541,560555,51219,119857,55543,66035,60564,59253,36980,13387,21304,43895,32518,442710,8909,43587,41896,57664,53876,63955,35275,17768,22693,58469,38618,8328,245,1152,708,1741,791,1484,897,381,327,320,282,21356,47,1211,2246,3217,3402,4255,1071,510,568,2706,2123
"Nebraska","31",1896190,130664,339966,192977,252652,232446,231101,126169,46691,64833,152851,125840,1231432,111304,266064,122145,144065,130730,135269,76943,28411,39783,92026,84692,520261,17531,61131,53629,74163,68588,74539,41263,15199,22518,54992,36708,16107,572,2687,2019,2695,3285,2526,1060,392,88,641,142,128390,1257,10084,15184,31729,29843,18767,6903,2689,2444,5192,4298
"Nevada","32",2890845,176933,491622,254123,411910,388122,390850,181199,71158,102816,264352,157760,744421,145501,305705,94334,81912,46889,34763,13327,4245,4213,9321,4211,1534480,28225,158185,122341,224221,206247,228088,119961,49810,73862,201588,121952,53774,1428,7134,4930,9654,8880,9289,3987,654,1813,4202,1803,558170,1779,20598,32518,96123,126106,118710,43924,16449,22928,49241,29794
"New Hampshire","33",1330608,63509,199822,130063,155315,156414,205373,110385,38857,52513,129371,88986,560452,50321,135059,63383,69463,52488,62461,32481,11860,16481,38095,28360,675588,12188,57729,58282,71280,85766,125472,70390,24470,32103,84216,53692,14609,204,1760,1920,1497,2336,3663,1328,468,482,336,615,79959,796,5274,6478,13075,15824,13777,6186,2059,3447,6724,6319
"New Jersey","34",8958013,529254,1469611,792764,1151980,1168897,1323526,646146,228442,304442,754320,588631,4707500,460789,1118363,520807,569494,474391,550876,271538,91001,124125,286185,239931,2064984,51686,230686,139488,222615,243453,348417,189281,72127,93796,261769,211666,208204,5351,23341,13905,24393,30068,36029,19694,7425,9264,23690,15044,1977325,11428,97221,118564,335478,420985,388204,165633,57889,77257,182676,121990
"New Mexico","35",2085109,134230,365186,208145,272426,246672,256724,142006,53191,75935,196638,133956,1111159,109480,274673,135516,145298,114138,106842,58521,21796,28242,67604,49049,752911,22973,75997,57431,88550,87982,105562,67995,24498,39649,110089,72185,24084,799,3039,2747,3770,3401,3767,2799,290,642,2128,702,196955,978,11477,12451,34808,41151,40553,12691,6607,7402,16817,12020
"New York","36",19795791,1185088,3028079,1941151,2875580,2498772,2760964,1352469,513813,677428,1661791,1300656,12487390,1097124,2581660,1363345,1576827,1276785,1523942,774013,296765,382931,906237,707761,2270116,51332,198052,236415,451650,298320,304330,156043,60521,86193,236282,190978,508198,12674,55223,43583,71903,60961,66122,35692,12500,23438,67285,58817,4530087,23958,193144,297808,775200,862706,866570,386721,144027,184866,451987,343100
"North Carolina","37",10042802,598858,1689192,992108,1298130,1312886,1364407,670409,253814,347453,906975,608570,5738538,524374,1253510,577256,610487,588174,647820,344664,133651,191553,500622,366427,3395310,62311,370751,329155,492223,497731,564080,273622,101178,134410,358301,211548,114270,4272,17502,12167,20509,18555,20362,8403,1295,2534,4647,4024,794684,7901,47429,73530,174911,208426,132145,43720,17690,18956,43405,26571
"North Dakota","38",756928,52172,119142,93597,114100,86540,88569,49724,18796,26931,56590,50767,482062,42672,86837,46136,60158,49634,53286,32320,13494,17507,41011,39007,239910,8442,29431,41778,44137,31346,31017,15813,4845,8656,13729,10716,6307,459,1125,1670,920,838,287,796,51,38,95,28,28649,599,1749,4013,8885,4722,3979,795,406,730,1755,1016
"Ohio","39",11613423,689288,1940520,1087145,1486363,1400811,1575665,836258,314544,443275,1044297,795257,8731351,631898,1670606,843846,1088715,1024398,1142237,616817,225587,308370,679890,498987,2277567,48672,212346,187119,279671,263067,342393,184992,74793,114538,314624,255352,100594,3064,17156,9635,16286,17015,15171,8574,1418,2602,5800,3873,503911,5654,40412,46545,101691,96331,75864,25875,12746,17765,43983,37045
"Oklahoma","40",3911338,262951,698146,392378,535955,479383,481745,252792,98554,133403,334259,241772,2371687,227965,534506,241005,303558,246318,235210,123186,49425,73653,184598,152263,1263605,31481,140721,119863,172750,173020,199649,112012,42389,53528,136539,81653,40696,1918,6451,4625,6679,6925,7142,2584,1607,1067,1262,436,235350,1587,16468,26885,52968,53120,39744,15010,5133,5155,11860,7420
"Oregon","41",4028977,229139,632013,363364,553310,527375,517829,264966,115240,165963,396146,263632,1849028,200074,476240,197814,235690,191019,173857,92004,38606,54435,121630,67659,1735597,24770,125362,124143,231782,238013,262266,145935,65855,97998,245435,174038,47059,1838,7840,5524,8208,6086,8477,4145,1400,807,1875,859,397293,2457,22571,35883,77630,92257,73229,22882,9379,12723,27206,21076
"Pennsylvania","42",12802503,714892,1977128,1214756,1648641,1501855,1774180,945070,364930,479858,1199864,981329,9336988,649387,1616235,852149,1105420,991872,1212336,682242,268328,348842,868168,742009,2420162,53303,282915,269833,349100,309734,387701,189885,69629,97645,238662,171755,208194,4169,23194,21524,33931,34924,32903,16358,5341,7106,18702,10042,837159,8033,54784,71250,160190,165325,141240,56585,21632,26265,74332,57523
"Rhode Island","44",1056298,54393,157482,114340,143020,123682,148812,79258,28693,36086,94652,75880,598095,45758,117906,57922,71848,56587,75509,43268,14426,19567,50656,44648,290523,7612,28949,39854,41279,35878,43179,22783,9740,11101,29749,20399,25356,485,3323,3748,4905,3701,3629,1969,569,560,1731,736,142324,538,7304,12816,24988,27516,26495,11238,3958,4858,12516,10097
"South Carolina","45",4896146,287488,801820,487006,631579,600449,651938,330652,128077,183183,490838,303116,2825070,235947,591803,285275,337071,308626,322385,170203,70198,94692,245999,162871,1786075,48538,190075,175846,235199,228819,278578,142273,51900,80640,224737,129470,52252,609,5779,5715,10038,10612,8265,4320,1671,1550,2666,1027,232749,2394,14163,20170,49271,52392,42710,13856,4308,6301,17436,9748
"South Dakota","46",858469,59597,150083,85681,111923,98348,104609,60180,22542,30993,72702,61811,557165,50389,118140,53317,63719,54194,60660,36602,14089,19535,44785,41735,268383,8854,27321,28376,40990,37863,38799,21993,7797,11127,26337,18926,5076,20,855,412,1308,683,995,479,89,36,82,117,27845,334,3767,3576,5906,5608,4155,1106,567,295,1498,1033
