"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Alabama","01",3282252,496882,1018063,974431,504626,288250,2149178,345999,727920,641358,281845,152056,967622,104007,256139,297920,194874,114682,26818,1896,6085,8324,6595,3918,138634,44980,27919,26829,21312,17594
"Alaska","02",469523,34616,128052,167439,87869,51547,128626,14090,45454,42684,20045,6353,282386,10888,68972,104959,56971,40596,9275,503,2785,3617,1668,702,49236,9135,10841,16179,9185,3896
"Arizona","04",4536954,630973,1110871,1537661,788933,468516,1059278,144665,300599,397787,149222,67005,2611611,185027,616151,960047,528917,321469,70906,7490,15039,25777,15243,7357,795159,293791,179082,154050,95551,72685
"Arkansas","05",1987819,290071,678452,585915,278975,154406,1102536,157799,405262,325347,140863,73265,754712,84426,242853,239573,121532,66328,14734,1692,3295,4000,3265,2482,115837,46154,27042,16995,13315,12331
"California","06",26085263,4643510,5430081,7595982,5285754,3129936,10448525,929939,2494180,3895387,2102349,1026670,5634741,352442,977104,1789250,1466883,1049062,356987,40810,65792,118831,86010,45544,9645010,3320319,1893005,1792514,1630512,1008660
"Colorado","08",3671853,323853,796984,1110240,909032,531744,1099017,85479,312401,374356,228020,98761,2059296,87655,368235,635322,595426,372658,58951,3977,10895,20796,14187,9096,454589,146742,105453,79766,71399,51229
"Connecticut","09",2474718,242268,678916,605490,535933,412111,1165940,76435,382478,319641,237962,149424,759627,40408,149843,174721,211503,183152,101797,36774,31217,19983,7628,6195,447354,88651,115378,91145,78840,73340
"Delaware","10",652636,72355,194810,183542,117581,84348,235678,28092,86002,67887,36593,17104,330906,24771,89969,99377,64710,52079,9279,1930,2783,2264,1397,905,76773,17562,16056,14014,14881,14260
"District of Columbia","11",472884,48249,82181,74109,112629,155716,131978,18484,47517,34452,17582,13943,250237,12931,25305,28659,76458,106884,9052,317,410,1603,3624,3098,81617,16517,8949,9395,14965,31791
"Florida","12",14394281,1781252,4201879,4318812,2620339,1471999,3185165,373182,1043061,1015169,518515,235238,7051815,523555,1988607,2298943,1399780,840930,550022,84945,150247,181165,92846,40819,3607279,799570,1019964,823535,609198,355012
"Georgia","13",6683767,925736,1879302,1878616,1244449,755664,3039392,488545,1058485,847138,418234,226990,2677415,190729,600670,840814,647150,398052,96094,9126,19022,33556,22708,11682,870866,237336,201125,157108,156357,118940
"Hawaii","15",985914,89995,267568,319157,205033,104161,449734,29061,152911,144995,84188,38579,278057,9578,48260,101105,71547,47567,33296,3356,7496,11785,7522,3137,224827,48000,58901,61272,41776,14878
"Idaho","16",1065982,106534,292667,389869,189566,87346,399091,27188,129193,151547,66704,24459,580643,47153,146127,218470,113298,55595,9024,615,1940,3420,2220,829,77224,31578,15407,16432,7344,6463
"Illinois","17",8661938,991602,2314192,2502604,1757697,1095843,5149130,378755,1519878,1709788,996873,543836,1790702,145931,374447,477931,455722,336671,102184,20381,24669,25358,19641,12135,1619922,446535,395198,289527,285461,203201
"Indiana","18",4363573,514136,1496775,1264542,697223,390897,2759158,283422,1044897,824782,415566,190491,1316421,145979,385186,390631,240220,154405,31601,4117,8197,10607,6236,2444,256393,80618,58495,38522,35201,43557
"Iowa","19",2074504,171665,664912,681336,377035,179556,1426651,94503,498212,486778,250142,97016,519990,38442,136225,171027,108827,65469,12274,1407,4179,2742,2602,1344,115589,37313,26296,20789,15464,15727
"Kansas","20",1888479,183754,501278,604384,384495,214568,969898,71911,291574,334645,184360,87408,730547,50586,170413,231437,172715,105396,19054,1995,3857,6681,4153,2368,168980,59262,35434,31621,23267,19396
"Kentucky","21",2988790,443964,1002541,846111,406865,289309,1976686,321998,716252,549006,233264,156166,869518,89981,252792,268098,149720,108927,21065,1381,5344,7879,3606,2855,121521,30604,28153,21128,20275,21361
"Louisiana","22",3095255,476770,1056533,843894,470739,247319,2305303,374605,835052,617180,329935,148531,611373,56626,168405,191302,116652,78388,21198,1675,7662,6041,3636,2184,157381,43864,45414,29371,20516,18216
"Maine","23",961240,79599,314332,277756,187513,102040,567114,53114,223262,167994,90026,32718,347262,19940,80146,96765,88427,61984,9740,911,2311,2789,2314,1415,37124,5634,8613,10208,6746,5923
"Maryland","24",4102486,425666,1029325,1055881,866352,725262,1544256,166391,527909,442671,254068,153217,1716153,92723,339526,456754,429719,397431,58541,2744,11933,15935,15911,12018,783536,163808,149957,140521,166654,162596
"Massachusetts","25",4706644,459349,1184423,1111183,1086715,864974,2591155,171309,765001,715587,599730,339528,1032466,44431,152418,200405,309250,325962,137306,41847,37463,28500,15171,14325,945717,201762,229541,166691,162564,185159
"Michigan","26",6728347,662900,1979472,2215502,1145546,724927,4840481,407145,1523692,1707464,780037,422143,1293015,132468,335643,388347,249050,187507,50349,6507,12673,16703,7970,6496,544502,116780,107464,102988,108489,108781
"Minnesota","27",3700935,267306,941170,1208452,847584,436423,2300154,120712,671556,815892,490987,201007,1014318,52203,190591,307870,286468,177186,26227,1423,6022,8678,6141,3963,360236,92968,73001,76012,63988,54267
