"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Alabama","01",23693,22272,27030,31647,23302
"Alaska","02",31232,20523,40161,29531,26879
"Arizona","04",26678,22165,30673,28777,22192
"Arkansas","05",22972,22079,24255,25760,23573
"California","06",28068,27339,38756,32144,24221
"Colorado","08",31664,27230,36724,31162,26665
"Connecticut","09",35029,33616,41963,20570,30932
"Delaware","10",31251,29299,32859,21974,32022
"District of Columbia","11",41724,25179,53738,60200,37810
"Florida","12",25364,22492,29203,21824,21805
"Georgia","13",26244,22274,31850,28675,25298
"Hawaii","15",31905,32024,36535,32056,27516
"Idaho","16",23909,22782,25320,24782,20530
"Illinois","17",30140,29877,34802,23556,26676
"Indiana","18",26452,26309,27203,25420,24563
"Iowa","19",28771,29521,27901,32014,24669
"Kansas","20",28576,27303,30895,26085,25792
"Kentucky","21",23828,22683,26165,30440,22396
"Louisiana","22",24508,23399,28760,26923,22864
"Maine","23",26027,24960,28661,26497,24417
"Maryland","24",36316,30458,46736,42617,31745
"Massachusetts","25",32352,31891,42477,17481,29912
"Michigan","26",26150,25854,27275,25159,26565
"Minnesota","27",31841,31722,35428,30113,26149
"Mississippi","28",22199,21174,25678,26632,21489
"Missouri","29",26369,25753,27858,29227,25455
"Montana","30",25507,24976,26297,26062,21371
"Nebraska","31",29132,29297,31002,34572,22016
"Nevada","32",27865,22491,30430,28425,26094
"New Hampshire","33",32243,28148,36060,29941,32373
"New Jersey","34",33301,32335,41023,23017,30395
"New Mexico","35",23534,21358,28832,25796,19296
"New York","36",30530,31220,38381,19287,26250
"North Carolina","37",25566,22332,30848,26975,23342
"North Dakota","38",31782,32237,31568,26985,27742
"Ohio","39",26798,26674,27908,22634,25020
"Oklahoma","40",25477,24685,27097,26580,22619
"Oregon","41",26188,24779,28044,25762,23395
"Pennsylvania","42",27846,27694,30628,18964,25746
"Rhode Island","44",30129,30565,32048,16999,24608
"South Carolina","45",24806,21890,29817,27063,22337
"South Dakota","46",27699,27537,29230,20976,23630
"Tennessee","47",24732,22579,27664,30905,23389
"Texas","48",27251,26119,35321,30603,23139
"Utah","49",27136,26238,30539,25133,24443
"Vermont","50",28825,27642,30328,32195,22589
"Virginia","51",31557,25341,41141,37517,31405
"Washington","53",31407,29188,35642,32098,28304
"West Virginia","54",22771,22372,23802,29788,25626
"Wisconsin","55",29060,29782,28689,25224,25353
"Wyoming","56",30509,27589,32199,36071,21932
