"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Alabama","01",3947204,594062,3353142,724917,409390,603308,423926,452634,289674,108611,340682,2636958,411970,2224988,504012,287091,410409,279744,299872,189098,69924,184838,1120986,144546,976440,194912,104503,158924,121713,135748,88476,34616,137548,31583,3709,27874,5918,2449,3525,2986,4605,2171,1411,4809,157677,33837,123840,20075,15347,30450,19483,12409,9929,2660,13487
"Alaska","02",582619,28952,553667,115617,43007,71813,66778,71811,54126,31381,99134,191119,9367,181752,59104,16684,24686,20240,19443,14818,7946,18831,322795,15440,307355,43690,20651,36861,35324,44076,34113,20340,72300,12693,575,12118,2263,473,2174,2143,1042,1002,445,2576,56012,3570,52442,10560,5199,8092,9071,7250,4193,2650,5427
"Arizona","04",5481996,883708,4598288,879703,484395,803683,635159,663549,401691,168620,561488,1598892,370884,1228008,323239,131622,207573,166176,170543,95146,35481,98228,2917587,308719,2608868,406993,256390,433169,351510,402348,257553,113123,387782,83550,12431,71119,11404,6358,13435,10021,9560,6865,3140,10336,881967,191674,690293,138067,90025,149506,107452,81098,42127,16876,65142
"Arkansas","05",2390981,341700,2049281,447813,257825,379504,292638,273043,160878,60617,176963,1370263,200264,1169999,273275,151899,209276,166930,155058,87589,34901,91071,867298,108879,758419,152953,93992,140784,103056,102745,65405,22567,76917,19121,2853,16268,3740,811,3095,2694,1939,1539,546,1904,134299,29704,104595,17845,11123,26349,19958,13301,6345,2603,7071
"California","06",31576740,5473975,26102765,4783114,2899797,4262236,2971715,3154415,2286414,1043312,4701762,14663841,2994391,11669450,2443286,1239320,1746138,1313807,1440505,1068546,489131,1928717,6090743,532994,5557749,688371,536819,790164,567348,672345,563306,275835,1463561,431350,69368,361982,64085,34860,53306,36043,48852,36525,15614,72697,10390806,1877222,8513584,1587372,1088798,1672628,1054517,992713,618037,262732,1236787
"Colorado","08",4406120,517941,3888179,647854,336693,581365,511692,573938,407967,181535,647135,1506345,219877,1286468,271568,119077,202066,177326,183250,127957,55248,149976,2314183,194510,2119673,296211,169361,289462,253616,318875,243976,110359,437813,72554,9230,63324,11300,5388,8030,9615,9868,6481,2964,9678,513038,94324,418714,68775,42867,81807,71135,61945,29553,12964,49668
"Connecticut","09",2971949,360752,2611197,433776,223355,367892,279592,356470,282176,130150,537786,1488154,184821,1303333,231634,111793,178119,142257,183971,153624,69857,232078,868829,81498,787331,115156,59460,92933,72642,98565,81610,39639,227326,117345,16167,101178,25649,13130,19577,13033,11867,7802,2951,7169,497621,78266,419355,61337,38972,77263,51660,62067,39140,17703,71213
"Delaware","10",776531,96807,679724,116090,62202,108478,81398,105057,77355,31040,98104,301796,45394,256402,49648,23903,43224,29627,43139,27285,10138,29438,380114,34320,345794,55933,31113,50384,41432,53941,40743,17471,54777,11211,1813,9398,2054,1425,1730,1198,741,959,169,1122,83410,15280,68130,8455,5761,13140,9141,7236,8368,3262,12767
"District of Columbia","11",569946,60322,509624,93641,33456,52555,44409,58790,52256,27015,147502,166145,29003,137142,33506,13195,21446,16856,17290,11317,5777,17755,300691,20777,279914,45349,13752,20720,17833,30005,32642,16832,102781,10963,774,10189,1572,442,484,618,1057,1093,510,4413,92147,9768,82379,13214,6067,9905,9102,10438,7204,3896,22553
"Florida","12",16889179,2579565,14309614,2673310,1656712,2728704,1994348,1990207,1216105,463018,1587210,4603590,1019431,3584159,847247,415754,653313,507840,497132,281195,103536,278142,7695640,768572,6927068,1028865,742748,1263802,953954,1017623,678058,261643,980375,648181,102348,545833,127930,69948,100876,76228,75895,39192,15541,40223,3941768,689214,3252554,669268,428262,710713,456326,399557,217660,82298,288470
