"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Clay County, Georgia","13061",2438,513,1925,617,261,481,222,126,102,65,51,1592,319,1273,463,201,279,107,84,45,52,42,833,185,648,150,60,202,115,42,57,13,9,4,0,4,4,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0
"Echols County, Georgia","13101",3076,737,2339,380,263,573,323,314,263,57,166,1738,440,1298,207,160,218,228,210,154,30,91,891,234,657,88,67,184,95,95,74,27,27,131,21,110,30,0,37,0,0,0,0,43,316,42,274,55,36,134,0,9,35,0,5
"Glynn County, Georgia","13127",67662,7872,59790,12302,6764,10089,7742,8586,4917,1830,7560,35899,4691,31208,7512,3779,5110,4470,4544,2392,977,2424,26471,2321,24150,4094,2382,3854,2712,3521,2215,765,4607,763,75,688,82,111,119,19,161,67,43,86,4529,785,3744,614,492,1006,541,360,243,45,443
"DeKalb County, Georgia","13089",588708,82507,506201,89883,47964,81732,64559,69971,49257,21529,81306,218751,34607,184144,40702,19307,30078,24392,25329,17885,6889,19562,249184,24580,224604,32182,18180,28145,26336,34028,24731,11175,49827,9266,1702,7564,1490,520,1029,1026,1173,855,282,1189,111507,21618,89889,15509,9957,22480,12805,9441,5786,3183,10728
"Haralson County, Georgia","13143",22999,3638,19361,4059,2340,3567,2563,2718,1587,876,1651,16156,2853,13303,2861,1696,2268,1965,1770,1085,598,1060,6364,701,5663,1134,585,1188,565,909,492,221,569,104,53,51,0,30,11,0,0,10,0,0,375,31,344,64,29,100,33,39,0,57,22
"Lincoln County, Georgia","13181",6555,1034,5521,912,820,1310,791,678,442,104,464,4647,745,3902,692,591,932,600,395,342,70,280,1726,235,1491,202,229,330,169,251,92,34,184,96,35,61,0,0,27,0,32,2,0,0,86,19,67,18,0,21,22,0,6,0,0
"Jackson County, Georgia","13157",50320,7722,42598,7445,4614,7314,5837,6753,4489,1627,4519,31575,5303,26272,5292,2904,4682,3482,4167,2514,849,2382,15067,1718,13349,1967,1320,1852,1713,2246,1658,707,1886,410,32,378,33,17,21,137,95,29,16,30,3268,669,2599,153,373,759,505,245,288,55,221
"Jefferson County, Georgia","13163",12776,2255,10521,2728,1680,2129,1481,1149,697,262,395,10748,2013,8735,2335,1287,1744,1237,1006,590,194,342,1586,74,1512,381,304,322,170,129,93,68,45,94,22,72,3,29,5,15,6,14,0,0,348,146,202,9,60,58,59,8,0,0,8
"Jones County, Georgia","13169",22981,3240,19741,3676,1915,3284,2646,3413,2205,861,1741,17881,2761,15120,3082,1402,2543,2125,2645,1566,509,1248,4773,406,4367,584,453,733,504,733,620,310,430,90,11,79,0,17,0,13,0,0,33,16,237,62,175,10,43,8,4,35,19,9,47
"Murray County, Georgia","13213",31232,4803,26429,5275,3461,5682,4697,3792,1859,654,1009,19443,3072,16371,3491,2158,3458,2474,2352,1352,411,675,8741,1228,7513,1437,1045,1682,1193,1171,425,226,334,197,1,196,17,54,32,56,33,4,0,0,2851,502,2349,330,204,510,974,236,78,17,0
"Muscogee County, Georgia","13215",156950,23851,133099,30619,14837,24723,16964,16840,11287,4447,13382,75584,13211,62373,16697,7685,12139,7534,7676,4343,1644,4655,65828,8219,57609,11518,5728,9883,7476,7709,5724,2376,7195,4786,660,4126,819,336,569,539,783,415,149,516,10752,1761,8991,1585,1088,2132,1415,672,805,278,1016
"Pulaski County, Georgia","13235",9968,3124,6844,1360,972,1510,797,891,627,192,495,7065,2340,4725,746,647,1105,543,701,509,164,310,2641,679,1962,582,284,391,215,177,112,28,173,68,10,58,0,21,6,0,13,6,0,12,194,95,99,32,20,8,39,0,0,0,0
"Rabun County, Georgia","13241",14095,2038,12057,2637,1885,2203,1762,1299,899,369,1003,6972,1116,5856,1529,953,835,878,675,375,193,418,6003,743,5260,955,682,1117,771,522,497,166,550,207,45,162,10,43,44,11,13,18,0,23,913,134,779,143,207,207,102,89,9,10,12
"Stewart County, Georgia","13259",5244,1661,3583,1135,431,841,429,344,186,70,147,2925,718,2207,609,299,571,266,182,155,51,74,509,102,407,58,65,89,34,82,13,9,57,19,0,19,2,0,17,0,0,0,0,0,1791,841,950,466,67,164,129,80,18,10,16
"Towns County, Georgia","13281",9955,1372,8583,2055,1432,1559,1163,975,550,239,610,4489,688,3801,1164,643,607,401,427,237,80,242,5125,617,4508,739,773,938,747,521,263,159,368,48,2,46,15,0,5,2,0,24,0,0,293,65,228,137,16,9,13,27,26,0,0
"Treutlen County, Georgia","13283",5500,730,4770,1124,696,813,800,698,346,154,139,3904,505,3399,749,557,544,526,522,277,126,98,1358,142,1216,356,130,236,180,176,69,28,41,49,6,43,15,0,13,15,0,0,0,0,189,77,112,4,9,20,79,0,0,0,0
"Turner County, Georgia","13287",6402,1136,5266,1134,570,1112,761,895,362,116,316,5081,833,4248,954,477,854,613,708,294,87,261,1057,234,823,165,89,188,62,167,68,29,55,46,7,39,14,0,0,5,20,0,0,0,218,62,156,1,4,70,81,0,0,0,0
"Irwin County, Georgia","13155",7593,1618,5975,1320,896,1335,615,739,473,246,351,6332,1428,4904,1078,756,1100,520,651,336,171,292,1167,190,977,190,119,227,82,88,137,75,59,18,0,18,14,0,4,0,0,0,0,0,76,0,76,38,21,4,13,0,0,0,0
"Atkinson County, Georgia","13003",6257,1121,5136,1282,693,1032,778,516,462,92,281,4060,773,3287,859,469,619,420,379,248,81,212,1179,198,981,238,140,147,194,38,168,9,47,11,0,11,0,0,0,0,0,0,0,11,1007,150,857,185,84,266,164,99,46,2,11
"Appling County, Georgia","13001",14586,2384,12202,3176,1613,2336,1580,1444,901,309,843,10928,1840,9088,2339,1237,1616,1166,1090,655,277,708,2870,404,2466,663,268,562,364,224,218,32,135,48,6,42,28,0,14,0,0,0,0,0,740,134,606,146,108,144,50,130,28,0,0
"Bacon County, Georgia","13005",8805,1499,7306,1545,1044,1526,1143,939,499,152,458,6080,1067,5013,1014,810,1014,674,649,445,111,296,2088,315,1773,478,183,363,294,228,24,41,162,73,0,73,14,13,23,0,0,23,0,0,564,117,447,39,38,126,175,62,7,0,0
"Brantley County, Georgia","13025",14712,2697,12015,2897,1888,2228,1533,1628,885,293,663,9344,1902,7442,1923,1191,1296,981,818,582,230,421,4917,688,4229,899,687,865,490,776,266,45,201,209,34,175,42,0,41,0,11,37,18,26,242,73,169,33,10,26,62,23,0,0,15
"Whitfield County, Georgia","13313",80793,13560,67233,10988,9368,14657,12430,8974,4669,1427,4720,40234,6556,33678,6374,5262,6458,5045,4491,2548,909,2591,20819,2870,17949,2856,2441,3226,2856,2938,1525,450,1657,1014,173,841,58,127,118,346,75,71,17,29,18726,3961,14765,1700,1538,4855,4183,1470,525,51,443
"Calhoun County, Georgia","13037",5513,2237,3276,827,576,686,408,379,179,79,142,4235,1478,2757,689,543,565,393,293,107,52,115,1002,583,419,105,25,99,9,62,72,27,20,9,3,6,0,0,0,6,0,0,0,0,267,173,94,33,8,22,0,24,0,0,7
"Macon County, Georgia","13193",11539,3617,7922,1965,1263,1688,1071,863,469,103,500,9060,2750,6310,1694,965,1361,815,744,364,56,311,2022,712,1310,235,217,235,216,116,105,34,152,83,24,59,0,48,0,0,3,0,0,8,374,131,243,36,33,92,40,0,0,13,29
"Troup County, Georgia","13285",54977,8468,46509,10431,6040,8158,6797,5973,4534,1173,3403,35344,6356,28988,6761,4134,5234,4305,3793,2685,580,1496,16470,1689,14781,3019,1597,2338,2188,1845,1712,481,1601,558,34,524,112,74,37,57,56,28,59,101,2605,389,2216,539,235,549,247,279,109,53,205
"Bibb County, Georgia","13021",121822,21280,100542,25385,12011,16240,12804,13153,7648,3232,10069,89023,16448,72575,19191,9061,12161,9432,9568,5141,2193,5828,26737,3667,23070,5103,2493,3159,2813,3036,2150,886,3430,931,271,660,185,36,71,112,75,95,23,63,5131,894,4237,906,421,849,447,474,262,130,748
"Harris County, Georgia","13145",27321,3424,23897,4699,2069,3260,3204,3295,2648,1324,3398,15403,2105,13298,2726,1254,2179,1964,1826,1386,533,1430,10498,1163,9335,1605,779,900,1057,1329,1112,709,1844,705,81,624,140,27,109,69,59,77,49,94,715,75,640,228,9,72,114,81,73,33,30
"Marion County, Georgia","13197",6935,1004,5931,1358,718,1330,758,818,519,91,339,4982,744,4238,934,549,1027,494,596,380,9,249,1608,179,1429,395,138,239,173,196,116,82,90,103,36,67,9,17,6,25,0,10,0,0,242,45,197,20,14,58,66,26,13,0,0
"Schley County, Georgia","13249",4073,719,3354,861,206,600,627,521,253,76,210,3240,655,2585,626,163,488,518,382,188,71,149,742,46,696,179,42,106,99,139,65,5,61,17,0,17,17,0,0,0,0,0,0,0,74,18,56,39,1,6,10,0,0,0,0
"Worth County, Georgia","13321",16792,2740,14052,3196,2002,2771,1632,1882,909,634,1026,13458,2160,11298,2668,1694,2171,1144,1588,750,488,795,2930,503,2427,495,264,582,373,253,149,89,222,144,26,118,0,5,0,39,8,0,57,9,260,51,209,33,39,18,76,33,10,0,0
"Bleckley County, Georgia","13023",10602,2822,7780,1810,929,1441,1366,873,605,243,513,8177,2086,6091,1307,733,1220,1117,591,548,201,374,2125,641,1484,431,184,192,238,245,41,27,126,63,45,18,0,0,0,11,0,7,0,0,237,50,187,72,12,29,0,37,9,15,13
"Dooly County, Georgia","13093",11988,3057,8931,2337,1388,1799,1004,1096,559,328,420,9866,2413,7453,2038,1199,1401,785,934,404,309,383,1570,502,1068,218,176,233,137,114,134,19,37,9,7,2,2,0,0,0,0,0,0,0,543,135,408,79,13,165,82,48,21,0,0
"Evans County, Georgia","13109",8309,1426,6883,1495,877,1317,1111,923,559,124,477,5802,1112,4690,1106,554,863,780,617,365,68,337,2046,291,1755,311,297,350,263,225,158,56,95,54,0,54,6,4,20,0,11,13,0,0,407,23,384,72,22,84,68,70,23,0,45
"Franklin County, Georgia","13119",18267,3087,15180,3735,2345,2753,2236,1791,1137,462,721,12458,2241,10217,2394,1711,1919,1459,1179,725,293,537,5001,606,4395,1232,548,728,651,576,389,116,155,121,36,85,12,0,8,42,0,4,0,19,687,204,483,97,86,98,84,36,19,53,10
