"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Pierce County, Georgia","13229",18990,3994,2145,12851,14496,2854,1679,9963,3994,1031,462,2501,58,0,0,58,442,109,4,329
"Pike County, Georgia","13231",17524,2148,1127,14249,13161,1680,1032,10449,4060,426,70,3564,61,21,3,37,242,21,22,199
"Richmond County, Georgia","13245",192621,46692,23483,122446,122429,34462,15894,72073,58194,10189,6414,41591,4967,780,231,3956,7031,1261,944,4826
"Screven County, Georgia","13251",13656,3092,2287,8277,11278,2711,1796,6771,2141,360,438,1343,69,19,0,50,168,2,53,113
"Tattnall County, Georgia","13267",19185,4553,2885,11747,13641,3374,2029,8238,4317,937,657,2723,331,40,48,243,896,202,151,543
"Berrien County, Georgia","13019",18763,4445,2718,11600,13773,3133,2054,8586,4218,1216,518,2484,125,36,18,71,647,60,128,459
"Walker County, Georgia","13295",67105,11523,8426,47156,33145,5773,4884,22488,32783,5602,3362,23819,313,0,26,287,864,148,154,562
"Gwinnett County, Georgia","13135",883083,107267,86721,689095,320838,42768,32074,245996,324854,29303,23467,272084,15293,1643,1639,12011,222098,33553,29541,159004
"Barrow County, Georgia","13013",74650,9829,8362,56459,45259,6409,5708,33142,23031,2277,1769,18985,858,62,64,732,5502,1081,821,3600
"Charlton County, Georgia","13049",11780,2719,1166,7895,6693,1443,682,4568,4647,997,484,3166,217,186,0,31,223,93,0,130
"Clinch County, Georgia","13065",6686,2641,896,3149,5292,1944,706,2642,1201,574,190,437,9,0,0,9,184,123,0,61
"Bartow County, Georgia","13015",101549,14417,12183,74949,65479,9590,8464,47425,30073,3633,3005,23435,672,42,45,585,5325,1152,669,3504
"Douglas County, Georgia","13097",138611,19690,13949,104972,71069,10217,7819,53033,53971,7713,4364,41894,1677,147,234,1296,11894,1613,1532,8749
"Grady County, Georgia","13131",24773,6284,3026,15463,16808,4287,2139,10382,6342,1357,686,4299,170,96,0,74,1453,544,201,708
"Jeff Davis County, Georgia","13161",14925,3079,2557,9289,11684,2362,1693,7629,2451,364,701,1386,94,43,18,33,696,310,145,241
"Montgomery County, Georgia","13209",8175,1593,771,5811,6382,1213,665,4504,1264,256,66,942,35,6,0,29,494,118,40,336
"Oglethorpe County, Georgia","13221",14488,2543,1621,10324,10545,1922,1321,7302,3461,476,233,2752,158,22,21,115,324,123,46,155
"Randolph County, Georgia","13243",6977,2449,1043,3485,5711,2187,820,2704,1125,255,213,657,0,0,0,0,141,7,10,124
"Rockdale County, Georgia","13247",87480,14232,10203,63045,46358,8051,4771,33536,30939,3974,3830,23135,1065,298,70,697,9118,1909,1532,5677
"Ware County, Georgia","13299",33179,8240,4069,20870,26070,6745,3021,16304,5929,1331,779,3819,291,103,15,173,889,61,254,574
"Wayne County, Georgia","13305",27469,5863,3379,18227,19981,3989,2391,13601,6510,1525,916,4069,263,40,27,196,715,309,45,361
"Wheeler County, Georgia","13309",6085,1780,1121,3184,5559,1662,1000,2897,508,118,108,282,0,0,0,0,18,0,13,5
"Wilcox County, Georgia","13315",6825,1491,875,4459,5624,1144,740,3740,1106,302,131,673,0,0,0,0,95,45,4,46
"Baldwin County, Georgia","13009",41822,11610,5471,24741,33714,9607,4786,19321,6756,1768,451,4537,305,38,76,191,1047,197,158,692
"Banks County, Georgia","13011",18349,2629,2969,12751,13430,2157,1930,9343,3962,357,785,2820,61,0,4,57,896,115,250,531
"Bulloch County, Georgia","13031",66213,20153,6730,39330,47094,14972,5114,27008,16151,4276,1248,10627,666,186,2,478,2302,719,366,1217
"Clarke County, Georgia","13059",113233,38618,11857,62758,65113,24965,7301,32847,34516,9008,3037,22471,1367,480,76,811,12237,4165,1443,6629
