"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Hart County, Georgia","13147",25535,1397,3998,2067,2949,2919,3301,1889,580,1186,3019,2230,16075,1143,2686,1267,1854,1683,2118,1110,356,569,1792,1497,8707,254,1312,697,886,1123,1058,720,208,574,1182,693,112,0,0,12,37,10,22,31,0,0,0,0,641,0,0,91,172,103,103,28,16,43,45,40
"Lowndes County, Georgia","13185",113941,8082,19216,20177,17131,12798,12387,6229,2080,3222,7517,5102,70165,6788,14558,13085,8674,6683,6403,3422,1093,1926,4579,2954,36938,1115,3959,6280,6715,4885,5157,2164,758,1108,2753,2044,1903,71,393,269,427,247,220,199,55,20,2,0,4935,108,306,543,1315,983,607,444,174,168,183,104
"McIntosh County, Georgia","13191",14061,623,1870,1010,1390,1528,1929,1236,535,646,2040,1254,9811,559,1571,755,1088,1025,1108,782,298,444,1342,839,3804,64,265,255,215,464,675,394,237,202,649,384,208,0,34,0,0,10,104,60,0,0,0,0,238,0,0,0,87,29,42,0,0,0,49,31
"Meriwether County, Georgia","13199",21152,1208,3449,1764,2401,2362,2955,1752,522,726,2499,1514,17689,1136,3229,1603,2056,1884,2332,1324,451,532,1912,1230,3062,72,195,145,294,338,573,371,68,170,568,268,171,0,25,16,49,22,8,51,0,0,0,0,230,0,0,0,2,118,42,6,3,24,19,16
"Monroe County, Georgia","13207",26795,1394,4185,2292,3024,3279,3876,2151,718,1291,2756,1829,19607,1291,3746,1739,2407,2066,2458,1483,388,911,1887,1231,6311,103,425,475,535,945,1288,625,260,325,807,523,170,0,0,0,16,60,45,0,0,36,13,0,707,0,14,78,66,208,85,43,70,19,49,75
"Putnam County, Georgia","13237",21430,1068,3155,1544,2511,2192,2834,1851,528,1021,3084,1642,14558,1059,2505,1262,1597,1459,1891,1146,422,645,1726,846,5416,0,587,248,583,368,668,536,92,296,1298,740,134,0,0,2,0,11,65,0,14,17,0,25,1322,9,63,32,331,354,210,169,0,63,60,31
"Sumter County, Georgia","13261",30687,1938,5274,4266,3768,3270,3688,1944,828,950,2849,1912,24620,1887,4872,3368,2848,2746,2892,1425,566,662,1992,1362,4925,44,368,694,665,292,669,487,195,261,746,504,111,7,0,25,5,0,18,25,15,16,0,0,1031,0,34,179,250,232,109,7,52,11,111,46
"Taliaferro County, Georgia","13265",1844,73,223,187,233,252,223,142,39,80,242,150,1600,65,214,187,198,204,203,113,24,77,190,125,194,8,9,0,14,33,20,25,15,3,52,15,4,0,0,0,0,4,0,0,0,0,0,0,46,0,0,0,21,11,0,4,0,0,0,10
"Warren County, Georgia","13301",5410,275,873,300,703,576,705,392,227,252,674,433,4730,272,841,258,608,481,587,333,213,217,540,380,524,0,32,42,66,36,87,59,12,35,102,53,5,3,0,0,0,0,0,0,2,0,0,0,151,0,0,0,29,59,31,0,0,0,32,0
"Baker County, Georgia","13007",3251,127,528,288,392,327,468,202,80,220,421,198,2758,108,506,233,289,260,373,172,80,177,371,189,352,19,22,47,62,39,47,30,0,27,50,9,16,0,0,0,2,0,14,0,0,0,0,0,125,0,0,8,39,28,34,0,0,16,0,0
