"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Clay County, Georgia","13061",2063,357,922,601,61,122,1309,298,583,346,20,62,741,55,339,246,41,60,4,4,0,0,0,0,9,0,0,9,0,0
"Echols County, Georgia","13101",2631,808,917,725,127,54,1394,310,523,453,74,34,790,168,319,230,53,20,131,123,0,8,0,0,316,207,75,34,0,0
"Glynn County, Georgia","13127",57587,6867,15985,18060,10305,6370,28781,4017,9231,9351,3859,2323,24184,1876,5433,7734,5397,3744,607,37,155,158,166,91,4015,937,1166,817,883,212
"DeKalb County, Georgia","13089",497255,56165,104886,126662,121254,88288,170980,17847,48091,48251,36813,19978,220841,9799,34695,61553,63665,51129,7070,492,1119,1878,2042,1539,98364,28027,20981,14980,18734,15642
"Haralson County, Georgia","13143",19468,4091,7170,5459,1533,1215,13185,3035,4987,3502,981,680,5833,1008,1909,1880,510,526,104,5,70,10,19,0,346,43,204,67,23,9
"Lincoln County, Georgia","13181",5687,967,2497,1536,449,238,3928,794,1724,1055,211,144,1589,141,678,460,218,92,96,0,79,17,0,0,74,32,16,4,20,2
"Jackson County, Georgia","13157",42968,7396,14174,12936,5506,2956,25834,4809,9724,6871,2991,1439,13609,1302,3651,5158,2224,1274,364,40,59,201,16,48,3161,1245,740,706,275,195
"Jefferson County, Georgia","13163",10706,2735,4438,2397,805,331,8874,2290,3826,1907,599,252,1454,297,522,422,142,71,94,2,17,34,41,0,284,146,73,34,23,8
"Jones County, Georgia","13169",19462,2270,7477,5677,2393,1645,14603,1900,6019,4269,1570,845,4555,355,1399,1334,752,715,75,0,17,0,25,33,229,15,42,74,46,52
"Murray County, Georgia","13213",26017,8430,9650,5439,1448,1050,15666,4566,6472,3275,832,521,7632,2266,2465,1862,529,510,197,35,107,55,0,0,2522,1563,606,247,87,19
"Muscogee County, Georgia","13215",127882,16133,35456,43086,20489,12718,58382,8497,18671,19338,7381,4495,55528,4864,13623,19896,10598,6547,4109,382,995,1708,752,272,9863,2390,2167,2144,1758,1404
"Pulaski County, Georgia","13235",8466,1688,3393,2320,570,495,5842,1181,2566,1460,349,286,2371,435,805,772,156,203,65,6,7,13,33,6,188,66,15,75,32,0
"Rabun County, Georgia","13241",12302,1995,4108,3086,1741,1372,5806,1003,2221,1331,723,528,5543,668,1617,1590,868,800,194,20,32,59,70,13,759,304,238,106,80,31
"Stewart County, Georgia","13259",4316,1481,1653,647,416,119,2435,686,1025,398,229,97,472,50,192,106,120,4,19,0,4,15,0,0,1390,745,432,128,67,18
"Towns County, Georgia","13281",8133,888,2472,2691,1232,850,3383,549,1021,1039,478,296,4476,320,1397,1549,688,522,31,0,5,26,0,0,243,19,49,77,66,32
"Treutlen County, Georgia","13283",4764,1127,1703,1195,455,284,3361,733,1241,925,282,180,1224,312,387,261,160,104,43,0,30,0,13,0,136,82,45,9,0,0
"Turner County, Georgia","13287",5555,1306,2094,1405,473,277,4490,1070,1783,1039,369,229,849,104,277,321,99,48,46,0,21,20,5,0,170,132,13,25,0,0
"Irwin County, Georgia","13155",6360,1136,2590,1800,410,424,5174,883,2184,1544,264,299,1092,206,377,238,146,125,18,0,14,4,0,0,76,47,15,14,0,0
"Atkinson County, Georgia","13003",5242,1580,2103,1131,252,176,3325,711,1627,687,199,101,983,259,297,325,38,64,11,0,0,0,0,11,923,610,179,119,15,0
"Appling County, Georgia","13001",12366,3076,4961,2904,819,606,9161,2292,3509,2320,574,466,2464,497,1079,530,233,125,48,28,6,14,0,0,693,259,367,40,12,15
"Bacon County, Georgia","13005",7454,1308,3082,2185,535,344,4985,701,2276,1403,311,294,1909,246,664,737,212,50,73,36,25,0,12,0,487,325,117,45,0,0
"Brantley County, Georgia","13025",12397,2271,5982,3172,543,429,7596,1538,3948,1522,336,252,4350,673,1821,1504,175,177,209,0,105,87,17,0,242,60,108,59,15,0
"Whitfield County, Georgia","13313",66225,20605,19162,16812,6158,3488,30944,6296,10089,9858,3111,1590,17590,3272,5516,5008,2338,1456,730,88,100,310,152,80,16961,10949,3457,1636,557,362
"Calhoun County, Georgia","13037",4864,1251,1950,1204,290,169,3676,938,1461,940,189,148,925,258,368,201,77,21,9,0,0,9,0,0,254,55,121,54,24,0
"Macon County, Georgia","13193",9658,2631,3262,2935,504,326,7506,2110,2555,2375,297,169,1725,370,584,484,133,154,65,48,0,6,8,3,362,103,123,70,66,0
"Troup County, Georgia","13285",44844,7373,15913,13240,5136,3182,27437,4759,11048,7569,2623,1438,14652,1955,4320,4817,2030,1530,410,33,98,205,60,14,2345,626,447,649,423,200
"Bibb County, Georgia","13021",99658,14868,32104,27422,14848,10416,71463,11835,25081,19657,9024,5866,23061,2066,5908,6642,4800,3645,697,93,75,257,162,110,4437,874,1040,866,862,795
"Harris County, Georgia","13145",23065,2514,5648,8593,3813,2497,12313,1767,3678,4364,1550,954,9550,725,1701,3681,2012,1431,517,0,48,260,130,79,685,22,221,288,121,33
"Marion County, Georgia","13197",6102,1396,2258,1687,426,335,4271,1006,1631,1178,241,215,1513,327,491,447,136,112,103,6,20,50,19,8,215,57,116,12,30,0
"Schley County, Georgia","13249",3346,626,1154,1108,271,187,2566,507,870,890,173,126,689,55,277,208,88,61,17,12,0,0,5,0,74,52,7,10,5,0
"Worth County, Georgia","13321",14137,3094,5533,3951,954,605,11064,2521,4505,2847,704,487,2691,528,895,951,199,118,144,0,69,43,32,0,238,45,64,110,19,0
"Bleckley County, Georgia","13023",8035,1214,3397,2043,748,633,6279,1004,2739,1474,599,463,1576,138,630,532,139,137,26,0,0,15,0,11,154,72,28,22,10,22
"Dooly County, Georgia","13093",10097,2723,3888,2484,675,327,8208,2232,3238,1979,517,242,1426,305,413,485,156,67,9,4,3,2,0,0,454,182,234,18,2,18
"Evans County, Georgia","13109",7155,1697,2814,1533,714,397,4858,1029,1976,1015,530,308,1855,401,760,482,149,63,54,9,0,17,13,15,388,258,78,19,22,11
"Franklin County, Georgia","13119",15254,3462,5969,3871,1243,709,10196,2515,4303,2317,716,345,4384,735,1576,1399,374,300,85,0,11,45,19,10,589,212,79,110,134,54
"Webster County, Georgia","13307",1804,344,885,372,116,87,1513,290,764,274,103,82,252,34,117,83,13,5,19,0,4,15,0,0,20,20,0,0,0,0
"Effingham County, Georgia","13103",36802,4777,13799,11146,4802,2278,20423,3009,8865,5193,2146,1210,14474,1387,4547,5397,2223,920,566,49,120,247,117,33,1339,332,267,309,316,115
"Lamar County, Georgia","13171",11670,1688,4396,3439,1499,648,8811,1542,3396,2539,944,390,2468,119,841,811,477,220,99,8,0,55,36,0,292,19,159,34,42,38
"Glascock County, Georgia","13125",2067,463,876,534,148,46,1703,390,696,444,136,37,338,73,170,78,12,5,12,0,5,3,0,4,14,0,5,9,0,0
