"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Dorchester School District 4, South Carolina","4500002",17140,1025,2452,1147,2656,1982,2701,1217,535,786,1701,938,13480,965,2230,950,2091,1333,1861,835,424,653,1336,802,3360,60,222,194,493,519,794,364,91,133,365,125,82,0,0,3,0,48,10,7,14,0,0,0,218,0,0,0,72,82,36,11,6,0,0,11
"Abbeville County School District, South Carolina","4500690",23545,1302,3803,2457,2083,2811,3096,1524,626,1336,2703,1804,17721,1237,3188,1665,1610,1993,2132,1097,489,986,1946,1378,5489,65,522,724,454,744,936,418,122,341,751,412,89,0,18,29,0,4,0,9,15,0,0,14,246,0,75,39,19,70,28,0,0,9,6,0
"Aiken County School District, South Carolina","4500720",167865,9830,27300,14486,20994,19498,22805,12097,4593,6989,17501,11772,67434,5079,12026,6163,6325,7195,9219,5257,1807,2420,7106,4837,91611,4637,14651,7469,12829,10172,12293,6349,2639,4371,9639,6562,1598,26,182,229,271,387,229,55,68,37,87,27,7222,88,441,625,1569,1744,1064,436,79,161,669,346
"Allendale County School District, South Carolina","4500750",9589,505,1406,1054,1149,1328,1184,735,314,306,1107,501,7882,483,1218,895,948,1039,944,632,241,294,796,392,1539,22,171,128,169,253,224,97,73,11,282,109,58,0,0,14,0,16,14,6,0,0,8,0,110,0,17,17,32,20,2,0,0,1,21,0
"Anderson School District 1, South Carolina","4500780",53016,3236,10716,3631,5624,7302,8419,3774,1000,1808,4707,2799,35785,3061,8899,2652,3470,4128,4673,2396,637,1220,2900,1749,15361,156,1730,871,1817,2719,3320,1238,335,535,1614,1026,483,19,19,0,43,154,113,111,0,16,8,0,1387,0,68,108,294,301,313,29,28,37,185,24
"Anderson School District 2, South Carolina","4500810",23052,1201,4123,1682,2671,2984,2949,1844,710,961,2148,1779,17754,1092,3592,1428,2184,2141,1931,1216,583,708,1551,1328,4966,109,531,254,402,740,988,599,127,253,587,376,67,0,0,0,21,19,8,12,0,0,0,7,265,0,0,0,64,84,22,17,0,0,10,68
"Anderson School District 3, South Carolina","4500840",14056,817,2641,919,1753,1687,1683,1231,470,524,1379,952,10951,766,2416,842,1459,1252,1107,857,326,368,910,648,2953,51,225,77,251,416,534,374,144,138,451,292,12,0,0,0,0,0,0,0,0,0,0,12,140,0,0,0,43,19,42,0,0,18,18,0
"Anderson School District 4, South Carolina","4500870",21350,1143,2785,2050,2263,2762,2934,1554,593,897,2737,1632,14054,1058,2360,1684,1261,2019,1683,903,314,512,1365,895,6670,85,381,322,900,635,1193,595,262,350,1257,690,120,0,0,0,39,64,0,0,0,17,0,0,506,0,44,44,63,44,58,56,17,18,115,47
"Anderson School District 5, South Carolina","4500900",81471,5105,13131,8064,9992,9283,11146,5348,1690,3031,8419,6262,53615,4510,10508,5192,6300,5933,6422,2975,979,1731,5062,4003,24307,408,2250,2663,2890,2563,4212,2146,670,1254,3045,2206,645,33,97,41,104,24,137,148,13,13,35,0,2904,154,276,168,698,763,375,79,28,33,277,53
"Bamberg School District 1, South Carolina","4500930",8378,468,1431,792,783,1143,1183,533,307,212,779,747,7033,468,1293,636,612,993,899,501,228,190,674,539,1195,0,138,156,112,147,243,26,79,22,105,167,40,0,0,0,36,0,4,0,0,0,0,0,110,0,0,0,23,3,37,6,0,0,0,41
"Bamberg School District 2, South Carolina","4500960",6679,317,864,1319,582,589,622,650,203,297,877,359,5349,285,784,763,416,518,472,593,188,251,760,319,1215,32,80,534,85,71,148,47,15,46,117,40,11,0,0,11,0,0,0,0,0,0,0,0,104,0,0,11,81,0,2,10,0,0,0,0
"Barnwell School District 19, South Carolina","4501020",4712,236,907,452,412,641,651,332,74,235,519,253,3647,181,639,394,365,445,530,223,57,167,456,190,996,55,268,58,27,172,110,95,17,68,63,63,10,0,0,0,0,0,0,10,0,0,0,0,59,0,0,0,20,24,11,4,0,0,0,0
"Barnwell School District 29, South Carolina","4501050",4824,421,854,291,459,469,637,397,124,242,495,435,3371,281,644,242,297,293,428,344,82,164,306,290,1409,140,210,49,162,175,209,53,42,78,146,145,10,0,0,0,0,0,0,0,0,0,10,0,34,0,0,0,0,1,0,0,0,0,33,0
"Barnwell School District 45, South Carolina","4501080",12381,815,2226,1366,1364,1432,1712,834,447,396,1115,674,9337,697,1703,997,1002,1243,1203,540,355,265,789,543,2779,118,503,276,353,120,502,276,92,131,287,121,69,0,0,18,0,28,5,18,0,0,0,0,196,0,20,75,9,41,2,0,0,0,39,10
"Beaufort County School District, South Carolina","4501110",174588,10221,24653,15761,20960,18230,19031,11056,4522,7775,26334,16045,48856,6835,13900,4363,5706,3488,4637,2448,936,1349,3109,2085,107516,3206,9258,9707,11805,10977,11603,7673,3038,5991,21303,12955,2460,136,367,284,482,359,314,181,73,81,113,70,15756,44,1128,1407,2967,3406,2477,754,475,354,1809,935
