"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Dorchester School District 4, South Carolina","4500002",15564,2856,1650,11058,12370,2311,1444,8615,2903,445,180,2278,82,0,26,56,209,100,0,109
"Abbeville County School District, South Carolina","4500690",22841,5024,2648,15169,17326,3958,1949,11419,5224,915,682,3627,68,10,4,54,223,141,13,69
"Aiken County School District, South Carolina","4500720",165154,28608,18257,118289,65676,13193,7760,44723,90696,13347,8968,68381,1593,345,343,905,7189,1723,1186,4280
"Allendale County School District, South Carolina","4500750",8487,2519,1655,4313,7101,2216,1581,3304,1266,295,56,915,36,0,0,36,84,8,18,58
"Anderson School District 1, South Carolina","4500780",52776,6418,5011,41347,35635,4294,3385,27956,15271,1984,1365,11922,483,20,53,410,1387,120,208,1059
"Anderson School District 2, South Carolina","4500810",22701,4379,2847,15475,17585,3608,2385,11592,4793,636,414,3743,60,0,0,60,263,135,48,80
"Anderson School District 3, South Carolina","4500840",13913,3279,2191,8443,10844,2736,1758,6350,2929,524,428,1977,0,0,0,0,140,19,5,116
"Anderson School District 4, South Carolina","4500870",21296,3075,2361,15860,14044,2033,1754,10257,6626,1042,399,5185,120,0,0,120,506,0,208,298
"Anderson School District 5, South Carolina","4500900",79358,13801,9683,55874,52272,9976,6450,35846,23606,3068,2651,17887,630,158,76,396,2850,599,506,1745
"Bamberg School District 1, South Carolina","4500930",8129,1658,748,5723,6821,1382,563,4876,1158,259,167,732,40,4,0,36,110,13,18,79
"Bamberg School District 2, South Carolina","4500960",5940,2148,774,3018,4998,1906,662,2430,849,242,112,495,0,0,0,0,93,0,0,93
"Barnwell School District 19, South Carolina","4501020",4565,1303,412,2850,3522,990,293,2239,974,266,119,589,10,0,0,10,59,47,0,12
"Barnwell School District 29, South Carolina","4501050",4765,1447,526,2792,3339,1100,416,1823,1382,337,77,968,10,10,0,0,34,0,33,1
"Barnwell School District 45, South Carolina","4501080",12116,2930,1353,7833,9142,2637,926,5579,2733,293,421,2019,69,0,0,69,172,0,6,166
"Beaufort County School District, South Carolina","4501110",169748,21082,13921,134745,48086,10138,5427,32521,103724,8449,6185,89090,2414,281,245,1888,15524,2214,2064,11246
"Berkeley County School District, South Carolina","4501170",195416,25772,17106,152538,102491,16173,10000,76318,79676,7643,5825,66208,2983,412,227,2344,10266,1544,1054,7668
"Calhoun County School District, South Carolina","4501250",14652,2834,1483,10335,11062,2243,1341,7478,3101,498,138,2465,42,0,0,42,447,93,4,350
"Charleston County School District, South Carolina","4501440",368671,60063,29801,278807,194981,37875,19700,137406,151030,18025,7863,125142,4591,832,334,3425,18069,3331,1904,12834
"Cherokee County School District, South Carolina","4501500",53803,12404,7323,34076,38640,9707,5536,23397,13707,2224,1649,9834,278,0,7,271,1178,473,131,574
"Chester County School District, South Carolina","4501530",32225,7554,3709,20962,24297,6288,2962,15047,7654,1257,715,5682,66,9,7,50,208,0,25,183
"Chesterfield County School District, South Carolina","4501560",45530,11158,6544,27828,29467,7237,4302,17928,14556,3323,2164,9069,102,18,0,84,1405,580,78,747
"Clarendon School District 1, South Carolina","4501740",8779,2189,1422,5168,6093,1846,1053,3194,2604,338,360,1906,39,0,0,39,43,5,9,29
"Clarendon School District 2, South Carolina","4501770",17941,4993,1957,10991,13564,4096,1479,7989,4051,753,463,2835,86,8,5,73,240,136,10,94
"Clarendon School District 3, South Carolina","4501800",5581,1218,692,3671,4915,962,647,3306,458,116,26,316,7,0,0,7,201,140,19,42
"Colleton County School District, South Carolina","4501830",37181,7733,7393,22055,28759,6000,6176,16583,7536,1219,1107,5210,136,64,19,53,750,450,91,209
"Darlington County School District, South Carolina","4501860",66163,15241,8409,42513,52978,12740,6894,33344,11624,2198,1285,8141,364,104,1,259,1197,199,229,769
"Dillon School District 4, South Carolina","4501920",23132,7389,2826,12917,18452,6136,2100,10216,3851,688,689,2474,49,49,0,0,780,516,37,227
"Dillon School District 3, South Carolina","4501950",7717,2042,983,4692,6407,1907,798,3702,1172,135,185,852,0,0,0,0,138,0,0,138
"Dorchester School District 2, South Carolina","4502010",130589,14769,11647,104173,59229,9047,5425,44757,61331,4620,5078,51633,3238,201,397,2640,6791,901,747,5143
"Edgefield County School District, South Carolina","4502070",23723,4002,1949,17772,11050,2358,1113,7579,11844,1512,730,9602,138,14,0,124,691,118,106,467
"Fairfield County School District, South Carolina","4502100",22673,5563,3042,14068,18564,5004,2713,10847,3570,486,306,2778,101,36,0,65,438,37,23,378
"Florence School District 1, South Carolina","4502130",96779,16214,11675,68890,67591,11796,9566,46229,25415,3908,1754,19753,749,11,173,565,3024,499,182,2343
"Florence School District 2, South Carolina","4502160",7332,2010,1220,4102,6492,1877,1026,3589,623,116,58,449,17,0,0,17,200,17,136,47
"Florence School District 3, South Carolina","4502190",19615,5550,2773,11292,16932,4652,2619,9661,2403,749,110,1544,79,22,0,57,201,127,44,30
"Florence School District 4, South Carolina","4502220",6007,1637,614,3756,5128,1463,517,3148,724,90,87,547,30,0,0,30,125,84,10,31
"Florence School District 5, South Carolina","4502250",5376,1104,850,3422,4632,926,657,3049,606,121,177,308,18,18,0,0,120,39,16,65
"Georgetown County School District, South Carolina","4502280",60188,11514,6616,42058,36162,9015,4450,22697,22136,2134,1982,18020,509,57,26,426,1381,308,158,915
"Greenville County School District, South Carolina","4502310",485882,69768,49051,367063,259935,43030,29582,187323,182237,18362,13678,150197,5217,583,439,4195,38493,7793,5352,25348
"Greenwood School District 50, South Carolina","4502340",55919,13890,5818,36211,40311,10190,4431,25690,12390,2211,1077,9102,486,271,13,202,2732,1218,297,1217
"Greenwood School District 51, South Carolina","4502370",6990,1657,721,4612,5616,1256,540,3820,1325,386,179,760,19,0,0,19,30,15,2,13
"Greenwood School District 52, South Carolina","4502400",7673,1205,888,5580,5280,953,655,3672,2362,252,233,1877,0,0,0,0,31,0,0,31
"Hampton School District 1, South Carolina","4502430",12868,1982,2447,8439,11026,1763,2072,7191,1647,211,371,1065,61,8,4,49,134,0,0,134
"Hampton School District 2, South Carolina","4502460",5912,1300,1036,3576,5085,1154,955,2976,764,134,81,549,36,0,0,36,27,12,0,15
"Horry County School District, South Carolina","4502490",296392,52197,30264,213931,112226,24745,13479,74002,161995,22241,14223,125531,3340,760,153,2427,18831,4451,2409,11971
"Jasper County School District, South Carolina","4502520",26693,6256,4755,15682,13901,4279,2695,6927,10372,1326,1751,7295,77,0,24,53,2343,651,285,1407
"Kershaw County School District, South Carolina","4502550",62678,9963,6012,46703,41739,7455,4208,30076,19093,2326,1475,15292,684,41,61,582,1162,141,268,753
"Lancaster County School District, South Carolina","4502580",81634,14201,7373,60060,43724,9866,5194,28664,34185,3760,1820,28605,659,55,185,419,3066,520,174,2372
"Laurens School District 55, South Carolina","4502610",36237,7681,5184,23372,26955,6044,4177,16734,7634,1238,831,5565,347,45,0,302,1301,354,176,771
"Laurens School District 56, South Carolina","4502640",19322,4515,2542,12265,15027,3784,2002,9241,3888,556,498,2834,186,50,23,113,221,125,19,77
"Lee County School District, South Carolina","4502670",16557,4666,3060,8831,13834,4098,2503,7233,2584,557,550,1477,47,0,0,47,92,11,7,74
"Lexington School District 1, South Carolina","4502700",130614,14613,8607,107394,76626,9052,5234,62340,46693,4026,2874,39793,1468,227,53,1188,5827,1308,446,4073
"Lexington School District 2, South Carolina","4502730",64095,11893,7995,44207,40990,8094,5606,27290,17449,2942,1390,13117,942,187,47,708,4714,670,952,3092
