"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Dorchester School District 4, South Carolina","4500002",12516,2870,4605,3700,871,470,9335,2325,3539,2604,558,309,2884,448,940,1081,255,160,79,7,59,2,11,0,218,90,67,13,47,1
"Abbeville County School District, South Carolina","4500690",15983,3426,5640,4703,1490,724,11631,2483,4328,3392,1003,425,4178,887,1301,1288,450,252,42,14,0,4,15,9,132,42,11,19,22,38
"Aiken County School District, South Carolina","4500720",116249,16917,36134,33913,18279,11006,44166,8734,16146,11454,5112,2720,64854,6128,17917,20984,12161,7664,1161,136,326,363,271,65,6068,1919,1745,1112,735,557
"Allendale County School District, South Carolina","4500750",6624,1684,2695,1594,526,125,5286,1355,2323,1203,321,84,1218,288,347,338,204,41,44,14,19,11,0,0,76,27,6,42,1,0
"Anderson School District 1, South Carolina","4500780",35433,4747,11561,11284,5210,2631,21173,2825,7699,6801,2822,1026,12604,1552,3474,4150,2006,1422,445,3,108,119,190,25,1211,367,280,214,192,158
"Anderson School District 2, South Carolina","4500810",16046,3226,6052,4662,1488,618,11642,2467,4414,3323,1039,399,4072,573,1597,1308,379,215,67,0,21,31,15,0,265,186,20,0,55,4
"Anderson School District 3, South Carolina","4500840",9679,2291,3858,2759,553,218,6927,1710,2761,1933,378,145,2600,521,1047,796,163,73,12,0,0,0,12,0,140,60,50,30,0,0
"Anderson School District 4, South Carolina","4500870",15372,1792,4363,5274,2249,1694,8952,1214,2636,3033,1190,879,5882,475,1617,2134,937,719,120,0,37,24,49,10,418,103,73,83,73,86
"Anderson School District 5, South Carolina","4500900",55171,9101,16191,18182,7299,4398,33405,6659,10826,10454,3421,2045,18986,1737,4640,7098,3532,1979,474,165,107,84,67,51,2306,540,618,546,279,323
"Bamberg School District 1, South Carolina","4500930",5687,994,1622,1854,746,471,4636,888,1270,1536,593,349,901,62,323,258,153,105,40,0,4,36,0,0,110,44,25,24,0,17
"Bamberg School District 2, South Carolina","4500960",4179,1221,1197,1091,523,147,3517,958,1128,911,405,115,569,170,69,180,118,32,0,0,0,0,0,0,93,93,0,0,0,0
"Barnwell School District 19, South Carolina","4501020",3117,728,1089,972,203,125,2433,586,871,687,173,116,615,102,214,260,30,9,10,0,0,10,0,0,59,40,4,15,0,0
"Barnwell School District 29, South Carolina","4501050",3258,831,1225,805,266,131,2204,678,751,512,209,54,1010,141,473,272,57,67,10,0,0,0,0,10,34,12,1,21,0,0
"Barnwell School District 45, South Carolina","4501080",7974,1375,2754,2673,845,327,5940,1080,2376,1738,527,219,1882,228,354,888,318,94,51,0,18,28,0,5,101,67,6,19,0,9
"Beaufort County School District, South Carolina","4501110",123953,9354,28190,37274,29385,19750,23758,2888,8368,7125,3009,2368,85345,2827,15656,26651,24264,15947,1673,94,388,563,434,194,13177,3545,3778,2935,1678,1241
"Berkeley County School District, South Carolina","4501170",130343,15408,39759,45230,19834,10112,57688,8822,20162,18273,6684,3747,61584,4522,16084,23780,11379,5819,2336,208,693,965,347,123,8735,1856,2820,2212,1424,423
"Calhoun County School District, South Carolina","4501250",10715,1727,4138,3032,1197,621,7519,1256,2905,2056,880,422,2784,327,1085,897,293,182,42,0,41,1,0,0,370,144,107,78,24,17
"Charleston County School District, South Carolina","4501440",266019,26003,57726,72844,70588,38858,120350,16265,35165,33803,23637,11480,125756,5039,18861,35636,42207,24013,3395,292,646,878,1108,471,16518,4407,3054,2527,3636,2894
"Cherokee County School District, South Carolina","4501500",36102,7938,13114,9252,3670,2128,24389,5842,9036,6103,2004,1404,10616,1816,3683,2939,1505,673,209,0,40,50,73,46,888,280,355,160,88,5
"Chester County School District, South Carolina","4501530",22206,4529,8244,6234,2207,992,15877,3473,6178,4172,1510,544,6071,1005,2000,2008,634,424,50,15,29,4,2,0,208,36,37,50,61,24
"Chesterfield County School District, South Carolina","4501560",31421,7357,12895,7551,2368,1250,19987,4807,8593,4731,1135,721,10210,2020,4011,2645,1050,484,93,0,32,45,16,0,1131,530,259,130,167,45
"Clarendon School District 1, South Carolina","4501740",6825,1395,2664,1827,672,267,4426,1049,1821,1027,360,169,2317,344,810,787,278,98,39,0,21,10,8,0,43,2,12,3,26,0
"Clarendon School District 2, South Carolina","4501770",12540,2456,4349,3680,1315,740,8980,1992,3265,2439,869,415,3274,405,974,1168,437,290,86,0,39,29,0,18,200,59,71,44,9,17
"Clarendon School District 3, South Carolina","4501800",4274,998,1605,1125,353,193,3537,812,1359,896,312,158,539,54,210,199,41,35,13,5,8,0,0,0,185,127,28,30,0,0
"Colleton County School District, South Carolina","4501830",26062,4284,9830,7956,2595,1397,18826,3305,7427,5713,1529,852,6734,734,2244,2188,1043,525,83,0,35,38,10,0,419,245,124,17,13,20
"Darlington County School District, South Carolina","4501860",45884,8770,16457,12798,5260,2599,34777,7181,13014,9358,3658,1566,9806,1211,3041,3218,1432,904,286,5,120,93,55,13,1015,373,282,129,115,116
