"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Dorchester School District 4, South Carolina","4500002",14288,3570,10718,2361,1529,2021,1510,1387,1106,261,543,10823,2691,8132,1923,1270,1531,1161,1000,681,133,433,3165,845,2320,389,259,439,284,318,395,128,108,82,0,82,0,0,40,0,42,0,0,0,218,34,184,49,0,11,65,27,30,0,2
"Abbeville County School District, South Carolina","4500690",19366,2761,16605,3981,2680,3475,2224,2251,994,308,692,13979,1972,12007,2602,2043,2548,1653,1767,702,237,455,5102,708,4394,1334,608,910,548,476,279,69,170,79,8,71,21,0,4,0,8,9,0,29,206,73,133,24,29,13,23,0,4,2,38
"Aiken County School District, South Carolina","4500720",137214,19506,117708,23729,14095,21698,15499,15409,10270,3902,13106,53211,7661,45550,10367,6023,8911,5684,5823,3587,1338,3817,75730,10210,65520,12075,7039,11446,9024,8621,6159,2486,8670,1414,143,1271,330,200,165,84,188,178,22,104,6859,1492,5367,957,833,1176,707,777,346,56,515
"Allendale County School District, South Carolina","4500750",7992,2424,5568,1528,1095,1287,765,572,112,64,145,6440,1939,4501,1326,903,1021,648,385,78,54,86,1384,419,965,193,184,233,83,170,34,10,58,58,22,36,0,0,14,22,0,0,0,0,110,44,66,9,8,19,12,17,0,0,1
"Anderson School District 1, South Carolina","4500780",41665,5764,35901,6962,3835,6321,4582,5655,3615,1545,3386,25849,4031,21818,4294,2406,4035,2755,3548,2317,921,1542,14010,1494,12516,2493,1284,1781,1618,1977,1145,509,1709,464,37,427,36,57,123,69,0,29,94,19,1342,202,1140,139,88,382,140,130,124,21,116
"Anderson School District 2, South Carolina","4500810",18891,3379,15512,3186,2603,3160,2282,1860,1288,308,825,14077,2711,11366,2338,1945,2316,1637,1426,923,229,552,4482,584,3898,820,589,795,600,401,361,67,265,67,0,67,0,0,0,28,19,0,12,8,265,84,181,28,69,49,17,14,4,0,0
"Anderson School District 3, South Carolina","4500840",11016,1458,9558,2180,1619,1957,1567,1179,530,142,384,8187,1206,6981,1669,1139,1496,1226,742,306,116,287,2677,231,2446,452,475,443,306,437,224,26,83,12,0,12,0,0,0,12,0,0,0,0,140,21,119,59,5,18,23,0,0,0,14
"Anderson School District 4, South Carolina","4500870",17852,1538,16314,3097,2325,2629,2142,2443,1551,581,1546,10953,930,10023,2125,1375,1674,1222,1529,988,295,815,6297,497,5800,930,869,898,790,833,506,260,714,120,12,108,25,15,0,41,10,17,0,0,482,99,383,17,66,57,89,71,40,26,17
"Anderson School District 5, South Carolina","4500900",66421,8022,58399,12380,7636,11098,8511,7976,4768,1739,4291,40904,4996,35908,7916,5122,7201,5094,4907,2583,1013,2072,22382,2333,20049,4063,2189,3453,3081,2723,1932,637,1971,515,43,472,83,69,92,58,102,12,0,56,2620,650,1970,318,256,352,278,244,241,89,192
"Bamberg School District 1, South Carolina","4500930",6924,1468,5456,845,827,1006,904,1106,298,185,285,5612,1075,4537,677,709,780,718,930,290,177,256,1162,393,769,115,94,199,161,176,8,4,12,40,0,40,40,0,0,0,0,0,0,0,110,0,110,13,24,27,25,0,0,4,17
"Bamberg School District 2, South Carolina","4500960",5637,1161,4476,1494,659,876,560,290,265,99,233,4408,723,3685,1245,576,688,452,241,188,99,196,1114,423,691,246,76,178,65,49,40,0,37,11,7,4,0,0,0,4,0,0,0,0,104,8,96,3,7,10,39,0,37,0,0
"Barnwell School District 19, South Carolina","4501020",3796,647,3149,947,441,510,364,488,260,27,112,2984,472,2512,773,333,439,294,419,164,27,63,743,148,595,163,108,67,57,65,86,0,49,10,0,10,0,0,0,0,0,10,0,0,59,27,32,11,0,4,13,4,0,0,0
