"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Dorchester School District 4, South Carolina","4500002",22043,20635,28159,35250,26951
"Aiken County School District, South Carolina","4500720",24618,21283,27251,19574,22729
"Allendale County School District, South Carolina","4500750",16422,15221,23032,26250,21667
"Anderson School District 1, South Carolina","4500780",26536,25469,29746,24905,24458
"Anderson School District 2, South Carolina","4500810",20384,20101,21741,35724,14681
"Anderson School District 4, South Carolina","4500870",25383,23685,27881,31129,27476
"Anderson School District 5, South Carolina","4500900",23042,21565,25742,22500,26031
"Beaufort County School District, South Carolina","4501110",29077,21021,32839,26374,24048
"Berkeley County School District, South Carolina","4501170",27748,25527,30903,27174,25491
"Charleston County School District, South Carolina","4501440",29215,23938,36364,30282,25659
"Cherokee County School District, South Carolina","4501500",20038,19134,21974,29648,17500
"Chester County School District, South Carolina","4501530",20996,19681,25284,46023,32661
"Clarendon School District 2, South Carolina","4501770",19289,17975,22904,24297,16250
"Dorchester School District 2, South Carolina","4502010",30136,26123,32820,27252,25938
"Edgefield County School District, South Carolina","4502070",22354,19444,27262,23783,21654
"Florence School District 1, South Carolina","4502130",24535,22094,29494,27759,29651
"Georgetown County School District, South Carolina","4502280",22757,19238,28487,26683,25218
"Greenville County School District, South Carolina","4502310",26383,23085,31403,30764,23072
"Greenwood School District 50, South Carolina","4502340",21282,20564,25653,8089,16766
"Hampton School District 1, South Carolina","4502430",21578,21636,20033,28804,27273
"Horry County School District, South Carolina","4502490",22831,20485,24823,24619,20475
"Kershaw County School District, South Carolina","4502550",25398,22753,31326,29231,24006
"Lancaster County School District, South Carolina","4502580",24635,20558,30155,35962,24691
"Laurens School District 55, South Carolina","4502610",21080,20218,24325,26875,20000
"Lee County School District, South Carolina","4502670",17449,16558,20769,32212,31173
"Lexington School District 1, South Carolina","4502700",31918,30694,35565,32275,23009
"Lexington School District 2, South Carolina","4502730",25158,23965,27270,32459,23091
"Lexington School District 3, South Carolina","4502760",23845,22699,31427,33889,23099
"Lexington School District 4, South Carolina","4502790",21089,19684,23439,36875,16029
"Lexington School District 5, South Carolina","4502820",34828,32905,36928,31250,28716
"McCormick County School District, South Carolina","4503000",21115,18477,26170,40417,21615
"Newberry County School District, South Carolina","4503030",23505,22865,28173,19567,17286
"Oconee County School District, South Carolina","4503060",22127,20542,25942,17344,20602
"Orangeburg School District 3, South Carolina","4503150",16870,15214,22961,38438,20954
"Orangeburg School District 5, South Carolina","4503210",19780,19587,20330,21696,20027
"Pickens County School District, South Carolina","4503330",20373,19688,21303,25634,20313
"Richland School District 1, South Carolina","4503360",21574,20418,24209,29831,20584
"Richland School District 2, South Carolina","4503390",32950,30208,36734,34155,28366
"Spartanburg School District 2, South Carolina","4503510",25474,24332,28271,30617,21774
"Spartanburg School District 5, South Carolina","4503600",27385,26857,30158,32341,22023
"Spartanburg School District 6, South Carolina","4503630",23842,22884,26739,25292,22527
"Spartanburg School District 7, South Carolina","4503660",20853,18674,25474,35000,23936
"Union County School District, South Carolina","4503750",20462,19869,21989,30972,30357
"Williamsburg County School District, South Carolina","4503780",16607,17072,15142,8750,15562
"York School District 1, South Carolina","4503810",23495,21871,25631,42195,22272
"York School District 2, South Carolina","4503840",31207,27865,31532,32625,32424
"York School District 3, South Carolina","4503870",25936,22715,29419,30222,25552
"York School District 4, South Carolina","4503900",41345,32260,43365,49219,47222
"Sumter County Consolidated School District, South Carolina","4503902",21981,20044,27391,31495,18373
"Remainder of South Carolina, South Carolina","4599999",11878,15558,11677,9493,12984
