"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Atkinson County, Georgia","13003",18916,20352,15500,87250,15755
"Baldwin County, Georgia","13009",20098,19684,20797,25099,28403
"Banks County, Georgia","13011",21252,21581,17418,35417,27037
"Barrow County, Georgia","13013",25150,22986,30552,38173,20622
"Bartow County, Georgia","13015",25453,24219,29784,29273,20217
"Berrien County, Georgia","13019",18791,18100,22620,17414,15529
"Bibb County, Georgia","13021",21105,19404,27120,25729,21018
"Brantley County, Georgia","13025",21235,21998,19631,7132,14250
"Brooks County, Georgia","13027",19415,18493,23820,32050,15387
"Bryan County, Georgia","13029",30229,25947,35669,48030,22917
"Bulloch County, Georgia","13031",16372,16024,17557,4669,18488
"Burke County, Georgia","13033",18455,17861,20625,26917,9276
"Butts County, Georgia","13035",24706,23465,28407,11900,18430
"Camden County, Georgia","13039",25093,21083,27149,23152,25068
"Carroll County, Georgia","13045",22224,21829,25615,26756,15420
"Catoosa County, Georgia","13047",25480,24491,25921,35662,24542
"Chatham County, Georgia","13051",24898,21599,30556,25510,22771
"Chattahoochee County, Georgia","13053",30963,19554,33468,37457,27917
"Chattooga County, Georgia","13055",19373,18412,21744,24688,18411
"Cherokee County, Georgia","13057",32334,28023,38071,33664,25089
"Clarke County, Georgia","13059",17485,15055,21400,18828,20038
"Clayton County, Georgia","13063",25070,23454,27993,25287,21359
"Cobb County, Georgia","13067",32900,28098,39702,33655,24967
"Coffee County, Georgia","13069",20403,20076,24143,31875,15214
"Colquitt County, Georgia","13071",18934,18667,21134,26655,17820
"Columbia County, Georgia","13073",32149,28069,36023,33731,29481
"Cook County, Georgia","13075",18508,17634,20165,37813,19057
"Coweta County, Georgia","13077",30126,25801,36894,30639,22268
"Crisp County, Georgia","13081",18344,17478,21031,102750,11103
"Dade County, Georgia","13083",18944,17064,20366,21250,5771
"Dawson County, Georgia","13085",25289,22682,28472,32303,18633
"Decatur County, Georgia","13087",19626,18762,22240,40089,24423
"DeKalb County, Georgia","13089",28529,24982,35838,32604,20883
"Dougherty County, Georgia","13095",18900,17751,23161,19167,13709
"Douglas County, Georgia","13097",30126,26590,33157,31066,26140
"Effingham County, Georgia","13103",29025,26462,32131,36375,29653
"Elbert County, Georgia","13105",18290,17968,18719,12009,25386
"Emanuel County, Georgia","13107",16848,16733,19245,26250,16277
"Evans County, Georgia","13109",20791,21764,25250,24205,15267
"Fayette County, Georgia","13113",36626,29561,41897,46424,34858
"Floyd County, Georgia","13115",20695,20435,22340,14895,18995
"Forsyth County, Georgia","13117",39094,32444,46916,49152,27248
"Franklin County, Georgia","13119",20106,20028,20818,43319,16401
"Fulton County, Georgia","13121",31521,22572,41703,36979,26607
"Gilmer County, Georgia","13123",19542,17992,21907,11875,18087
"Glascock County, Georgia","13125",20732,20604,17237,25598,10833
"Glynn County, Georgia","13127",25889,23169,31393,26188,20077
"Gordon County, Georgia","13129",22002,22317,24921,35347,18085
"Grady County, Georgia","13131",18747,18331,20744,2499,18341
"Greene County, Georgia","13133",18535,16472,26341,6944,30694
"Gwinnett County, Georgia","13135",30541,29748,38162,32559,22824
"Habersham County, Georgia","13137",19954,18670,23744,21000,19485
"Hall County, Georgia","13139",25730,25092,31901,28581,20369
"Haralson County, Georgia","13143",19965,19655,21045,25602,15000
"Harris County, Georgia","13145",30884,26452,37487,49569,17174
"Hart County, Georgia","13147",19705,17589,22121,33875,7389
"Heard County, Georgia","13149",19482,18803,24091,18030,14583
"Henry County, Georgia","13151",32488,29962,37011,35054,25806
"Houston County, Georgia","13153",28755,25134,33874,24638,21109
"Jackson County, Georgia","13157",25824,24270,30408,15702,18813
"Jasper County, Georgia","13159",22155,21683,24583,20625,11909
"Jeff Davis County, Georgia","13161",20604,20759,16614,20000,21157
"Jefferson County, Georgia","13163",17498,16183,26964,47792,16935
"Jenkins County, Georgia","13165",16346,15385,19536,32228,20045
"Jones County, Georgia","13169",25501,23527,31633,65469,34926
"Lamar County, Georgia","13171",18602,17712,22088,32315,22056
"Laurens County, Georgia","13175",22151,21756,24874,31964,17796
"Lee County, Georgia","13177",30243,26559,39372,57778,16724
"Liberty County, Georgia","13179",24542,19341,27431,12355,22996
"Lincoln County, Georgia","13181",18962,17194,21241,60677,27500
"Long County, Georgia","13183",20083,20618,20295,25200,18415
"Lowndes County, Georgia","13185",20238,17691,24298,19439,16661
"Lumpkin County, Georgia","13187",20310,17470,24897,16036,18827
"McDuffie County, Georgia","13189",19293,17536,22375,14306,21113
"McIntosh County, Georgia","13191",20126,19329,21492,14784,15600
"Macon County, Georgia","13193",17106,16424,19786,54460,14464
"Madison County, Georgia","13195",22989,22269,26551,43348,21104
"Marion County, Georgia","13197",21735,22069,21604,55814,20190
"Meriwether County, Georgia","13199",19843,18674,24710,14545,23704
"Miller County, Georgia","13201",19403,19225,20727,30625,4235
"Mitchell County, Georgia","13205",19347,19543,18686,31290,17420
"Monroe County, Georgia","13207",24821,23709,27739,37581,34104
"Montgomery County, Georgia","13209",20360,21199,20957,2499,11640
"Morgan County, Georgia","13211",21954,19282,31732,33179,31080
"Murray County, Georgia","13213",22120,21342,23657,9919,24375
"Muscogee County, Georgia","13215",22914,20787,25147,25978,21942
"Newton County, Georgia","13217",25841,24530,28670,35915,22762
"Oconee County, Georgia","13219",33941,28187,45207,56490,40174
"Oglethorpe County, Georgia","13221",20200,18940,22331,16603,35679
"Paulding County, Georgia","13223",31171,27695,35551,27689,26332
"Peach County, Georgia","13225",20257,17825,27839,30156,20211
"Pickens County, Georgia","13227",25056,23588,28326,53523,16936
"Pierce County, Georgia","13229",20248,20647,20129,38514,14840
"Pike County, Georgia","13231",25504,24061,28291,21000,27112
"Polk County, Georgia","13233",20778,21579,19977,27118,16669
"Putnam County, Georgia","13237",22731,21297,27164,10595,21139
"Rabun County, Georgia","13241",20117,19339,22201,29286,14653
"Randolph County, Georgia","13243",13338,13753,11497,2499,10804
"Richmond County, Georgia","13245",21511,18290,25815,23464,21783
"Rockdale County, Georgia","13247",27065,24662,32796,29324,21033
"Schley County, Georgia","13249",19513,18417,22981,53672,23606
"Screven County, Georgia","13251",16891,16325,21357,8594,11172
"Spalding County, Georgia","13255",21181,19960,25665,31069,15515
"Stephens County, Georgia","13257",17256,17185,17577,9405,17386
