"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Appling County, Georgia","13001",17830,3964,1987,11879,13530,3001,1610,8919,3042,627,312,2103,19,0,0,19,1239,336,65,838
"Atkinson County, Georgia","13003",8325,2331,1419,4575,5841,1531,936,3374,1530,518,209,803,18,0,0,18,936,282,274,380
"Bacon County, Georgia","13005",10453,1723,1658,7072,7785,1379,1281,5125,2118,315,377,1426,17,0,0,17,533,29,0,504
"Baker County, Georgia","13007",3634,1092,428,2114,3113,1024,395,1694,503,68,33,402,18,0,0,18,0,0,0,0
"Baldwin County, Georgia","13009",40752,10269,4167,26316,33395,8693,3529,21173,6029,1247,574,4208,327,164,0,163,1001,165,64,772
"Banks County, Georgia","13011",17835,2833,2426,12576,13835,2021,1821,9993,3355,680,428,2247,78,26,0,52,567,106,177,284
"Barrow County, Georgia","13013",65970,8295,7166,50509,40993,5698,4500,30795,20077,1837,1576,16664,432,0,0,432,4468,760,1090,2618
"Bartow County, Georgia","13015",96181,13472,9333,73376,62128,8776,6241,47111,28716,3556,2093,23067,365,55,32,278,4972,1085,967,2920
"Ben Hill County, Georgia","13017",17202,4635,3293,9274,13079,3572,2663,6844,3400,778,546,2076,0,0,0,0,723,285,84,354
"Berrien County, Georgia","13019",17925,4145,2856,10924,13622,3480,2120,8022,3780,539,636,2605,101,28,29,44,422,98,71,253
"Bibb County, Georgia","13021",147609,33051,17110,97448,108694,26654,13365,68675,32295,5231,2508,24556,1184,154,155,875,5436,1012,1082,3342
"Bleckley County, Georgia","13023",12284,2397,1413,8474,10655,2121,1347,7187,1400,267,60,1073,16,0,0,16,213,9,6,198
"Brantley County, Georgia","13025",17410,3730,1100,12580,12434,2551,609,9274,4777,1179,477,3121,43,0,0,43,156,0,14,142
"Brooks County, Georgia","13027",15822,2687,2184,10951,11209,2091,1439,7679,3643,464,483,2696,385,0,0,385,585,132,262,191
"Bryan County, Georgia","13029",28911,3176,2126,23609,15137,1834,1375,11928,11892,1063,394,10435,613,14,67,532,1269,265,290,714
"Bulloch County, Georgia","13031",62578,17795,5710,39073,44658,12406,4260,27992,15155,4273,1142,9740,452,227,30,195,2313,889,278,1146
"Burke County, Georgia","13033",22480,5785,3703,12992,17544,4501,3103,9940,4557,1227,522,2808,269,20,27,222,110,37,51,22
"Butts County, Georgia","13035",21115,2610,2164,16341,15959,2141,1731,12087,4716,469,432,3815,66,0,1,65,374,0,0,374
"Calhoun County, Georgia","13037",5257,1515,841,2901,4444,1298,740,2406,708,162,79,467,0,0,0,0,105,55,22,28
"Camden County, Georgia","13039",48161,7354,4125,36682,15878,3001,2049,10828,30021,4107,2020,23894,1124,191,25,908,1138,55,31,1052
"Candler County, Georgia","13043",10387,2312,1363,6712,7034,1744,1086,4204,2779,558,172,2049,12,0,0,12,562,10,105,447
"Carroll County, Georgia","13045",105958,18339,10763,76856,71900,12318,7287,52295,28147,4268,2260,21619,909,176,44,689,5002,1577,1172,2253
"Catoosa County, Georgia","13047",62373,6978,6230,49165,22637,3143,2421,17073,37983,3619,3511,30853,473,0,61,412,1280,216,237,827
"Charlton County, Georgia","13049",11443,2261,875,8307,6309,1282,393,4634,5058,962,482,3614,71,17,0,54,5,0,0,5
"Chatham County, Georgia","13051",248189,41102,26951,180136,146662,26595,18313,101754,83491,11097,6561,65833,3716,467,344,2905,14320,2943,1733,9644
"Chattahoochee County, Georgia","13053",8571,1365,891,6315,2601,550,249,1802,5053,751,619,3683,555,44,0,511,362,20,23,319
"Chattooga County, Georgia","13055",24567,4706,3813,16048,18084,3676,2781,11627,5681,822,929,3930,135,7,0,128,667,201,103,363
"Cherokee County, Georgia","13057",204867,15143,14017,175707,92212,7211,6704,78297,93343,4944,4649,83750,2051,245,181,1625,17261,2743,2483,12035
"Clarke County, Georgia","13059",104941,35134,10162,59645,60007,22576,6184,31247,31754,8615,2124,21015,1220,291,174,755,11960,3652,1680,6628
"Clay County, Georgia","13061",2892,989,651,1252,2318,877,549,892,570,112,102,356,4,0,0,4,0,0,0,0
"Clayton County, Georgia","13063",253388,42408,31882,179098,123750,21545,16011,86194,87958,12389,9341,66228,4099,438,204,3457,37581,8036,6326,23219
"Clinch County, Georgia","13065",6749,1732,1181,3836,5469,1471,829,3169,1240,261,312,667,0,0,0,0,40,0,40,0
"Cobb County, Georgia","13067",670564,71201,47973,551390,248851,29151,19022,200678,310762,24534,16258,269970,8683,1123,536,7024,102268,16393,12157,73718
"Coffee County, Georgia","13069",38760,8274,4496,25990,29975,6006,3500,20469,6277,1333,549,4395,152,41,8,103,2356,894,439,1023
"Colquitt County, Georgia","13071",43852,10245,5999,27608,32141,7149,4500,20492,6784,1461,845,4478,269,34,37,198,4658,1601,617,2440
"Columbia County, Georgia","13073",117075,8351,8979,99745,56186,4655,5014,46517,49982,2784,3306,43892,3456,211,88,3157,7451,701,571,6179
"Cook County, Georgia","13075",16567,3854,2269,10444,12357,2898,1641,7818,3505,673,585,2247,129,50,0,79,576,233,43,300
"Coweta County, Georgia","13077",120278,12317,8768,99193,68720,8344,5546,54830,43481,2990,2236,38255,1559,67,194,1298,6518,916,792,4810
"Crawford County, Georgia","13079",12795,2627,1589,8579,10433,2290,1424,6719,2127,337,165,1625,0,0,0,0,235,0,0,235
"Crisp County, Georgia","13081",22665,6590,3234,12841,18784,5623,2877,10284,3567,764,343,2460,36,0,9,27,278,203,5,70
"Dade County, Georgia","13083",15566,2413,1694,11459,5659,1087,779,3793,9644,1278,869,7497,93,8,0,85,170,40,46,84
"Dawson County, Georgia","13085",21536,2584,1673,17279,13303,1839,1098,10366,7406,671,567,6168,131,7,0,124,696,67,8,621
"Decatur County, Georgia","13087",26701,6399,3151,17151,19113,4681,2441,11991,6876,1406,635,4835,61,0,0,61,651,312,75,264
"DeKalb County, Georgia","13089",669717,107715,62564,499438,298454,52694,27856,217904,253410,30268,17923,205219,7834,771,448,6615,110019,23982,16337,69700
"Dodge County, Georgia","13091",19033,3809,3176,12048,15981,3230,2695,10056,2787,565,383,1839,33,0,0,33,232,14,98,120
"Dooly County, Georgia","13093",11596,3139,1625,6832,10072,2832,1507,5733,1174,185,94,895,0,0,0,0,350,122,24,204
"Dougherty County, Georgia","13095",91199,26358,11991,52850,69812,21480,9478,38854,18800,3987,2241,12572,607,129,105,373,1980,762,167,1051
"Douglas County, Georgia","13097",126633,14309,11410,100914,63480,8092,5344,50044,51452,4580,4611,42261,1052,106,120,826,10649,1531,1335,7783
"Early County, Georgia","13099",11087,3204,1184,6699,8459,2816,1072,4571,2581,348,112,2121,7,0,0,7,40,40,0,0
"Echols County, Georgia","13101",3973,1274,368,2331,2324,598,226,1500,947,215,142,590,0,0,0,0,702,461,0,241
"Effingham County, Georgia","13103",50147,5189,3813,41145,33490,4169,2790,26531,15136,870,925,13341,492,25,64,403,1029,125,34,870
"Elbert County, Georgia","13105",20261,4657,3119,12485,14961,3499,2514,8948,4597,1012,411,3174,93,28,24,41,610,118,170,322
"Emanuel County, Georgia","13107",21371,5171,3884,12316,17880,4566,3003,10311,2659,515,473,1671,41,0,0,41,791,90,408,293
"Evans County, Georgia","13109",10288,2185,1174,6929,8014,1549,904,5561,1347,308,147,892,118,23,13,82,809,305,110,394
"Fannin County, Georgia","13111",23244,3759,3012,16473,12562,2480,1519,8563,10236,1205,1389,7642,19,0,0,19,427,74,104,249
"Fayette County, Georgia","13113",104480,4906,5299,94275,42070,2154,2484,37432,51422,1806,1877,47739,1677,76,84,1517,9311,870,854,7587
"Floyd County, Georgia","13115",91497,17085,10714,63698,64010,11434,7437,45139,20901,3307,2385,15209,385,44,53,288,6201,2300,839,3062
"Forsyth County, Georgia","13117",163338,9828,7360,146150,68439,4074,3868,60497,72419,2896,1519,68004,1534,117,46,1371,20946,2741,1927,16278
"Franklin County, Georgia","13119",21766,3883,2643,15240,16339,3258,1942,11139,4796,562,508,3726,70,0,25,45,561,63,168,330
"Fulton County, Georgia","13121",858784,131531,71864,655389,386983,82466,39565,264952,349154,32527,18933,297694,10106,746,372,8988,112541,15792,12994,83755
"Gilmer County, Georgia","13123",27630,5003,4170,18457,18280,3294,3026,11960,7613,954,817,5842,168,40,30,98,1569,715,297,557
"Glascock County, Georgia","13125",2944,490,417,2037,2499,408,390,1701,383,69,27,287,40,0,0,40,22,13,0,9
"Glynn County, Georgia","13127",76488,11619,6828,58041,45128,8069,4381,32678,26695,2598,1835,22262,726,40,60,626,3939,912,552,2475
"Gordon County, Georgia","13129",53127,9099,7614,36414,35865,5524,5056,25285,12219,2206,1400,8613,205,38,2,165,4838,1331,1156,2351
"Grady County, Georgia","13131",24603,6373,2726,15504,17700,4852,2003,10845,5309,813,653,3843,86,18,3,65,1508,690,67,751
"Greene County, Georgia","13133",15819,3726,1919,10174,11904,3012,1495,7397,3412,467,413,2532,66,0,0,66,437,247,11,179
"Gwinnett County, Georgia","13135",771325,85096,68492,617737,260683,27875,22133,210675,300780,22026,17454,261300,11971,1173,1200,9598,197891,34022,27705,136164
"Habersham County, Georgia","13137",37799,7410,3964,26425,25581,5039,2747,17795,8488,1208,558,6722,177,24,37,116,3553,1139,622,1792
"Hall County, Georgia","13139",170332,25132,19595,125605,95149,13545,10696,70908,45690,5007,3587,37096,1764,136,59,1569,27729,6444,5253,16032
"Hancock County, Georgia","13141",8204,2202,2492,3510,7175,2065,2232,2878,803,137,260,406,0,0,0,0,226,0,0,226
"Haralson County, Georgia","13143",27847,5685,2915,19247,22197,4690,2398,15109,5326,948,415,3963,41,0,27,14,283,47,75,161
"Harris County, Georgia","13145",30299,2739,1930,25630,18211,2308,1489,14414,10746,367,408,9971,579,9,0,570,763,55,33,675
"Hart County, Georgia","13147",24425,5477,2766,16182,14987,3419,1893,9675,8826,1816,864,6146,101,0,9,92,511,242,0,269
"Heard County, Georgia","13149",11620,2299,1036,8285,8611,1957,720,5934,2799,325,312,2162,110,0,0,110,100,17,4,79
"Henry County, Georgia","13151",192062,15898,13270,162894,103713,8478,7337,87898,70998,5259,4160,61579,2963,293,127,2543,14388,1868,1646,10874
"Houston County, Georgia","13153",132535,16917,10954,104664,70191,11694,7214,51283,52284,3575,2619,46090,3364,267,203,2894,6696,1381,918,4397
"Irwin County, Georgia","13155",9237,2344,995,5898,7359,1935,595,4829,1685,236,392,1057,0,0,0,0,193,173,8,12
"Jackson County, Georgia","13157",57536,8677,4769,44090,39264,6825,3364,29075,15074,1373,998,12703,562,124,3,435,2636,355,404,1877
"Jasper County, Georgia","13159",13620,2602,1231,9787,10355,2148,1035,7172,2801,351,134,2316,36,16,0,20,428,87,62,279
"Jeff Davis County, Georgia","13161",14476,3477,1756,9243,11512,2684,1312,7516,2215,624,368,1223,74,24,0,50,675,145,76,454
"Jefferson County, Georgia","13163",16570,4456,2469,9645,13943,4128,2009,7806,2292,296,296,1700,61,6,6,49,274,26,158,90
"Jenkins County, Georgia","13165",8313,1589,1480,5244,6831,1287,1275,4269,1035,128,141,766,77,36,0,41,370,138,64,168
"Johnson County, Georgia","13167",8357,2313,1106,4938,7440,2102,948,4390,848,197,150,501,47,10,0,37,22,4,8,10
"Jones County, Georgia","13169",27517,3596,2368,21553,20795,2989,1920,15886,5799,508,438,4853,246,0,10,236,677,99,0,578
"Lamar County, Georgia","13171",17230,3521,2227,11482,14166,2938,1881,9347,2730,559,249,1922,104,9,15,80,230,15,82,133
"Lanier County, Georgia","13173",9107,1858,1545,5704,6125,1576,1210,3339,2646,282,254,2110,18,0,2,16,318,0,79,239
"Laurens County, Georgia","13175",47016,9861,6644,30511,38397,8576,5561,24260,7452,1079,1042,5331,178,2,24,152,989,204,17,768
"Lee County, Georgia","13177",26812,2189,2058,22565,19020,1735,1533,15752,6924,443,467,6014,199,0,21,178,669,11,37,621
"Liberty County, Georgia","13179",62527,11113,7937,43477,21434,4780,2730,13924,33058,4950,4233,23875,3864,759,436,2669,4171,624,538,3009
"Lincoln County, Georgia","13181",7954,2095,784,5075,5968,1757,635,3576,1858,338,135,1385,74,0,0,74,54,0,14,40
"Long County, Georgia","13183",12740,2019,1934,8787,6715,1056,974,4685,5227,863,825,3539,242,20,8,214,556,80,127,349
"Lowndes County, Georgia","13185",100251,21690,12414,66147,60246,14872,7903,37471,33788,5692,3510,24586,1946,180,382,1384,4271,946,619,2706
"Lumpkin County, Georgia","13187",26929,4095,2665,20169,16576,3099,1809,11668,9075,802,634,7639,188,0,76,112,1090,194,146,750
"McDuffie County, Georgia","13189",21273,4141,2377,14755,16688,3744,1749,11195,4218,386,506,3326,95,11,0,84,272,0,122,150
"McIntosh County, Georgia","13191",13817,2296,1939,9582,10234,1972,1325,6937,3338,287,551,2500,53,0,29,24,192,37,34,121
"Macon County, Georgia","13193",12825,4235,1673,6917,10395,3487,1367,5541,1895,440,289,1166,69,0,0,69,466,308,17,141
"Madison County, Georgia","13195",27502,4888,3646,18968,20785,3571,2960,14254,5913,851,686,4376,83,8,0,75,721,458,0,263
"Marion County, Georgia","13197",8341,1831,1007,5503,5717,1383,776,3558,2095,284,158,1653,159,84,0,75,370,80,73,217
"Meriwether County, Georgia","13199",21595,3635,3008,14952,18408,3360,2668,12380,2971,267,340,2364,25,0,0,25,191,8,0,183
"Miller County, Georgia","13201",5879,1068,848,3963,4816,861,759,3196,971,207,89,675,6,0,0,6,86,0,0,86
"Mitchell County, Georgia","13205",22039,4888,3874,13277,18737,4046,3301,11390,2753,734,325,1694,60,14,7,39,489,94,241,154
"Monroe County, Georgia","13207",24480,3008,2792,18680,18758,2411,2118,14229,5220,591,559,4070,132,6,43,83,370,0,72,298
"Montgomery County, Georgia","13209",8156,1487,918,5751,6709,1255,726,4728,1110,180,55,875,14,0,0,14,323,52,137,134
"Morgan County, Georgia","13211",17289,2665,1875,12749,12942,2149,1714,9079,3806,432,117,3257,115,6,0,109,426,78,44,304
"Murray County, Georgia","13213",39638,6771,6399,26468,26823,4259,4463,18101,9415,1393,1483,6539,157,63,16,78,3243,1056,437,1750
"Muscogee County, Georgia","13215",172235,31418,18172,122645,90400,19453,10995,59952,67617,9978,6185,51454,5521,762,321,4438,8697,1225,671,6801
