"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Appling County, Georgia","13001",18050,1165,3524,1169,2351,2432,2801,1069,694,511,1397,937,13718,1119,3106,803,1478,1689,1968,801,401,374,1099,880,3074,18,311,235,391,500,684,268,234,137,239,57,19,0,0,0,19,0,0,0,0,0,0,0,1239,28,107,131,463,243,149,0,59,0,59,0
"Atkinson County, Georgia","13003",8332,768,1749,818,1013,1222,1056,444,159,275,575,253,5841,716,1367,450,496,818,672,335,130,177,474,206,1530,46,279,219,204,186,265,90,20,81,93,47,18,0,0,0,0,0,18,0,0,0,0,0,943,6,103,149,313,218,101,19,9,17,8,0
"Bacon County, Georgia","13005",10969,835,2047,788,1573,1540,1477,614,337,339,859,560,8144,701,1633,467,1215,861,1078,432,299,339,656,463,2267,62,300,225,235,559,399,156,38,0,196,97,25,0,0,8,0,17,0,0,0,0,0,0,533,72,114,88,123,103,0,26,0,0,7,0
"Baker County, Georgia","13007",3657,446,651,354,309,397,558,240,107,37,352,206,3136,446,620,237,237,305,447,180,107,30,326,201,503,0,31,117,72,92,111,42,0,7,26,5,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baldwin County, Georgia","13009",46905,2806,6540,8811,5637,5792,6534,3103,866,1297,3154,2365,37632,2624,5892,6889,4519,4288,5106,2375,703,1024,2334,1878,7568,182,559,1496,856,1161,1232,596,142,233,730,381,455,0,31,240,40,37,67,33,0,0,7,0,1250,0,58,186,222,306,129,99,21,40,83,106
"Banks County, Georgia","13011",17840,1162,3450,1459,2139,2611,2605,1165,550,525,1352,822,13840,1028,3058,1139,1528,1918,1957,763,473,356,965,655,3355,126,355,261,435,466,609,317,77,169,373,167,78,8,0,0,0,56,2,12,0,0,0,0,567,0,37,59,176,171,37,73,0,0,14,0
"Barrow County, Georgia","13013",66359,5747,13067,5801,10171,10596,8663,3119,1497,1741,3548,2409,41314,5450,10163,3506,5409,5086,4521,1482,961,859,2202,1675,20136,269,2559,1633,3663,4241,3394,1343,508,791,1137,598,432,0,20,15,17,96,180,53,0,0,34,17,4477,28,325,647,1082,1173,568,241,28,91,175,119
"Bartow County, Georgia","13015",97423,7182,19375,8024,12778,15213,14595,5643,1928,2739,5978,3968,63016,6581,15247,5228,7372,8299,7593,2857,1195,1854,3876,2914,29042,512,3463,2158,3981,5650,6150,2511,708,885,2054,970,365,0,20,0,73,113,95,32,0,0,0,32,5000,89,645,638,1352,1151,757,243,25,0,48,52
"Ben Hill County, Georgia","13017",17631,1310,3398,1560,1908,2668,2283,1038,444,641,1217,1164,13434,1263,2645,1379,1270,1732,1756,750,277,380,924,1058,3452,42,620,181,487,594,510,288,167,200,257,106,0,0,0,0,0,0,0,0,0,0,0,0,745,5,133,0,151,342,17,0,0,61,36,0
"Berrien County, Georgia","13019",18708,1240,3597,1653,2163,2712,2553,1198,462,550,1520,1060,14210,1197,2882,1163,1381,1767,1915,929,373,483,1154,966,3928,43,592,404,705,753,590,269,89,53,366,64,101,0,25,0,9,57,10,0,0,0,0,0,469,0,98,86,68,135,38,0,0,14,0,30
"Bibb County, Georgia","13021",154810,11351,28676,16079,20405,19552,21688,9344,3503,4642,10083,9487,113696,10331,24087,11030,13686,12686,15012,6525,2464,3311,7638,6926,34241,777,3938,4106,5045,5511,5730,2527,935,1171,2212,2289,1282,32,219,280,111,385,174,63,0,13,0,5,5591,211,432,663,1563,970,772,229,104,147,233,267
"Bleckley County, Georgia","13023",12937,711,2274,1872,995,1902,1910,565,331,463,987,927,11138,671,2107,1543,817,1767,1466,440,272,358,833,864,1539,28,135,298,140,109,360,106,59,93,154,57,16,0,0,0,0,0,16,0,0,0,0,0,244,12,32,31,38,26,68,19,0,12,0,6
"Brantley County, Georgia","13025",17650,1218,3512,1578,2005,2482,2610,1217,433,480,1343,772,12672,1160,2673,1286,1263,1379,1762,922,306,331,945,645,4779,58,808,276,702,1103,822,295,127,113,358,117,43,0,31,0,0,0,12,0,0,0,0,0,156,0,0,16,40,0,14,0,0,36,40,10
"Brooks County, Georgia","13027",16338,1186,2694,1868,1619,2188,2242,970,417,664,1351,1139,11556,1108,1977,1401,1040,1353,1424,750,213,537,889,864,3793,78,623,240,438,603,685,158,196,115,399,258,385,0,41,124,37,86,90,0,0,0,0,7,604,0,53,103,104,146,43,62,8,12,63,10
"Bryan County, Georgia","13029",29039,2082,6383,2342,3396,4793,4508,1557,741,819,1430,988,15263,1560,3862,1352,1652,1746,2105,752,427,460,759,588,11894,454,2130,685,1573,2558,2056,760,280,359,639,400,613,30,219,86,50,138,37,19,34,0,0,0,1269,38,172,219,121,351,310,26,0,0,32,0
"Bulloch County, Georgia","13031",67298,3935,9935,18942,7838,7397,7401,3220,1048,1496,3598,2488,47389,3641,7776,12608,5232,4649,4826,2409,703,1130,2630,1785,16974,277,1984,5356,2213,2164,2109,725,320,300,897,629,581,7,39,369,21,25,109,5,0,6,0,0,2354,10,136,609,372,559,357,81,25,60,71,74
"Burke County, Georgia","13033",23083,1856,4861,2139,2648,2917,3358,1226,615,816,1549,1098,18109,1830,4079,1740,1934,2016,2399,1002,505,586,1116,902,4592,26,779,365,592,847,827,219,110,230,410,187,272,0,3,9,103,23,125,0,0,0,0,9,110,0,0,25,19,31,7,5,0,0,23,0
