"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Cobb County, Georgia","13067",531607,69638,461969,81459,37147,65798,56131,67049,48824,21592,83969,149107,23250,125857,29395,10608,17324,15929,18342,12141,5477,16641,278704,28032,250672,37775,17219,29910,28549,37399,30184,13437,56199,7728,900,6828,1191,712,924,672,929,828,179,1393,96068,17456,78612,13098,8608,17640,10981,10379,5671,2499,9736
"Coffee County, Georgia","13069",32385,7284,25101,5939,3513,5355,4034,3141,1435,626,1058,23595,5008,18587,4411,2569,4128,2765,2477,1074,470,693,6269,1519,4750,1084,549,828,892,655,361,103,278,145,62,83,3,8,23,10,5,0,28,6,2376,695,1681,441,387,376,367,4,0,25,81
"Colquitt County, Georgia","13071",34459,4911,29548,7612,4234,6509,4618,2941,1800,654,1180,23976,3375,20601,5742,2652,4171,3210,2175,1391,501,759,5784,671,5113,1162,853,1029,742,574,317,78,358,265,42,223,35,50,2,39,15,49,0,33,4434,823,3611,673,679,1307,627,177,43,75,30
"Columbia County, Georgia","13073",91379,13257,78122,14741,6394,10818,9433,11353,9383,3662,12338,37587,5979,31608,6699,2936,4886,3680,5048,3532,1071,3756,43784,5376,38408,6346,2686,5008,4694,5316,5035,2043,7280,2938,443,2495,490,144,299,383,444,230,173,332,7070,1459,5611,1206,628,625,676,545,586,375,970
"Cook County, Georgia","13075",13144,1768,11376,2898,1586,2520,1909,1354,557,196,356,9321,1200,8121,2153,1128,1849,1370,994,305,127,195,3185,434,2751,681,361,512,478,331,201,60,127,88,46,42,18,0,0,0,24,0,0,0,550,88,462,46,97,159,61,5,51,9,34
"Coweta County, Georgia","13077",93444,11852,81592,15336,6986,12890,11096,12591,8986,3451,10256,48070,6613,41457,8669,4389,7073,5830,6404,4012,1506,3574,37898,4118,33780,5635,1939,4239,4187,5595,4405,1824,5956,1299,150,1149,181,171,129,191,110,162,28,177,6177,971,5206,851,487,1449,888,482,407,93,549
"Crawford County, Georgia","13079",10196,1672,8524,1903,1149,1351,1403,888,837,237,756,8013,1519,6494,1654,928,1109,873,676,662,144,448,1948,142,1806,249,221,211,386,173,165,93,308,0,0,0,0,0,0,0,0,0,0,0,235,11,224,0,0,31,144,39,10,0,0
"Crisp County, Georgia","13081",18065,2906,15159,4379,2059,3046,1944,1781,1074,285,591,14571,2305,12266,3741,1705,2311,1505,1563,813,255,373,3203,468,2735,583,312,723,400,218,261,30,208,18,0,18,0,8,0,0,0,0,0,10,273,133,140,55,34,12,39,0,0,0,0
"Dade County, Georgia","13083",13655,1385,12270,3818,1515,2156,1505,1446,850,302,678,4405,574,3831,1126,593,750,497,306,304,61,194,8830,790,8040,2414,908,1337,1008,1132,530,241,470,85,13,72,0,8,36,0,5,9,0,14,335,8,327,278,6,33,0,3,7,0,0
"Dawson County, Georgia","13085",17510,2163,15347,3273,1592,2716,2246,2045,1333,530,1612,10042,1222,8820,2095,999,1571,1178,1335,831,220,591,6773,773,6000,1056,561,902,1037,643,502,310,989,92,27,65,7,0,8,19,5,0,0,26,603,141,462,115,32,235,12,62,0,0,6
