"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Appling County, Georgia","13001",12192,3040,5321,2822,623,386,8690,2045,3964,2066,375,240,2510,537,1010,678,203,82,19,0,19,0,0,0,973,458,328,78,45,64
"Atkinson County, Georgia","13003",4997,1664,2005,926,236,166,3308,869,1449,700,196,94,986,298,418,206,22,42,18,0,0,0,0,18,685,497,138,20,18,12
"Bacon County, Georgia","13005",7299,1999,3291,1472,250,287,5343,1395,2470,1193,121,164,1680,485,700,243,129,123,17,0,0,17,0,0,259,119,121,19,0,0
"Baker County, Georgia","13007",2206,550,839,548,236,33,1833,545,765,319,193,11,355,5,74,229,25,22,18,0,0,0,18,0,0,0,0,0,0,0
"Baldwin County, Georgia","13009",28748,6321,10395,6745,2960,2327,22227,5292,8511,5067,2025,1332,5331,691,1743,1479,676,742,184,16,67,23,69,9,1006,322,74,176,190,244
"Banks County, Georgia","13011",11769,3178,4993,2362,772,464,8615,2371,3845,1588,521,290,2613,535,1031,683,222,142,70,3,30,35,0,2,471,269,87,56,29,30
"Barrow County, Georgia","13013",41744,8819,14088,12607,4197,2033,22195,5978,8143,5542,1661,871,15675,1660,5003,6065,1879,1068,397,47,155,72,66,57,3477,1134,787,928,591,37
"Bartow County, Georgia","13015",62842,13607,24897,13945,6691,3702,35960,9125,15240,6849,2925,1821,22909,2487,8678,6706,3322,1716,345,61,147,47,68,22,3628,1934,832,343,376,143
"Ben Hill County, Georgia","13017",11363,3423,4153,2390,816,581,8147,2626,2842,1731,534,414,2609,462,1135,642,227,143,0,0,0,0,0,0,607,335,176,17,55,24
"Berrien County, Georgia","13019",12218,3800,3951,3148,881,438,8968,2828,3091,2177,693,179,2889,737,811,931,177,233,76,33,0,34,0,9,285,202,49,6,11,17
"Bibb County, Georgia","13021",98704,18516,31119,26245,14879,7945,68248,15211,23862,17480,7903,3792,25420,2510,5971,7760,5735,3444,751,0,156,251,210,134,4285,795,1130,754,1031,575
"Bleckley County, Georgia","13023",8080,2164,3512,1587,306,511,6817,1917,3032,1201,278,389,1078,184,387,357,28,122,16,16,0,0,0,0,169,47,93,29,0,0
"Brantley County, Georgia","13025",11342,2757,5370,2659,300,256,7553,1780,3830,1579,208,156,3637,977,1503,979,78,100,12,0,0,12,0,0,140,0,37,89,14,0
"Brooks County, Georgia","13027",10590,2312,3861,2740,1064,613,7070,1599,2664,1677,724,406,2852,454,973,878,340,207,220,0,107,113,0,0,448,259,117,72,0,0
"Bryan County, Georgia","13029",18232,2119,5234,5840,3469,1570,8489,1435,3213,2160,1144,537,8625,587,1685,3435,2002,916,278,0,54,41,134,49,840,97,282,204,189,68
"Bulloch County, Georgia","13031",34486,5105,11008,9667,4968,3738,23364,3617,8086,6874,3048,1739,9357,973,2469,2513,1725,1677,166,9,17,47,61,32,1599,506,436,233,134,290
"Burke County, Georgia","13033",14227,3541,5946,3450,799,491,10460,2929,4366,2342,516,307,3422,524,1528,934,259,177,260,22,47,174,17,0,85,66,5,0,7,7
