"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"The Chathams School District, New Jersey","3400004",19368,555,265,18548,10287,397,155,9735,6777,108,71,6598,215,0,0,215,2089,50,39,2000
"Great Meadows Regional School District, New Jersey","3400008",8570,374,262,7934,6135,266,184,5685,1746,101,36,1609,137,0,0,137,552,7,42,503
"Somerset Hills Regional School District, New Jersey","3400009",11213,273,242,10698,5556,91,89,5376,3666,60,11,3595,210,0,0,210,1781,122,142,1517
"Absecon City School District, New Jersey","3400660",8219,626,571,7022,4622,395,197,4030,2426,132,200,2094,185,0,34,151,986,99,140,747
"Allamuchy Township School District, New Jersey","3400720",4363,105,84,4174,2484,32,66,2386,1239,64,8,1167,70,0,0,70,570,9,10,551
"Allenhurst Borough School District, New Jersey","3400780",526,12,37,477,390,2,23,365,122,0,10,112,0,0,0,0,14,10,4,0
"Alloway Township School District, New Jersey","3400810",3360,185,125,3050,2222,75,108,2039,1087,96,17,974,10,0,0,10,41,14,0,27
"Alpha Borough School District, New Jersey","3400840",2489,190,186,2113,1641,107,132,1402,685,74,31,580,46,0,11,35,117,9,12,96
"Alpine Borough School District, New Jersey","3400870",2006,106,11,1889,616,49,11,556,694,39,0,655,27,5,0,22,669,13,0,656
"Andover Regional School District, New Jersey","3400900",6399,149,257,5993,3947,92,166,3689,1879,57,49,1773,50,0,6,44,523,0,36,487
"Asbury Park City School District, New Jersey","3400930",16071,4816,2754,8501,8932,3291,1337,4304,2818,612,402,1804,424,112,0,312,3897,801,1015,2081
"Atlantic City School District, New Jersey","3400960",39349,11769,5786,21794,18831,6512,2748,9571,7509,2102,988,4419,1952,707,390,855,11057,2448,1660,6949
"Audubon Borough School District, New Jersey","3401050",9830,795,366,8669,6323,537,195,5591,3024,151,113,2760,60,22,0,38,423,85,58,280
"Avalon Borough School District, New Jersey","3401110",2087,87,70,1930,561,17,30,514,1429,70,40,1319,0,0,0,0,97,0,0,97
"Avon-by-the-Sea Borough School District, New Jersey","3401140",1972,103,102,1767,1339,23,64,1252,499,36,19,444,4,0,0,4,130,44,19,67
"Barrington Borough School District, New Jersey","3401170",6966,317,531,6118,4134,160,376,3598,2646,131,155,2360,17,10,0,7,169,16,0,153
"Bay Head Borough School District, New Jersey","3401230",992,67,29,896,638,45,14,579,328,19,15,294,3,0,0,3,23,3,0,20
"Bayonne City School District, New Jersey","3401260",63110,7965,4309,50836,36331,4809,2407,29115,8287,784,643,6860,1557,339,102,1116,16935,2033,1157,13745
"Bedminster Township School District, New Jersey","3401320",8149,166,553,7430,4071,86,163,3822,2704,5,240,2459,94,0,54,40,1280,75,96,1109
"Belleville Town School District, New Jersey","3401350",35719,2846,2339,30534,17561,1221,1183,15157,4146,166,227,3753,1669,283,126,1260,12343,1176,803,10364
"Belmar Borough School District, New Jersey","3401410",5796,659,847,4290,3424,404,430,2590,950,129,37,784,83,10,50,23,1339,116,330,893
"Belvidere Town School District, New Jersey","3401440",2681,154,74,2453,1987,125,51,1811,633,29,21,583,15,0,1,14,46,0,1,45
"Bergenfield Borough School District, New Jersey","3401500",26737,2032,1156,23549,8413,388,309,7716,7748,582,322,6844,677,6,48,623,9899,1056,477,8366
