"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"The Chathams School District, New Jersey","3400004",60694,51497,75718,212986,57717
"Great Meadows Regional School District, New Jersey","3400008",39153,38268,49457,25968,48000
"Somerset Hills Regional School District, New Jersey","3400009",47729,47527,68438,28807,22828
"Absecon City School District, New Jersey","3400660",29248,29978,33239,31350,20417
"Allamuchy Township School District, New Jersey","3400720",54222,46228,66477,27083,67321
"Alpha Borough School District, New Jersey","3400840",32083,33798,34097,13810,24018
"Alpine Borough School District, New Jersey","3400870",52994,44330,55625,7250,68194
"Andover Regional School District, New Jersey","3400900",33860,35723,30681,16000,45708
"Asbury Park City School District, New Jersey","3400930",19217,20625,23517,17344,16686
"Atlantic City School District, New Jersey","3400960",20216,19602,20452,13395,21606
"Audubon Borough School District, New Jersey","3401050",34232,33824,41536,16964,21303
"Bayonne City School District, New Jersey","3401260",34610,34833,40337,26169,31449
"Bedminster Township School District, New Jersey","3401320",54692,51629,69608,87500,55156
"Belleville Town School District, New Jersey","3401350",32488,33299,39602,21776,31511
"Belmar Borough School District, New Jersey","3401410",36705,42658,42634,14961,24340
"Belvidere Town School District, New Jersey","3401440",34330,34212,32813,29125,43500
"Bergenfield Borough School District, New Jersey","3401500",36174,35625,40823,27009,33681
"Berkeley Heights Township School District, New Jersey","3401530",50861,39729,72946,8365,57574
"Berlin Township School District, New Jersey","3401620",30231,39415,27321,17348,19632
"Bernards Township School District, New Jersey","3401650",62689,49480,73839,60104,83417
"Beverly City School District, New Jersey","3401740",29137,28269,29818,44125,30603
"Bloomfield Township School District, New Jersey","3401830",38812,37296,45088,39598,36776
"Bloomingdale Borough School District, New Jersey","3401860",40145,42708,47550,42260,19859
"Bogota Borough School District, New Jersey","3401920",34326,32704,37701,54148,34097
"Boonton Town School District, New Jersey","3401950",38957,38492,60662,9335,29524
"Boonton Township School District, New Jersey","3401980",36327,31701,49647,75703,69219
"Bordentown Regional School District, New Jersey","3402030",42921,42021,49120,33155,41820
"Bound Brook Borough School District, New Jersey","3402100",27684,33103,31667,32098,24881
"Bradley Beach Borough School District, New Jersey","3402130",33075,38671,34934,36923,14184
"Branchburg Township School District, New Jersey","3402160",54124,49284,60043,99896,55445
"Brick Township School District, New Jersey","3402220",33024,32342,36636,43750,22337
"Bridgeton City School District, New Jersey","3402250",16943,18532,16858,9685,16666
"Bridgewater-Raritan Regional School District, New Jersey","3402280",45418,40293,55609,47083,50423
"Brielle Borough School District, New Jersey","3402310",49173,48929,50750,2499,63667
"Brigantine City School District, New Jersey","3402340",31105,30672,37567,22361,21193
"Brooklawn Borough School District, New Jersey","3402370",30615,33417,25547,30625,25602
"Buena Regional School District, New Jersey","3402400",28370,30484,20898,17676,34688
"Burlington City School District, New Jersey","3402430",30215,29931,31592,35096,25938
"Burlington Township School District, New Jersey","3402460",37128,36344,41176,64625,32967
"Butler Borough School District, New Jersey","3402520",37732,44036,43688,18824,23567
"Caldwell-West Caldwell School District, New Jersey","3402580",43447,43141,52583,128106,29205
"Camden City School District, New Jersey","3402640",15999,14325,17920,12190,20009
"Carteret Borough School District, New Jersey","3402820",28893,31875,27409,14665,27093
"Cedar Grove Township School District, New Jersey","3402850",46173,44711,54438,57535,43700
"Cherry Hill Township School District, New Jersey","3403000",39779,36265,44147,34554,34321
"Chesilhurst Borough School District, New Jersey","3403030",27786,26688,28208,29583,30625
