"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"The Chathams School District, New Jersey","3400004",40.4,25.8,46.4,10.9,43.3
"Great Meadows Regional School District, New Jersey","3400008",39.6,35.5,49.6,38.9,44.6
"Somerset Hills Regional School District, New Jersey","3400009",42.3,30.5,47.6,49.4,41.1
"Absecon City School District, New Jersey","3400660",45.5,40.9,54.2,54.4,43.6
"Allamuchy Township School District, New Jersey","3400720",43.2,34.9,47.8,75.2,46.5
"Alpha Borough School District, New Jersey","3400840",40.2,38.2,42.5,57.1,47.8
"Alpine Borough School District, New Jersey","3400870",49.3,27.4,51.2,18,54.3
"Andover Regional School District, New Jersey","3400900",43.9,33.9,52.3,16.6,48.7
"Asbury Park City School District, New Jersey","3400930",33.5,24.6,54.5,38.1,32.6
"Atlantic City School District, New Jersey","3400960",36.1,22.3,57,37.3,40.5
"Audubon Borough School District, New Jersey","3401050",42.4,36.7,50.6,62,36.8
"Barrington Borough School District, New Jersey","3401170",40.5,36,45.9,21.2,47.9
"Bayonne City School District, New Jersey","3401260",39.4,37.1,37,47.8,41.8
"Bedminster Township School District, New Jersey","3401320",43.9,40.3,50,8.7,40.9
"Belleville Town School District, New Jersey","3401350",38.1,28,38.6,44.9,45.8
"Belmar Borough School District, New Jersey","3401410",38.3,38.7,52.4,40,31.4
"Belvidere Town School District, New Jersey","3401440",40.9,37.7,49.4,69.3,49.1
"Bergenfield Borough School District, New Jersey","3401500",39.5,20.9,41.5,38.9,44.7
"Berkeley Heights Township School District, New Jersey","3401530",44.5,34.6,49.5,48.9,51.2
"Berlin Township School District, New Jersey","3401620",41.6,31.1,56.6,60.8,40.6
"Bernards Township School District, New Jersey","3401650",43.1,24.7,50.4,57.4,44.6
"Beverly City School District, New Jersey","3401740",37.3,28.4,45.9,43.4,33.9
"Bloomfield Township School District, New Jersey","3401830",37.7,31.4,38.4,47.1,44.4
"Bloomingdale Borough School District, New Jersey","3401860",41.4,33.9,53.3,51.5,44.9
"Bogota Borough School District, New Jersey","3401920",39.3,25.2,29.6,44,48.8
"Boonton Town School District, New Jersey","3401950",40.5,35.7,46.8,33.1,42.2
"Boonton Township School District, New Jersey","3401980",47.3,39.2,57.1,35.1,57.2
"Bordentown Regional School District, New Jersey","3402030",39.3,33.2,45.9,30.6,44.8
"Bound Brook Borough School District, New Jersey","3402100",33.2,26.1,40.8,48,35.8
"Bradley Beach Borough School District, New Jersey","3402130",41.9,41.8,51.5,39.8,36.1
"Branchburg Township School District, New Jersey","3402160",42.6,33.5,49.6,48.7,49.3
"Brick Township School District, New Jersey","3402220",43.5,38.9,52.1,42.7,52.1
"Bridgeton City School District, New Jersey","3402250",30.2,25.8,43.5,43,30.6
"Bridgewater-Raritan Regional School District, New Jersey","3402280",42.1,30.8,49.7,51.8,46.8
