"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Harding Township School District, New Jersey","3406720",3036,491,2545,307,194,207,147,167,218,66,1239,1458,205,1253,182,149,94,104,63,120,42,499,1267,234,1033,109,45,90,43,91,51,7,597,19,0,19,0,0,8,0,0,0,0,11,292,52,240,16,0,15,0,13,47,17,132
"Upper Township School District, New Jersey","3416650",10231,927,9304,1496,680,1141,1043,1276,1096,663,1909,5286,634,4652,994,249,558,574,550,563,282,882,4530,263,4267,448,394,512,411,675,499,362,966,58,0,58,13,27,0,0,0,0,0,18,357,30,327,41,10,71,58,51,34,19,43
"Ventnor City City School District, New Jersey","3416680",9350,1086,8264,1394,770,1613,1510,794,760,209,1214,2814,440,2374,514,244,318,357,244,266,70,361,3329,186,3143,388,242,514,448,407,302,120,722,170,0,170,10,0,44,23,39,13,0,41,3037,460,2577,482,284,737,682,104,179,19,90
"Vernon Township School District, New Jersey","3416710",19480,2140,17340,2953,1065,2552,1944,2580,2193,1032,3021,12692,1589,11103,1984,729,1366,1240,1805,1487,622,1870,5177,339,4838,780,233,885,557,570,547,283,983,203,27,176,21,9,77,14,0,25,19,11,1408,185,1223,168,94,224,133,205,134,108,157
"Verona Borough School District, New Jersey","3416740",10958,972,9986,1203,544,1051,1059,1335,1382,453,2959,6271,535,5736,648,256,615,711,833,898,265,1510,3051,297,2754,255,120,254,284,318,318,152,1053,67,0,67,7,0,8,0,20,19,0,13,1569,140,1429,293,168,174,64,164,147,36,383
"Vineland City School District, New Jersey","3416800",48217,5715,42502,9130,4515,7482,5751,5576,3821,1509,4718,27322,3359,23963,5410,2367,3648,3397,3353,2289,874,2625,9552,819,8733,1337,894,1504,1048,1136,949,457,1408,4765,261,4504,1325,724,834,504,520,280,97,220,6578,1276,5302,1058,530,1496,802,567,303,81,465
"Waldwick Borough School District, New Jersey","3416860",7786,900,6886,1071,476,673,695,897,855,344,1875,4189,536,3653,730,235,370,317,503,434,182,882,2459,173,2286,204,136,226,204,249,262,148,857,24,0,24,0,0,0,9,0,0,0,15,1114,191,923,137,105,77,165,145,159,14,121
"Wall Township School District, New Jersey","3416890",20530,2194,18336,2741,1252,2447,1620,2007,1990,815,5464,14410,1633,12777,2141,896,1656,1032,1396,1374,567,3715,5007,414,4593,490,295,661,478,493,542,171,1463,234,42,192,3,12,16,29,17,39,0,76,879,105,774,107,49,114,81,101,35,77,210
"Wallington Borough School District, New Jersey","3416920",9719,1721,7998,926,769,1348,1243,1190,1201,334,987,3932,572,3360,468,252,478,512,540,506,129,475,628,33,595,76,53,126,82,35,82,44,97,50,7,43,18,0,19,0,6,0,0,0,5109,1109,4000,364,464,725,649,609,613,161,415
"Washington Township School District (Burlington County), New Jersey","3417040",679,59,620,86,63,79,102,98,68,29,95,415,33,382,51,39,38,56,77,51,20,50,134,6,128,8,10,20,14,19,7,9,41,52,13,39,9,3,0,20,0,3,0,4,78,7,71,18,11,21,12,2,7,0,0
