"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"The Chathams School District, New Jersey","3400004",19481,1391,4616,813,1395,3221,3543,1271,401,535,1129,1166,10360,1191,3399,425,723,1217,1327,636,137,180,499,626,6800,112,971,262,353,1430,1825,456,195,298,530,368,220,43,83,9,21,26,38,0,0,0,0,0,2101,45,163,117,298,548,353,179,69,57,100,172
"Great Meadows Regional School District, New Jersey","3400008",8613,384,1724,674,856,1285,1722,683,252,293,463,277,6174,365,1524,559,556,953,1138,379,124,130,268,178,1746,15,181,53,153,211,477,183,109,125,153,86,137,0,15,14,36,4,16,19,19,0,14,0,556,4,4,48,111,117,91,102,0,38,28,13
"Somerset Hills Regional School District, New Jersey","3400009",11296,595,2292,768,922,1611,2202,757,281,501,851,516,5610,571,1592,416,375,582,733,338,151,226,395,231,3685,5,569,141,195,616,929,339,108,192,362,229,210,0,43,6,0,0,86,23,0,0,44,8,1791,19,88,205,352,413,454,57,22,83,50,48
"Absecon City School District, New Jersey","3400660",8369,274,1240,466,719,1404,1546,633,250,289,1011,537,4695,233,889,330,418,705,854,314,70,133,512,237,2490,41,293,58,119,359,487,200,135,118,455,225,185,0,16,0,25,30,57,23,0,20,0,14,999,0,42,78,157,310,148,96,45,18,44,61
"Allamuchy Township School District, New Jersey","3400720",4363,243,600,272,457,833,797,205,167,108,409,272,2484,243,496,232,273,297,491,85,62,29,182,94,1239,0,46,40,152,320,252,66,80,65,145,73,70,0,0,0,0,28,0,0,0,0,0,42,570,0,58,0,32,188,54,54,25,14,82,63
"Allenhurst Borough School District, New Jersey","3400780",526,7,104,26,84,48,81,48,20,20,36,52,390,7,77,26,63,31,51,33,13,20,33,36,122,0,27,0,11,17,30,11,7,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,10,0,0,4,0,0,0,0
"Alloway Township School District, New Jersey","3400810",3440,178,806,251,376,549,640,137,108,75,187,133,2299,126,610,180,239,288,474,123,49,49,83,78,1090,52,196,71,123,261,141,14,59,26,92,55,10,0,0,0,0,0,10,0,0,0,0,0,41,0,0,0,14,0,15,0,0,0,12,0
"Alpha Borough School District, New Jersey","3400840",2489,156,425,184,281,383,467,147,19,77,140,210,1641,111,321,140,200,231,283,71,10,44,81,149,685,45,104,43,47,135,142,42,9,12,51,55,46,0,0,0,0,9,6,22,0,0,4,5,117,0,0,1,34,8,36,12,0,21,4,1
"Alpine Borough School District, New Jersey","3400870",2006,74,337,130,131,146,360,191,51,114,300,172,616,47,178,74,38,46,49,49,14,4,64,53,694,27,133,27,69,48,81,63,12,60,110,64,27,0,14,0,0,0,4,5,0,0,0,4,669,0,12,29,24,52,226,74,25,50,126,51
"Andover Regional School District, New Jersey","3400900",7141,372,1169,384,772,1001,1254,659,209,211,500,610,4308,341,953,310,614,461,660,291,77,99,213,289,2182,31,167,74,105,366,512,279,113,75,223,237,77,0,41,0,0,0,2,7,0,0,14,13,574,0,8,0,53,174,80,82,19,37,50,71
"Asbury Park City School District, New Jersey","3400930",16081,1536,2538,1824,2545,2291,2223,717,424,332,775,876,8942,1368,2174,972,1067,1024,1152,235,277,119,280,274,2818,64,88,60,259,427,553,237,85,120,363,562,424,104,8,0,90,70,53,68,0,3,28,0,3897,0,268,792,1129,770,465,177,62,90,104,40
"Atlantic City School District, New Jersey","3400960",39680,3404,6590,3589,5696,4527,5774,2533,750,1247,3019,2551,19008,3015,5232,2089,2122,1385,2110,1044,204,391,639,777,7638,250,370,453,719,638,1102,663,342,336,1399,1366,1968,79,339,88,437,248,403,110,11,140,83,30,11066,60,649,959,2418,2256,2159,716,193,380,898,378
"Audubon Borough School District, New Jersey","3401050",9840,409,1350,913,1360,1273,1714,831,237,343,619,791,6333,391,1100,614,960,779,1085,341,133,172,366,392,3024,18,250,260,289,372,571,462,97,140,222,343,60,0,0,0,0,8,22,0,0,0,3,27,423,0,0,39,111,114,36,28,7,31,28,29
"Avalon Borough School District, New Jersey","3401110",2087,0,233,107,29,94,274,271,117,225,304,433,561,0,163,72,13,19,64,65,22,25,27,91,1429,0,70,13,16,75,210,195,95,190,226,339,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,22,0,0,0,11,0,10,51,3
"Avon-by-the-Sea Borough School District, New Jersey","3401140",1972,26,270,184,150,208,277,170,75,111,277,224,1339,26,257,85,101,141,198,106,57,85,139,144,499,0,13,47,26,44,79,64,18,8,130,70,4,0,0,0,0,0,0,0,0,0,0,4,130,0,0,52,23,23,0,0,0,18,8,6
"Barrington Borough School District, New Jersey","3401170",6966,245,1025,506,1073,1028,1035,545,115,139,622,633,4134,215,750,456,545,554,579,268,43,105,265,354,2646,30,248,18,508,462,420,271,72,34,333,250,17,0,7,10,0,0,0,0,0,0,0,0,169,0,20,22,20,12,36,6,0,0,24,29
"Bay Head Borough School District, New Jersey","3401230",992,24,136,34,56,70,186,67,43,61,179,136,638,14,96,34,47,46,123,51,20,31,98,78,328,10,36,0,9,21,56,13,23,27,78,55,3,0,0,0,0,0,0,0,0,0,0,3,23,0,4,0,0,3,7,3,0,3,3,0
"Bayonne City School District, New Jersey","3401260",63164,3741,9127,5122,9644,9317,9885,4307,1634,1917,4332,4138,36337,3141,6742,3098,4601,3921,5099,2752,984,894,2229,2876,8335,401,1096,840,1456,1276,1210,551,151,384,420,550,1557,0,106,117,185,261,320,180,10,53,262,63,16935,199,1183,1067,3402,3859,3256,824,489,586,1421,649
"Bedminster Township School District, New Jersey","3401320",8190,450,1181,314,820,1426,1456,752,231,341,839,380,4106,382,908,199,309,475,699,283,125,188,430,108,2704,58,174,47,258,550,529,291,54,128,360,255,94,0,59,13,0,0,22,0,0,0,0,0,1286,10,40,55,253,401,206,178,52,25,49,17
"Belleville Town School District, New Jersey","3401350",35913,2265,5423,3546,4841,5819,5423,2371,714,1029,2392,2090,17697,1971,4092,2250,2325,1807,1771,809,270,342,1000,1060,4204,169,597,486,615,931,735,169,27,96,114,265,1669,17,145,105,191,381,306,103,33,57,152,179,12343,108,589,705,1710,2700,2611,1290,384,534,1126,586
"Belmar Borough School District, New Jersey","3401410",5796,329,683,437,1163,686,789,470,174,230,354,481,3424,292,569,162,543,339,486,253,111,152,242,275,950,37,24,123,63,85,228,92,47,46,68,137,83,0,0,0,0,60,7,0,16,0,0,0,1339,0,90,152,557,202,68,125,0,32,44,69
"Belvidere Town School District, New Jersey","3401440",2681,170,468,231,252,395,495,199,37,113,132,189,1987,143,421,180,215,282,313,140,19,66,89,119,633,27,47,47,29,103,166,59,18,47,33,57,15,0,0,0,0,0,5,0,0,0,10,0,46,0,0,4,8,10,11,0,0,0,0,13
"Bergenfield Borough School District, New Jersey","3401500",26774,1371,4744,2129,3538,3839,4481,1593,479,848,1968,1784,8449,1109,2704,840,820,645,855,295,194,264,358,365,7748,224,1359,703,918,928,1172,609,102,286,725,722,678,29,88,64,91,81,57,91,21,9,67,80,9899,9,593,522,1709,2185,2397,598,162,289,818,617
"Berkeley Heights Township School District, New Jersey","3401530",13264,945,2356,835,830,1794,2392,1113,342,408,1169,1080,7516,820,1780,666,535,817,1056,589,140,149,422,542,3708,97,526,95,200,599,787,336,95,181,512,280,220,0,50,0,0,0,143,0,0,0,14,13,1820,28,0,74,95,378,406,188,107,78,221,245
"Berlin Township School District, New Jersey","3401620",5371,446,805,287,718,615,739,500,214,238,488,321,3145,353,723,211,456,363,353,202,130,133,144,77,1556,93,82,64,84,133,255,215,61,83,271,215,89,0,0,0,0,0,20,13,14,3,25,14,581,0,0,12,178,119,111,70,9,19,48,15
"Bernards Township School District, New Jersey","3401650",26596,1217,6360,1655,1304,3906,4956,2139,657,773,1647,1982,13668,970,4696,1202,705,1281,2075,684,258,279,581,937,8325,121,1146,289,343,1306,1805,1175,311,388,631,810,150,0,0,27,14,13,15,28,0,18,12,23,4453,126,518,137,242,1306,1061,252,88,88,423,212
"Beverly City School District, New Jersey","3401740",2584,132,523,273,330,322,477,232,57,33,136,69,1572,114,378,196,175,160,246,163,23,22,56,39,732,18,98,63,75,106,177,63,24,11,72,25,93,0,20,0,18,18,30,0,7,0,0,0,187,0,27,14,62,38,24,6,3,0,8,5
"Bloomfield Township School District, New Jersey","3401830",47339,2650,6724,4187,7984,7176,6710,3606,1216,1359,3005,2722,24988,2269,5096,2713,3733,2824,3029,1499,517,533,1402,1373,8524,271,1054,768,1371,1631,1142,689,237,214,545,602,1537,18,115,54,346,230,352,83,68,74,97,100,12290,92,459,652,2534,2491,2187,1335,394,538,961,647
"Bloomingdale Borough School District, New Jersey","3401860",7654,394,1179,900,912,778,1686,435,117,125,652,476,5209,394,1016,648,670,447,983,309,71,39,404,228,1090,0,35,0,151,167,246,65,46,23,199,158,141,0,0,0,0,26,77,0,0,17,16,5,1214,0,128,252,91,138,380,61,0,46,33,85
"Bloomsbury Borough School District, New Jersey","3401890",737,35,157,26,80,122,186,49,13,24,32,13,505,35,142,21,36,69,123,33,11,9,19,7,180,0,14,5,23,49,37,16,2,15,13,6,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1,0,21,4,26,0,0,0,0,0
"Bogota Borough School District, New Jersey","3401920",8200,467,1377,806,953,1266,1435,479,283,171,541,422,3237,386,759,457,233,442,440,50,118,11,131,210,1932,81,563,188,263,224,207,94,41,70,191,10,169,0,0,0,2,84,17,22,44,0,0,0,2862,0,55,161,455,516,771,313,80,90,219,202
"Boonton Town School District, New Jersey","3401950",8403,402,1160,665,1187,1419,1240,546,203,216,701,664,4854,272,922,441,731,681,592,203,118,94,313,487,1635,57,60,42,217,378,273,155,59,72,220,102,95,0,0,35,24,0,12,0,0,0,24,0,1819,73,178,147,215,360,363,188,26,50,144,75
"Boonton Township School District, New Jersey","3401980",4311,195,864,256,170,478,801,324,148,241,387,447,2721,195,792,151,144,299,417,131,63,143,174,212,1149,0,58,85,26,106,259,153,70,66,164,162,43,0,0,20,0,16,7,0,0,0,0,0,398,0,14,0,0,57,118,40,15,32,49,73
"Bordentown Regional School District, New Jersey","3402030",15705,731,3064,1077,2086,2368,2793,976,276,523,922,889,10280,704,2547,788,1280,1342,1685,441,125,264,507,597,3160,27,346,159,421,524,616,430,68,105,275,189,313,0,99,34,56,15,33,14,0,53,9,0,1952,0,72,96,329,487,459,91,83,101,131,103
"Bound Brook Borough School District, New Jersey","3402100",10493,833,1552,1019,2038,1766,1509,517,154,208,385,512,4941,785,1116,521,625,454,604,276,79,70,136,275,1540,48,164,97,259,311,179,96,47,44,145,150,132,0,0,12,33,0,41,26,0,8,0,12,3880,0,272,389,1121,1001,685,119,28,86,104,75
"Bradley Beach Borough School District, New Jersey","3402130",4335,109,464,528,479,866,671,299,66,273,427,153,2861,109,398,281,320,566,431,216,33,199,240,68,897,0,39,131,74,74,223,65,33,45,145,68,40,0,0,0,0,23,0,0,0,0,0,17,537,0,27,116,85,203,17,18,0,29,42,0
"Branchburg Township School District, New Jersey","3402160",14479,971,2686,837,1170,2166,2924,1176,469,467,1062,551,9190,841,2386,768,732,1227,1537,597,219,134,460,289,3148,54,210,69,176,516,874,290,163,242,385,169,131,0,0,0,0,31,89,0,0,11,0,0,2010,76,90,0,262,392,424,289,87,80,217,93
"Brick Township School District, New Jersey","3402220",75367,3845,11843,6050,7871,10023,12888,4521,2257,2739,6326,7004,54895,3643,10355,5132,6026,6889,8747,3181,1367,1557,3763,4235,15105,194,1163,716,1236,2050,3284,901,739,931,1919,1972,913,0,137,37,80,270,130,47,0,40,99,73,4454,8,188,165,529,814,727,392,151,211,545,724
"Bridgeton City School District, New Jersey","3402250",25252,2440,4356,3022,5112,3801,2847,1202,313,332,939,888,14398,2275,3282,1490,2175,1989,1385,638,154,151,485,374,3885,130,641,315,514,406,687,250,95,98,375,374,914,0,52,72,185,212,127,119,43,47,14,43,6055,35,381,1145,2238,1194,648,195,21,36,65,97
