"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"The Chathams School District, New Jersey","3400004",12661,296,1382,1443,5302,4238,5345,135,865,705,2129,1511,5455,35,281,519,2572,2048,85,5,0,0,30,50,1776,121,236,219,571,629
"Great Meadows Regional School District, New Jersey","3400008",5831,372,1763,1448,1483,765,3726,195,1320,970,899,342,1497,79,337,371,465,245,108,48,14,19,4,23,500,50,92,88,115,155
"Somerset Hills Regional School District, New Jersey","3400009",7641,477,1273,1175,2407,2309,3031,104,513,542,1006,866,2970,70,279,377,1075,1169,161,0,61,22,51,27,1479,303,420,234,275,247
"Absecon City School District, New Jersey","3400660",6389,691,2121,2023,1021,533,3243,424,1097,1006,490,226,2098,156,666,791,271,214,169,14,48,15,87,5,879,97,310,211,173,88
"Allamuchy Township School District, New Jersey","3400720",3248,117,681,708,1210,532,1513,13,430,382,515,173,1153,8,141,253,528,223,70,42,0,0,0,28,512,54,110,73,167,108
"Allenhurst Borough School District, New Jersey","3400780",389,15,79,68,149,78,280,11,62,36,109,62,95,0,17,32,30,16,0,0,0,0,0,0,14,4,0,0,10,0
"Alloway Township School District, New Jersey","3400810",2205,128,646,874,413,144,1383,60,473,498,277,75,771,27,173,376,126,69,10,0,0,0,10,0,41,41,0,0,0,0
"Alpha Borough School District, New Jersey","3400840",1724,214,767,472,206,65,1069,134,502,294,116,23,493,60,197,158,45,33,46,4,28,5,9,0,116,16,40,15,36,9
"Alpine Borough School District, New Jersey","3400870",1465,56,218,198,584,409,317,5,61,53,135,63,507,5,71,54,207,170,13,9,0,4,0,0,628,37,86,87,242,176
"Andover Regional School District, New Jersey","3400900",5216,491,1516,1458,1149,602,2704,204,770,828,653,249,1910,212,556,507,367,268,36,2,27,7,0,0,566,73,163,116,129,85
"Asbury Park City School District, New Jersey","3400930",10183,2376,3314,2541,1267,685,4428,881,1438,1104,677,328,2606,388,828,768,375,247,312,92,85,81,41,13,2837,1015,963,588,174,97
"Atlantic City School District, New Jersey","3400960",26097,8231,8374,5374,2917,1201,8672,2259,2884,2552,689,288,6565,1568,2345,1474,804,374,1462,666,598,168,17,13,9398,3738,2547,1180,1407,526
"Audubon Borough School District, New Jersey","3401050",7168,620,2516,2087,1348,597,4228,272,1565,1350,775,266,2496,198,789,696,554,259,60,14,30,0,0,16,384,136,132,41,19,56
"Avalon Borough School District, New Jersey","3401110",1747,38,331,392,610,376,326,11,54,102,131,28,1346,16,262,287,468,313,0,0,0,0,0,0,75,11,15,3,11,35
"Avon-by-the-Sea Borough School District, New Jersey","3401140",1492,64,192,253,540,443,971,0,132,170,395,274,439,19,60,69,127,164,4,0,0,0,0,4,78,45,0,14,18,1
"Barrington Borough School District, New Jersey","3401170",5190,508,1780,1528,934,440,2713,309,973,827,452,152,2350,165,775,700,444,266,0,0,0,0,0,0,127,34,32,1,38,22
"Bay Head Borough School District, New Jersey","3401230",798,3,111,176,296,212,494,3,72,130,180,109,282,0,33,39,116,94,3,0,0,0,0,3,19,0,6,7,0,6
"Bayonne City School District, New Jersey","3401260",45174,5760,16912,9269,9464,3769,23356,2298,10014,4850,4191,2003,5998,536,1613,1816,1374,659,1334,309,647,274,78,26,14486,2617,4638,2329,3821,1081
"Bedminster Township School District, New Jersey","3401320",6245,188,1031,1244,2032,1750,2617,67,489,682,920,459,2425,37,321,340,864,863,22,0,0,0,22,0,1181,84,221,222,226,428
