"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"The Chathams School District, New Jersey","3400004",19543,1239,4668,958,1444,3024,3484,1297,360,601,1273,1195,9850,1035,3318,480,698,1015,1284,560,128,186,568,578,6918,133,1135,259,322,1372,1722,510,156,308,556,445,217,25,49,26,31,40,41,0,0,0,0,5,2558,46,166,193,393,597,437,227,76,107,149,167
"Great Meadows Regional School District, New Jersey","3400008",8555,376,1552,655,1019,1218,1412,714,287,354,582,386,5741,311,1331,497,473,871,917,433,160,176,313,259,2015,62,196,98,357,180,414,152,99,159,200,98,169,0,23,14,34,4,15,20,22,0,19,18,630,3,2,46,155,163,66,109,6,19,50,11
"Somerset Hills Regional School District, New Jersey","3400009",11361,576,2362,808,899,1618,2208,738,194,499,946,513,5775,562,1729,466,395,626,665,322,113,208,480,209,3485,9,486,105,219,463,967,333,66,229,373,235,236,0,46,7,0,46,83,15,0,0,39,0,1865,5,101,230,285,483,493,68,15,62,54,69
"Absecon City School District, New Jersey","3400660",8394,382,1415,503,864,1168,1490,592,289,346,806,539,4833,346,1013,387,549,567,797,286,95,140,391,262,2358,36,228,49,162,320,465,223,147,167,372,189,173,0,31,0,12,32,54,11,0,23,0,10,1030,0,143,67,141,249,174,72,47,16,43,78
"Teaneck Township School District, New Jersey","3416080",39994,2302,7356,4109,4804,4910,5161,2628,1197,1415,3319,2793,11515,1698,3605,1567,1130,952,720,554,151,266,476,396,17994,538,3344,1796,2105,1880,2422,1267,686,549,1726,1681,692,33,141,136,23,132,54,20,0,17,88,48,9793,33,266,610,1546,1946,1965,787,360,583,1029,668
"Tenafly Borough School District, New Jersey","3416110",14567,812,3698,694,715,2176,2870,777,326,484,918,1097,3902,531,1525,274,121,321,472,170,31,62,81,314,6068,245,1637,305,301,612,1147,339,166,226,612,478,307,11,95,10,0,0,29,0,82,49,16,15,4290,25,441,105,293,1243,1222,268,47,147,209,290
"Teterboro Borough School District, New Jersey","3416140",92,4,17,14,9,6,32,8,0,0,1,1,57,0,17,8,9,6,11,5,0,0,0,1,8,4,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,6,0,0,18,3,0,0,0,0
"Toms River Regional School District, New Jersey","3416230",108694,5769,18272,9002,12487,13991,16668,8149,2974,4236,8727,8419,76219,5435,15857,7223,9048,9109,10747,4858,1850,2679,5067,4346,21975,289,1895,960,1898,2530,3968,2464,785,1220,2762,3204,1152,23,38,99,139,114,385,72,36,36,103,107,9348,22,482,720,1402,2238,1568,755,303,301,795,762
"Trenton City School District, New Jersey","3416290",84609,6691,14984,9062,14288,12842,11475,4340,1597,2025,4085,3220,46486,6056,11372,5152,6896,5718,5093,2192,670,675,1380,1282,13086,529,1528,924,1324,1572,2328,833,396,613,1583,1456,5033,0,415,541,681,1078,898,370,103,297,501,149,20004,106,1669,2445,5387,4474,3156,945,428,440,621,333
"Union Beach Borough School District, New Jersey","3416350",6150,512,863,788,619,976,976,480,154,181,341,260,4564,482,784,604,496,737,566,341,63,109,179,203,941,30,64,36,70,134,228,100,91,31,129,28,40,0,15,0,0,0,0,0,0,25,0,0,605,0,0,148,53,105,182,39,0,16,33,29
