"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"The Chathams School District, New Jersey","3400004",12678,368,1346,1506,5116,4342,5017,169,806,680,1988,1374,5391,38,287,550,2488,2028,117,5,0,11,26,75,2153,156,253,265,614,865
"Great Meadows Regional School District, New Jersey","3400008",5972,402,1563,1705,1621,681,3602,231,1122,956,1036,257,1659,72,287,577,438,285,132,45,18,22,23,24,579,54,136,150,124,115
"Somerset Hills Regional School District, New Jersey","3400009",7615,478,1253,1011,2455,2418,3018,101,540,476,963,938,2885,64,228,288,1135,1170,183,0,46,18,47,72,1529,313,439,229,310,238
"Absecon City School District, New Jersey","3400660",6094,732,1939,1787,1021,615,3087,363,1067,864,507,286,2045,204,586,732,303,220,142,10,23,19,80,10,820,155,263,172,131,99
"Teaneck Township School District, New Jersey","3416080",26227,1649,4874,4833,8426,6445,4645,263,1314,1028,1081,959,12316,303,1607,1854,4613,3939,382,57,113,108,51,53,8884,1026,1840,1843,2681,1494
"Tenafly Borough School District, New Jersey","3416110",9363,298,996,1307,3268,3494,1572,23,292,350,455,452,3881,19,317,457,1442,1646,191,116,15,0,14,46,3719,140,372,500,1357,1350
"Teterboro Borough School District, New Jersey","3416140",57,11,17,12,17,0,32,5,17,9,1,0,4,0,0,3,1,0,0,0,0,0,0,0,21,6,0,0,15,0
"Toms River Regional School District, New Jersey","3416230",75651,7032,26475,20463,14859,6822,47704,3232,17945,13280,9118,4129,18831,1716,6208,5210,3628,2069,992,231,255,269,178,59,8124,1853,2067,1704,1935,565
"Trenton City School District, New Jersey","3416290",53872,15544,20495,11976,3814,2043,23906,4466,10529,6699,1498,714,10105,2242,3890,2341,972,660,4077,1698,1491,714,125,49,15784,7138,4585,2222,1219,620
"Union Beach Borough School District, New Jersey","3416350",3987,584,1609,1148,535,111,2694,290,1272,683,402,47,811,150,213,293,115,40,25,13,12,0,0,0,457,131,112,172,18,24
"Union City School District, New Jersey","3416380",44067,14553,13823,8485,5108,2098,5173,876,1508,1254,1098,437,3312,413,880,863,858,298,2896,1053,1051,474,229,89,32686,12211,10384,5894,2923,1274
"Barnegat Township School District, New Jersey","3416470",15240,1475,6313,4025,2166,1261,8625,675,3783,2403,1108,656,5345,518,2064,1262,1018,483,221,40,57,109,15,0,1049,242,409,251,25,122
"Union Township School District, New Jersey","3416500",39431,4718,11593,10509,8550,4061,17969,1007,6207,5293,3788,1674,5870,556,1779,1512,1324,699,1017,185,312,287,163,70,14575,2970,3295,3417,3275,1618
"Upper Freehold Regional School District, New Jersey","3416560",5852,173,1426,1246,1914,1093,3225,101,803,738,1005,578,2098,31,487,450,717,413,40,0,20,8,12,0,489,41,116,50,180,102
