"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"The Chathams School District, New Jersey","3400004",60011,51417,76182,105227,51795
"Great Meadows Regional School District, New Jersey","3400008",40824,37303,62542,26314,40938
"Somerset Hills Regional School District, New Jersey","3400009",49422,48171,69063,32361,21294
"Absecon City School District, New Jersey","3400660",31220,31796,42683,34479,18536
"Teaneck Township School District, New Jersey","3416080",39847,25722,49213,36912,36712
"Tenafly Borough School District, New Jersey","3416110",63361,47177,86806,6762,53600
"Toms River Regional School District, New Jersey","3416230",33646,33917,35374,31333,30419
"Trenton City School District, New Jersey","3416290",19676,19124,22107,15319,20165
"Union Beach Borough School District, New Jersey","3416350",31867,30890,33887,48542,35321
"Union City School District, New Jersey","3416380",20348,21556,31014,17177,19591
"Barnegat Township School District, New Jersey","3416470",30974,30375,32372,35114,28646
"Union Township School District, New Jersey","3416500",37828,35411,36534,41862,41588
"Upper Freehold Regional School District, New Jersey","3416560",53743,51683,60295,12321,36500
"Ventnor City City School District, New Jersey","3416680",25938,25688,32246,9722,22673
"Vernon Township School District, New Jersey","3416710",35978,37220,35194,23783,31109
"Verona Borough School District, New Jersey","3416740",48102,46114,56026,55714,40354
"Vineland City School District, New Jersey","3416800",24513,26279,28010,16275,20125
"Waldwick Borough School District, New Jersey","3416860",44638,43202,58125,105000,33867
"Wall Township School District, New Jersey","3416890",43143,43399,44733,50481,32260
"Wallington Borough School District, New Jersey","3416920",31576,33750,31802,24821,30704
"Washington Township School District (Burlington County), New Jersey","3417040",32264,35568,48750,31563,20962
"Washington Township School District (Gloucester County), New Jersey","3417070",36504,33561,38990,37050,35046
"Robbinsville Township School District, New Jersey","3417100",59196,47608,68846,94231,81447
"Waterford Township School District, New Jersey","3417250",32978,33794,31794,100500,19839
"Wayne Township School District, New Jersey","3417280",41251,36459,47201,24013,43433
"Weehawken Township School District, New Jersey","3417310",40694,44247,49479,26488,29847
"West Deptford Township School District, New Jersey","3417430",37405,38225,37852,30063,31603
"West Milford Township School District, New Jersey","3417520",41721,40374,43390,57589,43987
"West New York Town School District, New Jersey","3417580",22322,22552,46963,21581,20483
"West Orange Town School District, New Jersey","3417610",39139,40690,55951,30515,30242
"West Windsor-Plainsboro Regional School District, New Jersey","3417700",59817,41747,55833,72075,75239
"Westfield Town School District, New Jersey","3417760",57064,48503,71091,76324,52163
"Westwood Regional School District, New Jersey","3417820",41906,41851,45919,104479,33776
"Weymouth Township School District, New Jersey","3417850",26929,26571,27338,21458,22750
"Wildwood City School District, New Jersey","3417940",19610,29767,20892,9034,15276
"Wildwood Crest Borough School District, New Jersey","3417970",33165,34050,33170,19569,44722
"Willingboro Township School District, New Jersey","3418000",30547,28914,32441,32411,29973
"Winslow Township School District, New Jersey","3418060",34157,30947,38078,35636,40771
"Woodbine Borough School District, New Jersey","3418090",17321,16713,14977,26319,31065
"Woodbridge Township School District, New Jersey","3418120",36726,34558,35016,22120,42036
