"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"The Chathams School District, New Jersey","3400004",19417,566,344,18507,9770,371,109,9290,6887,122,51,6714,207,6,0,201,2553,67,184,2302
"Great Meadows Regional School District, New Jersey","3400008",8491,401,177,7913,5698,265,96,5337,1997,123,39,1835,169,0,0,169,627,13,42,572
"Somerset Hills Regional School District, New Jersey","3400009",11271,314,255,10702,5701,109,99,5493,3478,71,17,3390,236,0,0,236,1856,134,139,1583
"Absecon City School District, New Jersey","3400660",8263,678,660,6925,4780,374,371,4035,2293,103,133,2057,173,0,39,134,1017,201,117,699
"Teaneck Township School District, New Jersey","3416080",38835,3127,2302,33406,10870,838,989,9043,17740,1203,656,15881,665,158,7,500,9560,928,650,7982
"Tenafly Borough School District, New Jersey","3416110",14493,620,65,13808,3861,83,14,3764,6039,128,1,5910,307,100,0,207,4286,309,50,3927
"Teterboro Borough School District, New Jersey","3416140",92,10,2,80,57,6,0,51,8,1,0,7,0,0,0,0,27,3,2,22
"Toms River Regional School District, New Jersey","3416230",106747,7263,5945,93539,74912,5393,3770,65749,21588,1112,1366,19110,1101,101,30,970,9146,657,779,7710
"Trenton City School District, New Jersey","3416290",80298,21288,11607,47403,43709,13054,5758,24897,12136,2928,1310,7898,4859,1098,751,3010,19594,4208,3788,11598
"Union Beach Borough School District, New Jersey","3416350",6083,297,333,5453,4497,241,51,4205,941,24,82,835,40,15,0,25,605,17,200,388
"Union City School District, New Jersey","3416380",66956,16307,8997,41652,18992,5382,2471,11139,5905,1293,561,4051,3574,775,452,2347,38485,8857,5513,24115
"Barnegat Township School District, New Jersey","3416470",21119,2080,771,18268,13232,1211,512,11509,6389,692,192,5505,273,34,0,239,1225,143,67,1015
"Union Township School District, New Jersey","3416500",55384,3568,2409,49407,30953,2152,1379,27422,7325,366,300,6659,1243,82,86,1075,15863,968,644,14251
"Upper Freehold Regional School District, New Jersey","3416560",8675,223,156,8296,5633,181,57,5395,2485,39,80,2366,52,0,0,52,505,3,19,483
"Upper Pittsgrove Township School District, New Jersey","3416590",3438,249,325,2864,2627,107,310,2210,634,41,15,578,9,0,0,9,168,101,0,67
"Upper Township School District, New Jersey","3416650",12264,605,499,11160,7649,371,317,6961,4314,222,172,3920,35,0,0,35,266,12,10,244
"Ventnor City City School District, New Jersey","3416680",10607,1470,1148,7989,4205,760,401,3044,3236,440,340,2456,263,90,0,173,2903,180,407,2316
"Vernon Township School District, New Jersey","3416710",23404,1357,1082,20965,16194,981,794,14419,5596,183,178,5235,262,2,29,231,1352,191,81,1080
"Verona Borough School District, New Jersey","3416740",13346,299,303,12744,8300,142,115,8043,3396,33,40,3323,127,0,0,127,1523,124,148,1251
"Vineland City School District, New Jersey","3416800",59888,9597,6413,43878,38172,5816,3647,28709,9559,1098,1077,7384,5182,1479,736,2967,6975,1204,953,4818
"Waldwick Borough School District, New Jersey","3416860",9722,297,279,9146,5845,180,164,5501,2513,35,28,2450,42,0,0,42,1322,82,87,1153
"Wall Township School District, New Jersey","3416890",25786,1251,1005,23530,18911,877,569,17465,5459,286,288,4885,201,0,0,201,1215,88,148,979
"Wallington Borough School District, New Jersey","3416920",11412,1152,989,9271,5140,514,385,4241,775,162,63,550,95,13,14,68,5402,463,527,4412
"Washington Township School District (Burlington County), New Jersey","3417040",830,84,57,689,556,45,48,463,156,9,2,145,38,2,0,36,80,28,7,45
"Washington Township School District (Gloucester County), New Jersey","3417070",48038,2049,2111,43878,21419,987,882,19550,22892,836,1002,21054,549,19,27,503,3178,207,200,2771
"Robbinsville Township School District, New Jersey","3417100",13787,483,330,12974,7652,212,185,7255,3644,231,92,3321,57,0,13,44,2434,40,40,2354
"Waterford Township School District, New Jersey","3417250",10674,1022,627,9025,7393,723,436,6234,3001,228,179,2594,48,0,0,48,232,71,12,149
"Wayne Township School District, New Jersey","3417280",52363,1840,1847,48676,31955,1009,1033,29913,9772,211,222,9339,444,26,19,399,10192,594,573,9025
"Weehawken Township School District, New Jersey","3417310",12826,1050,682,11094,3884,351,140,3393,3702,178,40,3484,431,126,56,249,4809,395,446,3968
"West Deptford Township School District, New Jersey","3417430",21386,1757,1023,18606,13206,921,668,11617,7055,665,309,6081,163,26,0,137,962,145,46,771
