"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"The Chathams School District, New Jersey","3400004",14574,2198,12376,1860,568,1317,583,1068,1175,524,5281,6129,1162,4967,771,228,656,283,482,509,283,1755,5948,739,5209,821,190,331,238,362,445,200,2622,143,41,102,11,0,30,0,0,9,0,52,2354,256,2098,257,150,300,62,224,212,41,852
"Great Meadows Regional School District, New Jersey","3400008",7044,778,6266,889,515,831,626,710,756,613,1326,4421,593,3828,592,267,561,412,561,443,301,691,1827,149,1678,215,126,174,115,78,189,294,487,169,23,146,0,22,20,59,0,22,0,23,627,13,614,82,100,76,40,71,102,18,125
"Somerset Hills Regional School District, New Jersey","3400009",8939,1098,7841,1224,603,802,652,676,624,511,2749,3871,570,3301,682,170,251,250,367,238,251,1092,3078,321,2757,265,122,237,235,154,270,166,1308,190,8,182,0,35,16,41,0,21,25,44,1800,199,1601,277,276,298,126,155,95,69,305
"Absecon City School District, New Jersey","3400660",6884,605,6279,1176,551,758,1044,950,703,273,824,3654,268,3386,709,280,319,577,668,316,108,409,2128,95,2033,253,152,214,335,227,356,102,394,142,65,77,10,0,10,21,4,13,19,0,960,177,783,204,119,215,111,51,18,44,21
"Teaneck Township School District, New Jersey","3416080",31907,4966,26941,4684,1577,3273,2673,3535,3044,1302,6853,7051,1610,5441,1508,479,702,465,537,655,229,866,14669,1739,12930,1743,668,1345,1201,1609,1625,618,4121,558,142,416,125,16,30,24,39,72,0,110,9629,1475,8154,1308,414,1196,983,1350,692,455,1756
"Tenafly Borough School District, New Jersey","3416110",10932,2171,8761,1315,525,599,554,762,754,350,3902,2140,388,1752,310,177,101,164,128,210,130,532,4522,779,3743,544,203,170,168,276,193,134,2055,218,0,218,127,0,0,16,0,15,0,60,4052,1004,3048,334,145,328,206,358,336,86,1255
"Teterboro Borough School District, New Jersey","3416140",77,20,57,2,3,17,2,2,7,2,22,46,18,28,0,1,11,2,0,5,2,7,4,0,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,25,1,2,6,0,0,1,0,15
"Toms River Regional School District, New Jersey","3416230",89517,9457,80060,13692,7345,10835,9059,10393,9899,4266,14571,59051,6862,52189,9347,4690,6749,5714,6942,6512,2788,9447,20401,1433,18968,2826,1716,2738,2151,2575,2456,842,3664,1103,117,986,181,77,77,194,41,141,113,162,8962,1045,7917,1338,862,1271,1000,835,790,523,1298
"Trenton City School District, New Jersey","3416290",66587,11879,54708,14138,7559,11163,7587,6700,3393,1578,2590,31529,5964,25565,7805,3208,4049,3373,3389,1718,838,1185,11319,1518,9801,2198,1516,1687,1306,1058,821,400,815,4789,965,3824,1402,485,671,369,442,246,124,85,18950,3432,15518,2733,2350,4756,2539,1811,608,216,505
"Union Beach Borough School District, New Jersey","3416350",5065,746,4319,698,452,662,568,498,606,309,526,3521,535,2986,544,305,498,340,377,441,188,293,899,34,865,85,125,85,174,52,145,43,156,40,0,40,15,0,0,0,12,0,0,13,605,177,428,54,22,79,54,57,20,78,64
"Union City School District, New Jersey","3416380",54168,10524,43644,9970,6286,9088,5715,4918,3572,1074,3021,9598,2967,6631,1806,723,1117,737,741,677,239,591,4280,681,3599,763,259,552,392,461,384,169,619,3258,322,2936,741,552,524,443,350,224,30,72,37032,6554,30478,6660,4752,6895,4143,3366,2287,636,1739
"Barnegat Township School District, New Jersey","3416470",17837,2273,15564,2513,1395,2668,2088,2280,1894,848,1878,10706,1493,9213,1770,682,1482,1363,1267,1213,438,998,5740,520,5220,614,592,912,566,888,533,353,762,230,25,205,31,3,68,0,49,40,0,14,1161,235,926,98,118,206,159,76,108,57,104
"Union Township School District, New Jersey","3416500",47597,7541,40056,6586,3016,4800,4469,5949,5355,2276,7605,23830,4089,19741,3825,1418,2247,2296,2893,2606,998,3458,6975,795,6180,1004,716,736,545,847,750,321,1261,1188,230,958,88,24,120,98,292,71,53,212,15604,2427,13177,1669,858,1697,1530,1917,1928,904,2674
"Upper Freehold Regional School District, New Jersey","3416560",6819,909,5910,741,370,375,625,575,803,423,1998,4033,600,3433,530,178,189,343,389,454,240,1110,2257,252,2005,146,139,139,213,151,307,157,753,40,8,32,3,14,0,0,12,0,0,3,489,49,440,62,39,47,69,23,42,26,132
"Upper Pittsgrove Township School District, New Jersey","3416590",2852,413,2439,322,216,347,369,495,289,96,305,2115,293,1822,202,171,259,267,420,249,40,214,600,81,519,88,34,63,81,75,40,47,91,9,0,9,0,0,0,0,0,0,9,0,128,39,89,32,11,25,21,0,0,0,0
"Upper Township School District, New Jersey","3416650",10106,947,9159,1541,682,1270,1102,1052,1175,593,1744,5710,699,5011,1085,265,729,583,565,639,266,879,4109,236,3873,408,378,492,479,460,512,303,841,21,0,21,0,21,0,0,0,0,0,0,266,12,254,48,18,49,40,27,24,24,24
"Ventnor City City School District, New Jersey","3416680",9347,904,8443,1835,864,1333,1479,758,700,313,1161,3229,437,2792,684,292,382,438,236,257,97,406,3112,172,2940,467,279,430,361,380,234,194,595,208,0,208,108,0,11,20,19,13,0,37,2798,295,2503,576,293,510,660,123,196,22,123
"Vernon Township School District, New Jersey","3416710",18955,1999,16956,2774,1206,2385,1951,2607,1992,1053,2988,12403,1403,11000,1814,787,1442,1227,1804,1340,656,1930,5030,356,4674,753,295,681,598,607,540,289,911,254,31,223,13,38,79,15,20,58,0,0,1268,209,1059,194,86,183,111,176,54,108,147
"Verona Borough School District, New Jersey","3416740",10965,918,10047,1193,559,1037,1030,1373,1410,450,2995,6379,495,5884,665,259,649,692,903,882,313,1521,3045,283,2762,296,115,238,272,300,335,119,1087,100,12,88,8,0,9,0,25,20,0,26,1441,128,1313,224,185,141,66,145,173,18,361
"Vineland City School District, New Jersey","3416800",48285,5766,42519,9510,4052,8015,5429,5706,3718,1371,4718,27380,3304,24076,5334,2232,4049,3122,3665,2105,778,2791,9137,881,8256,1372,750,1544,1027,1010,898,366,1289,5128,342,4786,1525,636,920,575,483,372,110,165,6640,1239,5401,1279,434,1502,705,548,343,117,473
"Waldwick Borough School District, New Jersey","3416860",7723,867,6856,914,490,695,691,798,826,366,2076,4050,526,3524,593,234,355,278,424,470,196,974,2405,152,2253,176,144,253,214,240,172,135,919,42,0,42,0,0,0,10,0,0,0,32,1226,189,1037,145,112,87,189,134,184,35,151
"Wall Township School District, New Jersey","3416890",21169,2286,18883,2577,1464,2711,1562,2145,2049,722,5653,14486,1721,12765,1951,979,1767,928,1450,1360,522,3808,5334,431,4903,510,342,739,488,569,546,154,1555,171,21,150,4,25,22,19,0,46,0,34,1178,113,1065,112,118,183,127,126,97,46,256
"Wallington Borough School District, New Jersey","3416920",9736,1856,7880,892,727,1485,1192,1216,991,369,1008,3845,688,3157,410,232,532,450,448,455,133,497,634,36,598,66,65,108,72,62,84,50,91,95,4,91,25,0,21,39,6,0,0,0,5162,1128,4034,391,430,824,631,700,452,186,420
"Washington Township School District (Burlington County), New Jersey","3417040",737,67,670,99,57,105,93,107,79,42,88,461,39,422,62,34,56,54,85,58,31,42,154,9,145,13,8,26,11,20,14,11,42,42,11,31,6,2,0,16,0,3,0,4,80,8,72,18,13,23,12,2,4,0,0
"Washington Township School District (Gloucester County), New Jersey","3417070",39802,4506,35296,5757,2682,4514,4156,4863,4471,1891,6962,15086,2069,13017,2688,1018,1567,1509,1792,1553,730,2160,21217,1873,19344,2596,1441,2536,2308,2693,2555,1006,4209,516,75,441,52,24,20,104,80,78,38,45,2983,489,2494,421,199,391,235,298,285,117,548
"Robbinsville Township School District, New Jersey","3417100",10778,1347,9431,1489,399,1000,632,790,671,399,4051,5251,592,4659,902,206,544,383,372,447,198,1607,3154,250,2904,315,175,275,153,259,156,191,1380,51,7,44,13,0,0,0,0,0,0,31,2322,498,1824,259,18,181,96,159,68,10,1033
"Waterford Township School District, New Jersey","3417250",8585,976,7609,1369,641,903,1067,1177,859,483,1110,5481,654,4827,935,387,641,546,753,579,297,689,2824,286,2538,408,211,217,487,399,276,186,354,48,0,48,0,0,0,10,0,0,0,38,232,36,196,26,43,45,24,25,4,0,29
"Wayne Township School District, New Jersey","3417280",45882,5830,40052,7528,2862,4393,3537,4326,4038,2198,11170,25985,3513,22472,5054,1515,2436,1976,2287,2164,1244,5796,9445,963,8482,1224,494,841,749,1033,750,504,2887,481,86,395,85,65,55,64,37,0,32,57,9971,1268,8703,1165,788,1061,748,969,1124,418,2430
"Weehawken Township School District, New Jersey","3417310",11224,1259,9965,1439,583,1224,1178,1610,904,628,2399,3077,289,2788,446,163,329,214,484,339,115,698,3154,246,2908,312,63,277,296,516,326,273,845,370,67,303,50,14,75,21,74,0,15,54,4623,657,3966,631,343,543,647,536,239,225,802
"West Deptford Township School District, New Jersey","3417430",18132,1922,16210,2477,1156,2038,2079,2567,2014,1236,2643,10476,1257,9219,1477,615,1037,1166,1513,1171,620,1620,6589,506,6083,827,496,843,751,916,702,560,988,163,8,155,45,8,15,45,30,12,0,0,904,151,753,128,37,143,117,108,129,56,35
"West Milford Township School District, New Jersey","3417520",21617,2037,19580,3114,1519,1896,2044,2535,2664,1095,4713,13862,1453,12409,2044,974,1094,1297,1757,1593,629,3021,6216,429,5787,864,511,621,569,643,875,363,1341,109,18,91,29,0,0,8,0,22,6,26,1430,137,1293,177,34,181,170,135,174,97,325
"West New York Town School District, New Jersey","3417580",41502,6141,35361,7597,4139,7507,4693,3855,2859,813,3898,6299,1358,4941,1257,407,971,392,565,431,194,724,4617,443,4174,428,183,603,506,445,756,230,1023,1528,75,1453,331,157,300,240,189,61,0,175,29058,4265,24793,5581,3392,5633,3555,2656,1611,389,1976
"West Orange Town School District, New Jersey","3417610",37155,5185,31970,4592,2753,4216,3512,3571,3453,1709,8164,15149,2392,12757,2155,958,1266,1490,1535,1513,579,3261,8858,986,7872,824,430,907,689,617,937,572,2896,515,74,441,72,41,88,33,84,9,52,62,12633,1733,10900,1541,1324,1955,1300,1335,994,506,1945
"West Wildwood Borough School District, New Jersey","3417670",591,32,559,110,90,119,83,64,30,15,48,133,14,119,37,26,37,6,9,0,1,3,450,18,432,67,62,82,77,55,30,14,45,4,0,4,4,0,0,0,0,0,0,0,4,0,4,2,2,0,0,0,0,0,0
"West Windsor-Plainsboro Regional School District, New Jersey","3417700",39956,7085,32871,4490,1438,2577,2332,3562,2881,1539,14052,7892,1411,6481,1336,326,565,472,1182,666,328,1606,12166,1638,10528,1599,454,920,779,1148,734,397,4497,462,77,385,85,1,24,19,0,11,61,184,19436,3959,15477,1470,657,1068,1062,1232,1470,753,7765
"Westfield Town School District, New Jersey","3417760",23400,3701,19699,3118,1015,1652,1362,1819,1570,853,8310,10987,1788,9199,1910,493,754,658,839,603,449,3493,8984,1340,7644,986,363,646,449,540,682,315,3663,204,42,162,17,0,16,0,25,14,0,90,3225,531,2694,205,159,236,255,415,271,89,1064
"Westwood Regional School District, New Jersey","3417820",16710,1932,14778,2255,1072,1871,1226,1782,1391,849,4332,8055,1007,7048,1428,378,664,604,838,722,412,2002,5375,365,5010,458,373,759,376,673,415,294,1662,107,0,107,17,0,14,0,0,0,8,68,3173,560,2613,352,321,434,246,271,254,135,600
"Weymouth Township School District, New Jersey","3417850",2401,174,2227,463,177,384,337,334,181,103,248,1329,108,1221,282,103,201,186,174,84,48,143,788,44,744,125,69,106,147,132,76,18,71,17,0,17,0,0,11,0,6,0,0,0,267,22,245,56,5,66,4,22,21,37,34
"White Township School District, New Jersey","3417910",4248,349,3899,650,341,896,439,385,452,122,614,2633,143,2490,540,192,522,251,152,301,84,448,1296,170,1126,84,91,340,148,181,113,26,143,6,0,6,6,0,0,0,0,0,0,0,313,36,277,20,58,34,40,52,38,12,23
"Wildwood City School District, New Jersey","3417940",4438,319,4119,1070,368,1157,589,336,239,111,249,1137,120,1017,135,123,192,168,128,50,111,110,2213,115,2098,438,208,594,355,195,176,0,132,197,30,167,109,18,40,0,0,0,0,0,891,54,837,388,19,331,66,13,13,0,7
"Wildwood Crest Borough School District, New Jersey","3417970",2795,111,2684,378,187,442,404,333,238,105,597,738,33,705,128,62,81,91,151,50,16,126,1841,78,1763,232,112,307,281,173,171,78,409,84,0,84,18,0,29,12,0,0,0,25,132,0,132,0,13,25,20,9,17,11,37
