"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Abbeville County, South Carolina","45001",17036,3736,6383,4824,1463,630,12573,2832,4882,3441,1029,389,4224,859,1437,1342,372,214,90,19,6,16,42,7,149,26,58,25,20,20
"Aiken County, South Carolina","45003",112845,16536,34958,32821,17986,10544,43203,8899,15543,10929,5085,2747,62863,5911,17386,20445,12050,7071,1180,132,325,354,251,118,5599,1594,1704,1093,600,608
"Allendale County, South Carolina","45005",6870,1739,2704,1563,689,175,5557,1510,2334,1210,383,120,1207,187,344,316,305,55,32,3,23,6,0,0,74,39,3,31,1,0
"Anderson County, South Carolina","45007",130096,22354,41007,41409,16454,8872,81868,15817,27657,24929,9109,4356,42979,4987,12183,15344,6530,3935,1381,472,310,181,343,75,3868,1078,857,955,472,506
"Bamberg County, South Carolina","45009",9876,2329,2485,3260,1239,563,7761,1902,2021,2485,936,417,1825,310,421,708,303,83,59,0,24,35,0,0,231,117,19,32,0,63
"Barnwell County, South Carolina","45011",14327,2972,5376,4271,1309,399,10576,2317,4196,2867,915,281,3413,533,1123,1308,341,108,66,0,25,41,0,0,272,122,32,55,53,10
"Beaufort County, South Carolina","45013",120118,9540,28061,35920,27770,18827,22570,3024,8253,5987,2982,2324,82222,2912,15446,26179,22723,14962,1767,167,346,651,480,123,13559,3437,4016,3103,1585,1418
"Berkeley County, South Carolina","45015",125957,15328,39156,43407,18522,9544,55692,8804,19824,17211,6240,3613,59466,4455,16008,22862,10791,5350,2025,193,597,830,280,125,8774,1876,2727,2504,1211,456
"Calhoun County, South Carolina","45017",10714,1715,3981,3218,1175,625,7773,1304,2881,2331,886,371,2570,261,970,829,271,239,44,0,43,1,0,0,327,150,87,57,18,15
"Charleston County, South Carolina","45019",258098,26533,55778,71471,66767,37549,116599,16580,33942,32478,22456,11143,121861,5205,17921,35508,39896,23331,3268,256,654,911,1138,309,16370,4492,3261,2574,3277,2766
"Cherokee County, South Carolina","45021",36901,8257,13601,9397,3810,1836,24989,6056,9356,6291,2118,1168,10771,1866,3838,2908,1526,633,216,0,68,52,65,31,925,335,339,146,101,4
"Chester County, South Carolina","45023",22039,4714,8039,6253,2056,977,15735,3597,6037,4333,1249,519,6033,1019,1953,1859,764,438,48,16,27,4,1,0,223,82,22,57,42,20
"Chesterfield County, South Carolina","45025",31215,7388,12371,7766,2398,1292,20224,4798,8465,5114,1122,725,9971,2173,3614,2527,1122,535,70,3,30,36,0,1,950,414,262,89,154,31
"Clarendon County, South Carolina","45027",23569,4888,8573,6731,2158,1219,17093,3868,6461,4507,1456,801,5917,808,1931,2114,667,397,137,10,77,38,10,2,422,202,104,72,25,19
"Colleton County, South Carolina","45029",25950,4610,9846,7854,2283,1357,18506,3643,7137,5566,1314,846,6945,798,2460,2257,948,482,71,0,37,21,11,2,428,169,212,10,10,27
"Darlington County, South Carolina","45031",45799,8828,16708,12537,5327,2399,34493,7136,13168,9133,3634,1422,10130,1265,3242,3208,1543,872,256,37,73,85,49,12,920,390,225,111,101,93
"Dillon County, South Carolina","45033",20408,5529,7935,5106,1263,575,15810,4349,6445,3607,1021,388,3896,707,1300,1467,239,183,72,41,11,20,0,0,630,432,179,12,3,4
"Dorchester County, South Carolina","45035",95188,9558,27768,34070,15081,8711,38871,5234,13687,12524,4549,2877,48192,2895,11853,19001,9353,5090,2151,254,550,967,261,119,5974,1175,1678,1578,918,625
"Edgefield County, South Carolina","45037",18980,3540,6883,5087,2159,1311,8392,1840,3385,2028,698,441,9273,1031,3192,2877,1396,777,239,46,63,78,35,17,1076,623,243,104,30,76
"Fairfield County, South Carolina","45039",16357,3266,6509,4241,1410,931,12739,2692,5371,3277,818,581,3102,469,1039,898,367,329,75,0,0,26,47,2,441,105,99,40,178,19
"Florence County, South Carolina","45041",91563,14498,30866,26367,12720,7112,64372,12119,23365,17782,7485,3621,23604,1703,6626,7891,4385,2999,647,49,161,215,153,69,2940,627,714,479,697,423
"Georgetown County, South Carolina","45043",43992,6100,13756,12787,6767,4582,23942,4290,9154,6459,2333,1706,18251,1323,4238,5895,4262,2533,445,104,34,160,37,110,1354,383,330,273,135,233
"Greenville County, South Carolina","45045",317863,42269,83476,90164,65683,36271,145179,23595,47091,41160,22283,11050,137711,9001,28486,42026,37003,21195,3697,480,774,1064,924,455,31276,9193,7125,5914,5473,3571
"Greenwood County, South Carolina","45047",46245,8900,13753,12952,7227,3413,31553,6459,10408,8965,4155,1566,12229,1342,2967,3723,2647,1550,472,61,34,142,91,144,1991,1038,344,122,334,153
"Hampton County, South Carolina","45049",13935,3087,5827,3547,935,539,10353,2386,4521,2382,683,381,3163,500,1226,1088,205,144,93,9,7,30,33,14,326,192,73,47,14,0
