"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Abbeville County, South Carolina","45001",20529,2868,17661,4312,2750,3690,2603,2222,1100,389,595,15151,2114,13037,2941,2212,2757,1927,1775,809,264,352,5006,656,4350,1308,508,929,626,442,276,109,152,110,6,104,9,0,4,12,5,13,0,61,262,92,170,54,30,0,38,0,2,16,30
"Aiken County, South Carolina","45003",133743,19395,114348,24068,13434,21023,14747,14340,9872,4210,12654,52292,7853,44439,10693,5421,8729,5575,5300,3555,1314,3852,74010,10221,63789,12183,7182,10983,8264,8323,5863,2794,8197,1396,94,1302,314,168,182,133,174,168,35,128,6045,1227,4818,878,663,1129,775,543,286,67,477
"Allendale County, South Carolina","45005",8162,2561,5601,1414,1137,1525,705,469,165,89,97,6625,2093,4532,1214,924,1209,629,307,130,53,66,1378,415,963,192,204,280,39,147,35,36,30,44,12,32,0,0,12,20,0,0,0,0,115,41,74,8,9,24,17,15,0,0,1
"Anderson County, South Carolina","45007",154195,20493,133702,27592,18135,24643,19272,19099,11312,4172,9477,100370,14119,86251,18762,12184,16330,12243,12420,6923,2588,4801,48062,5491,42571,7945,5390,7432,6094,6056,3932,1437,4285,1452,39,1413,354,137,159,373,144,111,74,61,4311,844,3467,531,424,722,562,479,346,73,330
"Bamberg County, South Carolina","45009",12842,2931,9911,2550,1464,1911,1391,1196,631,232,536,9824,2055,7769,1863,1228,1425,1097,990,522,217,427,2712,868,1844,597,204,408,271,185,85,7,87,63,0,63,38,0,0,4,21,0,0,0,243,8,235,52,32,78,19,0,24,8,22
"Barnwell County, South Carolina","45011",17476,3333,14143,3490,2016,2614,1768,1861,1187,339,868,13016,2479,10537,2695,1470,2042,1314,1451,830,216,519,4040,709,3331,744,511,542,432,370,331,123,278,66,0,66,0,0,4,0,7,9,0,46,354,145,209,51,35,26,22,33,17,0,25
"Beaufort County, South Carolina","45013",141934,14992,126942,22841,13591,21734,17485,17369,11692,4543,17687,29554,4532,25022,6561,3903,4510,3546,2913,1562,723,1304,94668,8073,86595,13556,7484,13759,11529,12641,9099,3557,14970,2113,242,1871,356,286,203,244,241,209,84,248,15599,2145,13454,2368,1918,3262,2166,1574,822,179,1165
"Berkeley County, South Carolina","45015",153537,21877,131660,25104,12835,23937,19387,19852,13557,4964,12024,70756,11304,59452,13190,6553,10832,8800,8318,6039,1877,3843,70490,8331,62159,10024,5406,10740,9104,10082,6840,2541,7422,2406,320,2086,361,209,401,320,288,161,150,196,9885,1922,7963,1529,667,1964,1163,1164,517,396,563
"Calhoun County, South Carolina","45017",12439,1641,10798,2362,1220,2078,1496,1645,880,259,858,9205,1305,7900,1878,916,1472,1086,1229,522,201,596,2810,278,2532,298,299,555,410,360,317,58,235,44,0,44,15,1,14,0,0,0,0,14,380,58,322,171,4,37,0,56,41,0,13
"Charleston County, South Carolina","45019",308439,35980,272459,53603,25509,44123,37176,37893,25893,9458,38804,144884,18874,126010,30146,14222,22590,18250,15963,10038,3284,11517,141490,13615,127875,20587,9427,17208,16257,19560,14430,5633,24773,4151,482,3669,746,333,490,419,606,382,134,559,17914,3009,14905,2124,1527,3835,2250,1764,1043,407,1955
"Cherokee County, South Carolina","45021",44741,7317,37424,9684,5102,7564,4574,4984,2697,1026,1793,30935,5153,25782,6782,3686,5407,3049,3367,1608,743,1140,12433,1806,10627,2664,1308,1998,1267,1453,1036,273,628,285,86,199,43,0,16,64,41,21,10,4,1088,272,816,195,108,143,194,123,32,0,21
"Chester County, South Carolina","45023",26375,4713,21662,5601,3296,4000,2806,2872,1441,521,1125,19348,3639,15709,4304,2559,3048,1854,2052,963,335,594,6756,1067,5689,1219,716,935,880,787,462,186,504,48,0,48,9,0,0,8,19,11,0,1,223,7,216,69,21,17,64,14,5,0,26
"Chesterfield County, South Carolina","45025",37392,6956,30436,6908,4780,6692,4159,4153,1821,568,1355,23951,4171,19780,4592,3247,4358,2631,2495,1145,362,950,12175,2458,9717,2063,1370,2195,1418,1505,584,190,392,89,3,86,62,0,23,0,1,0,0,0,1177,324,853,191,163,116,110,152,92,16,13
"Clarendon County, South Carolina","45027",28355,4982,23373,6811,3886,3670,3519,2514,1476,379,1118,20855,3743,17112,5208,2897,2645,2481,1898,962,282,739,6865,1118,5747,1431,901,943,977,561,468,97,369,137,7,130,13,24,27,10,12,34,0,10,498,114,384,159,64,55,51,43,12,0,0
"Colleton County, South Carolina","45029",30666,4850,25816,6268,4120,5129,3314,3550,1642,383,1410,22440,3720,18720,4554,3243,3773,2390,2606,1107,233,814,7432,932,6500,1566,860,1164,797,912,477,148,576,133,88,45,20,0,0,0,14,11,0,0,661,110,551,128,17,192,127,18,47,2,20
"Darlington County, South Carolina","45031",54895,8733,46162,11880,6700,8644,6131,5653,3213,1080,2861,41853,6560,35293,9376,5305,6635,4899,4324,2199,747,1808,11613,1836,9777,2241,1193,1757,1123,1250,949,310,954,282,62,220,47,56,1,16,32,6,18,44,1147,275,872,216,146,251,93,47,59,5,55
"Dillon County, South Carolina","45033",24534,4414,20120,5833,3819,4250,2195,1786,1425,322,490,19151,3531,15620,4382,3047,3390,1844,1231,1155,220,351,4598,728,3870,1196,714,754,296,473,268,59,110,85,0,85,41,13,0,0,31,0,0,0,700,155,545,214,45,106,55,51,2,43,29
"Dorchester County, South Carolina","45035",114328,17771,96557,17835,10076,15843,13457,14442,10127,4036,10741,49699,9142,40557,8488,5299,7030,5940,6025,3258,1507,3010,55381,6984,48397,7694,4015,7462,6363,7423,6142,2244,7054,2744,320,2424,697,205,265,377,345,316,76,143,6504,1325,5179,956,557,1086,777,649,411,209,534
"Edgefield County, South Carolina","45037",22263,4606,17657,3943,2120,3399,2254,2393,1468,595,1485,9919,1868,8051,1743,1150,1704,1165,1124,518,206,441,10944,2176,8768,2009,941,1365,989,1190,910,381,983,239,40,199,65,10,41,10,32,19,0,22,1161,522,639,126,19,289,90,47,21,8,39
"Fairfield County, South Carolina","45039",19166,3315,15851,3816,2357,3263,2117,1877,901,558,962,15192,2735,12457,3129,1932,2695,1790,1420,611,346,534,3337,406,2931,589,384,455,270,397,232,212,392,124,0,124,49,2,0,1,44,28,0,0,513,174,339,49,39,113,56,16,30,0,36
"Florence County, South Carolina","45041",110261,16497,93764,21714,11902,16812,13182,12283,7479,2714,7678,78919,12310,66609,16401,9113,12113,9539,8700,5170,1592,3981,27282,3438,23844,4682,2451,4087,3059,3399,1997,1006,3163,765,107,658,157,82,50,181,28,51,41,68,3295,642,2653,474,256,562,403,156,261,75,466
"Georgetown County, South Carolina","45043",50507,6857,43650,10058,5659,7754,5483,6363,3014,1097,4222,28902,4296,24606,6947,3249,4785,2965,3372,1221,425,1642,19748,2345,17403,2916,2179,2642,2168,2834,1659,648,2357,454,55,399,55,26,27,171,41,24,24,31,1403,161,1242,140,205,300,179,116,110,0,192
"Greenville County, South Carolina","45045",380931,55745,325186,64864,36092,56865,42884,43864,29226,10944,40447,180398,28367,152031,33268,19401,28194,20955,20491,12628,4672,12422,160486,19426,141060,25504,13049,20805,17832,19780,14497,5453,24140,4610,543,4067,926,264,681,559,475,390,123,649,35437,7409,28028,5166,3378,7185,3538,3118,1711,696,3236
"Greenwood County, South Carolina","45047",56173,8383,47790,10584,6974,9636,5764,6818,3855,1116,3043,39381,6103,33278,7576,4945,6783,4014,5088,2549,727,1596,13884,1736,12148,2425,1654,2146,1545,1596,1086,335,1361,498,89,409,199,11,13,8,31,115,27,5,2410,455,1955,384,364,694,197,103,105,27,81
"Hampton County, South Carolina","45049",16781,2944,13837,3260,2135,2858,2206,1771,851,180,576,12677,2065,10612,2162,1760,2293,1753,1439,667,129,409,3676,721,2955,992,358,473,424,323,184,51,150,93,34,59,22,0,4,24,9,0,0,0,335,124,211,84,17,88,5,0,0,0,17
"Horry County, South Carolina","45051",243392,25996,217396,43386,29701,44703,31477,30641,17447,5526,14515,76835,10279,66556,16795,9518,12688,9379,8115,4609,1769,3683,146157,13209,132948,23173,17787,26537,19196,20888,11957,3355,10055,2926,266,2660,669,270,326,554,416,200,114,111,17474,2242,15232,2749,2126,5152,2348,1222,681,288,666
"Jasper County, South Carolina","45053",21553,3301,18252,4409,2710,4344,2434,2226,1045,367,717,10483,1932,8551,2371,1457,1966,1123,868,370,175,221,8700,1067,7633,1662,1017,1564,1038,1115,573,184,480,51,0,51,5,20,0,0,11,7,8,0,2319,302,2017,371,216,814,273,232,95,0,16
"Kershaw County, South Carolina","45055",50322,7577,42745,8463,5542,7659,6281,6402,3802,1461,3135,31013,4929,26084,5449,3751,5092,4103,3552,2011,658,1468,17407,2267,15140,2756,1656,2110,1949,2645,1679,788,1557,506,96,410,70,34,96,85,28,39,0,58,1396,285,1111,188,101,361,144,177,73,15,52
"Lancaster County, South Carolina","45057",66081,10910,55171,11881,7025,9688,7741,8388,4333,1450,4665,36498,6793,29705,7030,4481,5555,4011,4350,2110,507,1661,26297,3446,22851,4160,2220,3682,3391,3769,1987,930,2712,824,261,563,214,87,52,21,61,39,13,76,2462,410,2052,477,237,399,318,208,197,0,216
"Laurens County, South Carolina","45059",54015,7352,46663,10456,6578,10475,6407,6012,3919,860,1956,39268,5418,33850,7934,4996,7238,4730,4339,2851,565,1197,12679,1589,11090,2125,1488,2564,1424,1554,963,259,713,471,60,411,116,20,54,71,67,65,9,9,1597,285,1312,281,74,619,182,52,40,27,37
"Lee County, South Carolina","45061",15040,3255,11785,3672,1664,2367,1471,1381,584,158,488,11921,2440,9481,3130,1374,1829,1214,1001,418,122,393,3036,772,2264,542,290,530,241,375,166,36,84,62,25,37,0,0,5,16,5,0,0,11,21,18,3,0,0,3,0,0,0,0,0
"Lexington County, South Carolina","45063",219902,27156,192746,33006,19536,32243,28098,30940,20697,7360,20866,122435,16126,106309,20007,11272,18044,15865,17353,10955,3668,9145,81451,8352,73099,11174,6740,10956,10381,11746,8506,3267,10329,2697,353,2344,316,138,308,414,363,381,94,330,13319,2325,10994,1509,1386,2935,1438,1478,855,331,1062
"McCormick County, South Carolina","45065",8848,2053,6795,1361,1158,1461,812,789,484,248,482,4824,1408,3416,772,628,895,411,278,183,142,107,3810,627,3183,581,492,520,372,490,280,94,354,86,11,75,5,15,4,21,16,4,6,4,128,7,121,3,23,42,8,5,17,6,17
"Marion County, South Carolina","45067",25784,4184,21600,5692,3776,4481,2866,2119,1440,330,896,20561,3449,17112,4668,3058,3446,2274,1658,1050,227,731,4464,620,3844,880,542,831,544,458,390,71,128,100,0,100,41,12,4,35,0,0,0,8,659,115,544,103,164,200,13,3,0,32,29
