"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Dorchester School District 4, South Carolina","4500002",16492,793,2520,1087,2360,2011,3042,868,432,735,1778,866,12446,692,1989,963,1908,1330,2003,606,327,621,1273,734,3803,101,516,120,402,647,947,249,105,114,497,105,65,0,0,4,0,0,48,13,0,0,0,0,178,0,15,0,50,34,44,0,0,0,8,27
"Marion School District 7, South Carolina","4500012",6254,333,1114,495,775,668,913,545,191,223,610,387,4796,258,804,327,564,462,656,466,130,223,556,350,1101,75,310,11,138,152,205,79,40,0,54,37,21,0,0,0,0,0,0,0,21,0,0,0,336,0,0,157,73,54,52,0,0,0,0,0
"Abbeville County School District, South Carolina","4500690",24417,1449,4099,2416,2257,3009,3521,1901,561,1080,2284,1840,19124,1429,3568,1815,1731,2115,2483,1469,387,829,1834,1464,4833,20,475,548,441,812,985,403,159,231,422,337,169,0,12,0,0,42,52,7,15,0,11,30,291,0,44,53,85,40,1,22,0,20,17,9
"Aiken County School District, South Carolina","4500720",163435,10004,27118,14716,19881,20099,24215,11811,4349,5817,14491,10934,71520,5266,12650,6437,7988,8528,10604,5152,1778,2460,5489,5168,84833,4714,13742,7618,10570,9935,12573,6309,2376,3224,8287,5485,1477,24,240,171,194,283,263,69,39,24,113,57,5605,0,486,490,1129,1353,775,281,156,109,602,224
"Allendale County School District, South Carolina","4500750",10399,600,1711,996,1412,1424,1430,702,429,288,838,569,8510,588,1441,842,1063,1032,1158,645,373,252,662,454,1697,12,235,133,290,335,252,57,56,36,176,115,27,0,0,11,13,3,0,0,0,0,0,0,165,0,35,10,46,54,20,0,0,0,0,0
"Anderson School District 1, South Carolina","4500780",49105,3127,9728,3800,5684,6856,7610,3332,1195,1606,3862,2305,33758,3083,7766,2939,3756,4324,4337,2161,784,847,2276,1485,14196,44,1900,707,1779,2409,2888,1102,358,643,1558,808,305,0,20,79,23,27,113,17,0,18,8,0,846,0,42,75,126,96,272,52,53,98,20,12
"Anderson School District 2, South Carolina","4500810",23015,1325,4015,1618,2574,2857,3617,1797,691,938,2060,1523,17735,1208,3569,1455,1843,2013,2330,1385,481,741,1552,1158,4824,45,428,145,670,761,1194,385,210,197,446,343,130,0,0,18,14,18,53,27,0,0,0,0,326,72,18,0,47,65,40,0,0,0,62,22
"Anderson School District 3, South Carolina","4500840",15254,1022,2567,1305,1536,2044,2098,1212,385,711,1426,948,11723,977,2267,1040,1223,1500,1271,946,273,553,908,765,3363,45,300,265,296,479,770,252,112,143,518,183,86,0,0,0,11,0,46,14,0,15,0,0,82,0,0,0,6,65,11,0,0,0,0,0
"Anderson School District 4, South Carolina","4500870",21169,1257,3116,1696,2097,3128,2937,1752,644,1015,2267,1260,13857,1203,2439,1274,1434,1996,1634,1044,335,530,1263,705,6636,54,663,401,606,1024,1224,582,289,460,863,470,148,0,14,0,32,27,11,54,0,0,10,0,528,0,0,21,25,81,68,72,20,25,131,85
"Anderson School District 5, South Carolina","4500900",78966,5138,13485,7465,9489,10078,11390,4702,1819,2410,6682,6308,53512,4632,11137,5066,5781,6099,6874,2772,1149,1428,4345,4229,21353,444,1969,2043,2769,2927,3803,1764,563,921,2190,1960,788,0,69,34,110,280,137,38,8,35,18,59,3313,62,310,322,829,772,576,128,99,26,129,60
